# The first columns is the wavelenght (nm) and the second column                          
# is the sum of B^2 across the LSF, nm/pixel.                                             
# This value has been created from B2lookup  matlab function.                             
# This code was provided by the Ghost team to Gemini. The comment                         
# which explain the matlab code is the following.                                         
# The function B2lookup provides values of sum(B^2) at any wavelength - i.e. the (square of)
# conversion factor from S/N per pixel to S/N per resolution element (for weak            
# spectral features). Since this varies along each order (due to the anamorphic           
# factor), it is not an overall smooth function of wavelength, and we have to find        
# which order is being used and whereabouts in the order the wanted wavelength is.        
# In this respect it is similar to the blaze function calculation, and this               
# routine is based on BlazeFunction.m. But with only a small amount of input              
# data, a 2D interpolation has to be performed to find values at any wavelength.          
# This is done as successive 1D interpolations.                                           
# The function changes significantly between blue and red cameras, so they have to        
# be done separately.                                                                     
# [Uses approximations which assume orders m are all high. Based on Schroeder             
# 'Astronomical Optics' p335]         GHOST 3 135.                                        




360.00   1.17990348 
360.10   1.18225537 
360.20   1.18456131 
360.30   1.18682156 
360.40   1.18903639 
360.50   1.19120604 
360.60   1.19333076 
360.70   1.19541080 
360.80   1.19744639 
360.90   1.19943775 
361.00   1.20138510 
361.10   1.20328866 
361.20   1.20514864 
361.30   1.20696523 
361.40   1.20873863 
361.50   1.21046903 
361.60   1.21215662 
361.70   1.21380157 
361.80   1.21540405 
361.90   1.21696425 
362.00   1.21848230 
362.10   1.21995839 
362.20   1.22139265 
362.30   1.22278523 
362.40   1.22413628 
362.50   1.22544593 
362.60   1.22671432 
362.70   1.22794158 
362.80   1.22912781 
362.90   1.23027316 
363.00   1.23137773 
363.10   1.23244162 
363.20   1.23346495 
363.30   1.23444781 
363.40   1.23539031 
363.50   1.23629253 
363.60   1.23715456 
363.70   1.23797649 
363.80   1.23875840 
363.90   1.23950036 
364.00   1.24020244 
364.10   1.24086472 
364.20   1.18779358 
364.30   1.19004960 
364.40   1.19225836 
364.50   1.19442014 
364.60   1.19653519 
364.70   1.19860376 
364.80   1.20062608 
364.90   1.20260239 
365.00   1.20453291 
365.10   1.20641787 
365.20   1.20825748 
365.30   1.21005194 
365.40   1.21180146 
365.50   1.21350623 
365.60   1.21516644 
365.70   1.21678226 
365.80   1.21835389 
365.90   1.21988149 
366.00   1.22136521 
366.10   1.22280524 
366.20   1.22420170 
366.30   1.22555477 
366.40   1.22686458 
366.50   1.22813126 
366.60   1.22935496 
366.70   1.23053579 
366.80   1.23167389 
366.90   1.23276937 
367.00   1.23382235 
367.10   1.23483293 
367.20   1.23580121 
367.30   1.23672731 
367.40   1.23761130 
367.50   1.23845329 
367.60   1.23925336 
367.70   1.24001158 
367.80   1.24072805 
367.90   1.24140281 
368.00   1.24203596 
368.10   1.18885293 
368.20   1.19114011 
368.30   1.19337841 
368.40   1.19556809 
368.50   1.19770942 
368.60   1.19980266 
368.70   1.20184806 
368.80   1.20384587 
368.90   1.20579632 
369.00   1.20769965 
369.10   1.20955606 
369.20   1.21136579 
369.30   1.21312904 
369.40   1.21484600 
369.50   1.21651688 
369.60   1.21814187 
369.70   1.21972115 
369.80   1.22125490 
369.90   1.22274329 
370.00   1.22418648 
370.10   1.22558463 
370.20   1.22693790 
370.30   1.22824644 
370.40   1.22951039 
370.50   1.23072988 
370.60   1.23190505 
370.70   1.23303603 
370.80   1.23412293 
370.90   1.23516588 
371.00   1.23616498 
371.10   1.23712034 
371.20   1.23803206 
371.30   1.23890024 
371.40   1.23972497 
371.50   1.24050634 
371.60   1.24124442 
371.70   1.24193930 
371.80   1.24259105 
371.90   1.24319973 
372.00   1.24376542 
372.10   1.18765642 
372.20   1.19001421 
372.30   1.19232163 
372.40   1.19457898 
372.50   1.19678653 
372.60   1.19894456 
372.70   1.20105335 
372.80   1.20311314 
372.90   1.20512419 
373.00   1.20708674 
373.10   1.20900103 
373.20   1.21086728 
373.30   1.21268573 
373.40   1.21445658 
373.50   1.21618004 
373.60   1.21785632 
373.70   1.21948560 
373.80   1.22106808 
373.90   1.22260394 
374.00   1.22409335 
374.10   1.22553648 
374.20   1.22693349 
374.30   1.22828455 
374.40   1.22958981 
374.50   1.23084940 
374.60   1.23206348 
374.70   1.23323217 
374.80   1.23435560 
374.90   1.23543390 
375.00   1.23646719 
375.10   1.23745557 
375.20   1.23839916 
375.30   1.23929805 
375.40   1.24015235 
375.50   1.24096215 
375.60   1.24172753 
375.70   1.24244858 
375.80   1.24312537 
375.90   1.24375798 
376.00   1.24434647 
376.10   1.24489091 
376.20   1.18887451 
376.30   1.19124495 
376.40   1.19356419 
376.50   1.19583253 
376.60   1.19805025 
376.70   1.20021765 
376.80   1.20233498 
376.90   1.20440252 
377.00   1.20642052 
377.10   1.20838922 
377.20   1.21030888 
377.30   1.21217972 
377.40   1.21400196 
377.50   1.21577583 
377.60   1.21750153 
377.70   1.21917928 
377.80   1.22080927 
377.90   1.22239169 
378.00   1.22392672 
378.10   1.22541455 
378.20   1.22685534 
378.30   1.22824926 
378.40   1.22959648 
378.50   1.23089713 
378.60   1.23215138 
378.70   1.23335936 
378.80   1.23452120 
378.90   1.23563705 
379.00   1.23670701 
379.10   1.23773122 
379.20   1.23870979 
379.30   1.23964281 
379.40   1.24053041 
379.50   1.24137266 
379.60   1.24216968 
379.70   1.24292153 
379.80   1.24362831 
379.90   1.24429009 
380.00   1.24490695 
380.10   1.24547894 
380.20   1.24600614 
380.30   1.18774825 
380.40   1.19017443 
380.50   1.19254863 
380.60   1.19487116 
380.70   1.19714231 
380.80   1.19936238 
380.90   1.20153166 
381.00   1.20365041 
381.10   1.20571891 
381.20   1.20773741 
381.30   1.20970616 
381.40   1.21162540 
381.50   1.21349538 
381.60   1.21531631 
381.70   1.21708842 
381.80   1.21881192 
381.90   1.22048702 
382.00   1.22211391 
382.10   1.22369279 
382.20   1.22522384 
382.30   1.22670724 
382.40   1.22814317 
382.50   1.22953179 
382.60   1.23087326 
382.70   1.23216774 
382.80   1.23341537 
382.90   1.23461629 
383.00   1.23577065 
383.10   1.23687856 
383.20   1.23794017 
383.30   1.23895558 
383.40   1.23992491 
383.50   1.24084826 
383.60   1.24172575 
383.70   1.24255746 
383.80   1.24334349 
383.90   1.24408392 
384.00   1.24477884 
384.10   1.24542833 
384.20   1.24603245 
384.30   1.24659127 
384.40   1.24710484 
384.50   1.24757324 
384.60   1.18912544 
384.70   1.19154739 
384.80   1.19391720 
384.90   1.19623519 
385.00   1.19850167 
385.10   1.20071691 
385.20   1.20288121 
385.30   1.20499483 
385.40   1.20705805 
385.50   1.20907113 
385.60   1.21103430 
385.70   1.21294782 
385.80   1.21481193 
385.90   1.21662683 
386.00   1.21839277 
386.10   1.22010994 
386.20   1.22177856 
386.30   1.22339883 
386.40   1.22497093 
386.50   1.22649505 
386.60   1.22797137 
386.70   1.22940006 
386.80   1.23078129 
386.90   1.23211521 
387.00   1.23340199 
387.10   1.23464177 
387.20   1.23583468 
387.30   1.23698087 
387.40   1.23808047 
387.50   1.23913359 
387.60   1.24014036 
387.70   1.24110089 
387.80   1.24201529 
387.90   1.24288366 
388.00   1.24370609 
388.10   1.24448268 
388.20   1.24521352 
388.30   1.24589867 
388.40   1.24653823 
388.50   1.24713225 
388.60   1.24768080 
388.70   1.24818395 
388.80   1.24864175 
388.90   1.24905425 
389.00   1.19057492 
389.10   1.19298491 
389.20   1.19534292 
389.30   1.19764925 
389.40   1.19990421 
389.50   1.20210807 
389.60   1.20426112 
389.70   1.20636363 
389.80   1.20841587 
389.90   1.21041810 
390.00   1.21237055 
390.10   1.21427347 
390.20   1.21612709 
390.30   1.21793164 
390.40   1.21968734 
390.50   1.22139439 
390.60   1.22305300 
390.70   1.22466337 
390.80   1.22622568 
390.90   1.22774013 
391.00   1.22920688 
391.10   1.23062610 
391.20   1.23199797 
391.30   1.23332264 
391.40   1.23460026 
391.50   1.23583098 
391.60   1.23701493 
391.70   1.23815226 
391.80   1.23924308 
391.90   1.24028753 
392.00   1.24128572 
392.10   1.24223776 
392.20   1.24314376 
392.30   1.24400381 
392.40   1.24481802 
392.50   1.24558647 
392.60   1.24630924 
392.70   1.24698643 
392.80   1.24761809 
392.90   1.24820431 
393.00   1.24874514 
393.10   1.24924064 
393.20   1.24969087 
393.30   1.25009588 
393.40   1.18964496 
393.50   1.19208789 
393.60   1.19447893 
393.70   1.19681840 
393.80   1.19910660 
393.90   1.20134382 
394.00   1.20353034 
394.10   1.20566645 
394.20   1.20775240 
394.30   1.20978847 
394.40   1.21177489 
394.50   1.21371191 
394.60   1.21559978 
394.70   1.21743871 
394.80   1.21922893 
394.90   1.22097066 
395.00   1.22266409 
395.10   1.22430944 
395.20   1.22590689 
395.30   1.22745664 
395.40   1.22895885 
395.50   1.23041372 
395.60   1.23182140 
395.70   1.23318205 
395.80   1.23449584 
395.90   1.23576290 
396.00   1.23698339 
396.10   1.23815744 
396.20   1.23928519 
396.30   1.24036676 
396.40   1.24140227 
396.50   1.24239183 
396.60   1.24333556 
396.70   1.24423356 
396.80   1.24508593 
396.90   1.24589277 
397.00   1.24665415 
397.10   1.24737017 
397.20   1.24804090 
397.30   1.24866642 
397.40   1.24924679 
397.50   1.24978207 
397.60   1.25027234 
397.70   1.25071762 
397.80   1.25111799 
397.90   1.25147347 
398.00   1.19123893 
398.10   1.19365595 
398.20   1.19602173 
398.30   1.19833658 
398.40   1.20060080 
398.50   1.20281467 
398.60   1.20497847 
398.70   1.20709247 
398.80   1.20915692 
398.90   1.21117209 
399.00   1.21313822 
399.10   1.21505554 
399.20   1.21692429 
399.30   1.21874469 
399.40   1.22051696 
399.50   1.22224130 
399.60   1.22391792 
399.70   1.22554702 
399.80   1.22712878 
399.90   1.22866339 
400.00   1.23015102 
400.10   1.23159184 
400.20   1.23298603 
400.30   1.23433372 
400.40   1.23563509 
400.50   1.23689027 
400.60   1.23809940 
400.70   1.23926262 
400.80   1.24038006 
400.90   1.24145184 
401.00   1.24247809 
401.10   1.24345890 
401.20   1.24439440 
401.30   1.24528468 
401.40   1.24612983 
401.50   1.24692996 
401.60   1.24768515 
401.70   1.24839547 
401.80   1.24906101 
401.90   1.24968184 
402.00   1.25025802 
402.10   1.25078962 
402.20   1.25127669 
402.30   1.25171929 
402.40   1.25211745 
402.50   1.25247123 
402.60   1.19045000 
402.70   1.19288590 
402.80   1.19527113 
402.90   1.19760598 
403.00   1.19989076 
403.10   1.20212574 
403.20   1.20431121 
403.30   1.20644743 
403.40   1.20853466 
403.50   1.21057316 
403.60   1.21256318 
403.70   1.21450495 
403.80   1.21639870 
403.90   1.21824466 
404.00   1.22004304 
404.10   1.22179406 
404.20   1.22349792 
404.30   1.22515481 
404.40   1.22676492 
404.50   1.22832844 
404.60   1.22984555 
404.70   1.23131642 
404.80   1.23274121 
404.90   1.23412008 
405.00   1.23545319 
405.10   1.23674068 
405.20   1.23798270 
405.30   1.23917939 
405.40   1.24033087 
405.50   1.24143727 
405.60   1.24249871 
405.70   1.24351531 
405.80   1.24448717 
405.90   1.24541441 
406.00   1.24629711 
406.10   1.24713538 
406.20   1.24792931 
406.30   1.24867897 
406.40   1.24938445 
406.50   1.25004583 
406.60   1.25066317 
406.70   1.25123654 
406.80   1.25176600 
406.90   1.25225160 
407.00   1.25269340 
407.10   1.25309144 
407.20   1.25344577 
407.30   1.18973209 
407.40   1.19217984 
407.50   1.19457766 
407.60   1.19692586 
407.70   1.19922473 
407.80   1.20147456 
407.90   1.20367561 
408.00   1.20582815 
408.10   1.20793245 
408.20   1.20998875 
408.30   1.21199730 
408.40   1.21395834 
408.50   1.21587210 
408.60   1.21773880 
408.70   1.21955865 
408.80   1.22133187 
408.90   1.22305865 
409.00   1.22473920 
409.10   1.22637370 
409.20   1.22796235 
409.30   1.22950530 
