Altair NGS,R,17.0,,
20,20,11.85,13.55,15.05
20,50,11.85,13.55,15.05
20,80,11.75,13.45,14.95
20,ANY,11.65,13.35,14.85
70,20,11.65,13.35,14.85
70,50,11.65,13.35,14.85
70,80,11.55,13.25,14.75
70,ANY,11.45,13.15,14.65
85,20,11.45,13.15,14.65
85,50,11.45,13.15,14.65
85,80,11.35,13.05,14.55
85,ANY,11.25,12.95,14.45
ANY,20,11.00,12.70,14.20
ANY,50,11.00,12.70,14.20
ANY,80,10.90,12.60,14.10
ANY,ANY,10.80,12.50,14.00
,,,,
Altair LGS,R,5.0,,
20,20,15.90,17.40,18.40
20,50,15.80,17.30,18.30
20,80,15.70,17.20,18.20
20,ANY,15.60,17.10,18.10
70,20,15.60,17.10,18.10
70,50,15.50,17.00,18.00
70,80,15.40,16.90,17.90
70,ANY,15.30,16.80,17.80
85,20,15.30,16.80,17.30
85,50,15.20,16.70,17.20
85,80,15.10,16.60,17.10
85,ANY,15.00,16.50,17.00
ANY,20,14.30,15.80,16.30
ANY,50,14.20,15.70,16.20
ANY,80,14.10,15.60,16.10
ANY,ANY,14.00,15.50,16.00
,,,,
F2 OIWFS,R,6.0,,
20,20,14.50,15.25,15.95
20,50,14.50,15.25,15.95
20,80,14.40,15.15,15.85
20,ANY,14.30,15.05,15.75
70,20,14.35,15.10,15.80
70,50,14.35,15.10,15.80
70,80,14.25,15.00,15.70
70,ANY,14.15,14.90,15.60
85,20,14.20,14.95,15.65
85,50,14.20,14.95,15.65
85,80,14.10,14.85,15.55
85,ANY,14.00,14.75,15.45
ANY,20,14.00,14.75,15.45
ANY,50,14.00,14.75,15.45
ANY,80,13.90,14.65,15.35
ANY,ANY,13.80,14.55,15.25
,,,,
GMOS-N OIWFS,R,6.0,,
20,20,15.65,16.25,16.75
20,50,15.65,16.25,16.75
20,80,15.55,16.15,16.65
20,ANY,15.45,16.05,16.55
70,20,15.55,16.15,16.65
70,50,15.55,16.15,16.65
70,80,15.45,16.05,16.55
70,ANY,15.35,15.95,16.45
85,20,15.45,16.05,16.55
85,50,15.45,16.05,16.55
85,80,15.35,15.95,16.45
85,ANY,15.25,15.85,16.35
ANY,20,15.20,15.80,16.30
ANY,50,15.20,15.80,16.30
ANY,80,15.10,15.70,16.20
ANY,ANY,15.00,15.60,16.10
,,,,
GMOS-S OIWFS,R,6.0,,
20,20,14.60,15.30,16.00
20,50,14.60,15.30,16.00
20,80,14.50,15.20,15.90
20,ANY,14.40,15.10,15.80
70,20,14.50,15.20,15.90
70,50,14.50,15.20,15.90
70,80,14.40,15.10,15.80
70,ANY,14.30,15.00,15.70
85,20,14.40,15.10,15.80
85,50,14.40,15.10,15.80
85,80,14.30,15.00,15.70
85,ANY,14.20,14.90,15.60
ANY,20,14.20,14.90,15.60
ANY,50,14.20,14.90,15.60
ANY,80,14.10,14.80,15.50
ANY,ANY,14.00,14.70,15.40
,,,,
GNIRS OIWFS,K,6.0,,
20,20,14.50,15.00,15.50
20,50,14.50,15.00,15.50
20,80,14.20,14.70,15.20
20,ANY,14.00,14.50,15.00
70,20,14.00,14.50,15.00
70,50,14.00,14.50,15.00
70,80,13.70,14.20,14.70
70,ANY,13.50,14.00,14.50
85,20,13.50,14.00,14.50
85,50,13.50,14.00,14.50
85,80,13.20,13.70,14.20
85,ANY,13.00,13.50,14.00
ANY,20,13.00,13.50,14.00
ANY,50,13.00,13.50,14.00
ANY,80,12.70,13.20,13.70
ANY,ANY,12.50,13.00,13.50
,,,,
GN PWFS1,R,7.0,,
20,20,13.80,14.55,15.15
20,50,13.80,14.55,15.15
20,80,13.70,14.45,15.05
20,ANY,13.60,14.35,14.95
70,20,13.65,14.40,15.00
70,50,13.65,14.40,15.00
70,80,13.55,14.30,14.90
70,ANY,13.45,14.20,14.80
85,20,13.50,14.25,14.85
85,50,13.50,14.25,14.85
85,80,13.40,14.15,14.75
85,ANY,13.30,14.05,14.65
ANY,20,13.30,14.05,14.65
ANY,50,13.30,14.05,14.65
ANY,80,13.20,13.95,14.55
ANY,ANY,13.10,13.85,14.45
,,,,
GN PWFS2,R,7.0,,
20,20,13.80,14.45,15.10
20,50,13.80,14.45,15.10
20,80,13.70,14.35,15.00
20,ANY,13.60,14.25,14.90
70,20,13.70,14.35,15.00
70,50,13.70,14.35,15.00
70,80,13.60,14.25,14.90
70,ANY,13.50,14.15,14.80
85,20,13.60,14.25,14.90
85,50,13.60,14.25,14.90
85,80,13.50,14.15,14.80
85,ANY,13.40,14.05,14.70
ANY,20,13.10,13.75,14.40
ANY,50,13.10,13.75,14.40
ANY,80,13.00,13.65,14.30
ANY,ANY,12.90,13.55,14.20
,,,,
GS PWFS1,R,7.0,,
20,20,13.50,14.00,14.50
20,50,13.50,14.00,14.50
20,80,13.40,13.90,14.40
20,ANY,13.30,13.80,14.30
70,20,13.25,13.75,14.25
70,50,13.25,13.75,14.25
70,80,13.15,13.65,14.15
70,ANY,13.05,13.55,14.05
85,20,13.00,13.50,14.00
85,50,13.00,13.50,14.00
85,80,12.90,13.40,13.90
85,ANY,12.80,13.30,13.80
ANY,20,12.00,12.50,13.00
ANY,50,12.00,12.50,13.00
ANY,80,11.90,12.40,12.90
ANY,ANY,11.80,12.30,12.80
,,,,
GS PWFS2,R,7.0,,
20,20,13.40,14.05,14.70
20,50,13.40,14.05,14.70
20,80,13.30,13.95,14.60
20,ANY,13.20,13.85,14.50
70,20,13.30,13.95,14.60
70,50,13.30,13.95,14.60
70,80,13.20,13.85,14.50
70,ANY,13.10,13.75,14.40
85,20,13.15,13.80,14.45
85,50,13.15,13.80,14.45
85,80,13.05,13.70,14.35
85,ANY,12.95,13.60,14.25
ANY,20,12.75,13.40,14.05
ANY,50,12.75,13.40,14.05
ANY,80,12.65,13.30,13.95
ANY,ANY,12.55,13.20,13.85
,,,,
NICI OIWFS,R,17.5,,
20,20,16.00,16.75,17.50
