#ED381-W  1%H long  1.6180-1.6345um
#Cuton:  1617.09
#Cutoff: 1634.49
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1599.00   0.0
1600.00   0.038956258
1600.20   0.046988189
1600.40   0.059121773
1600.60   0.056948874
1600.80   0.039454117
1601.00   0.058781303
1601.20   0.071339905
1601.40   0.069436178
1601.60   0.069622569
1601.80   0.077847376
1602.00   0.077742174
1602.20   0.084699653
1602.40   0.094275378
1602.60   0.085519873
1602.80   0.104661137
1603.00   0.112321615
1603.20   0.115270972
1603.40   0.124632604
1603.60   0.138567731
1603.80   0.145912051
1604.00   0.158156127
1604.20   0.166597888
1604.40   0.166128859
1604.60   0.188162834
1604.80   0.192385450
1605.00   0.218641058
1605.20   0.231468633
1605.40   0.251033366
1605.60   0.273535073
1605.80   0.289849997
1606.00   0.295556158
1606.20   0.316443145
1606.40   0.340432942
1606.60   0.367791951
1606.80   0.400234759
1607.00   0.411880821
1607.20   0.461398333
1607.40   0.486609578
1607.60   0.528661370
1607.80   0.563671827
1608.00   0.601241112
1608.20   0.647388518
1608.40   0.735919476
1608.60   0.761625469
1608.80   0.833638310
1609.00   0.900463283
1609.20   0.990741432
1609.40   1.064558864
1609.60   1.131906629
1609.80   1.234375238
1610.00   1.336001515
1610.20   1.484214187
1610.40   1.585649371
1610.60   1.762312293
1610.80   1.868915319
1611.00   2.105468512
1611.20   2.277874470
1611.40   2.516825676
1611.60   2.759219170
1611.80   3.017003536
1612.00   3.352659464
1612.20   3.664776802
1612.40   4.053173065
1612.60   4.463584900
1612.80   5.005004406
1613.00   5.460807800
1613.20   6.098628521
1613.40   6.630709171
1613.60   7.544228554
1613.80   8.248603821
1614.00   9.318112373
1614.20  10.288335800
1614.40  11.673918720
1614.60  13.016658780
1614.80  14.286268230
1615.00  15.833223340
1615.20  17.488094330
1615.40  19.589151380
1615.60  21.195945740
1615.80  23.936977390
1616.00  26.081445690
1616.20  29.502328870
1616.40  31.849155430
1616.60  35.429943080
1616.80  38.249057770
1617.00  41.897384640
1617.20  45.312965390
1617.40  48.722534180
1617.60  52.343975070
1617.80  55.832202910
1618.00  59.593219760
1618.20  62.544219970
1618.40  66.066017150
1618.60  68.509666440
1618.80  71.890815730
1619.00  74.132331850
1619.20  76.937301640
1619.40  78.830429080
1619.60  81.000862120
1619.80  82.489555360
1620.00  83.702362060
1620.20  84.647659300
1620.40  85.449417110
1620.60  86.089477540
1620.80  86.352676390
