# transmission of GN acquisition camera NDa filter
# columns are (1) wavelength in nm, (2) transmission (0-1)
# binned from original 1nm Gemini monochromator data
# first values are zero for linear extrapolation
# extrapolation to infrared will be non-zero
# author: Phil Puxley
# created: 27Aug1999

344 0
354 0
364 0.005
374 0.006
384 0.01
394 0.03
404 0.066
414 0.108
424 0.148
434 0.171
444 0.182
454 0.2
464 0.208
474 0.206
484 0.2
494 0.196
504 0.194
514 0.195
524 0.198
534 0.203
544 0.206
554 0.205
564 0.2
574 0.195
584 0.192
594 0.191
604 0.194
614 0.198
624 0.2
634 0.202
644 0.204
654 0.209
664 0.219
674 0.234
684 0.254
694 0.272
704 0.286
714 0.295
724 0.301
734 0.305
744 0.308
754 0.31
764 0.311
774 0.311
784 0.31
794 0.309
804 0.307
814 0.305
824 0.302
834 0.299
844 0.295
854 0.291
864 0.288
874 0.284
884 0.28
894 0.276
904 0.272
914 0.268
924 0.265
934 0.261
944 0.258
954 0.255
964 0.253
974 0.251
984 0.249
994 0.247
