# transmission of GN acquisition camera ND-clear filter
# columns are (1) wavelength in nm, (2) transmission (0-1)
# binned from original 1nm Gemini monochromator data
# first values are zero for linear extrapolation
# extrapolation to infrared will be non-zero
# author: Phil Puxley
# created: 27Aug1999

334 0
344 0
354 0.013
364 0.129
374 0.22
384 0.189
394 0.231
404 0.33
414 0.484
424 0.669
434 0.829
444 0.922
454 0.962
464 0.976
474 0.981
484 0.984
494 0.986
504 0.988
514 0.989
524 0.989
534 0.989
544 0.988
554 0.986
564 0.983
574 0.98
584 0.975
594 0.97
604 0.964
614 0.959
624 0.955
634 0.95
644 0.947
654 0.945
664 0.944
674 0.943
684 0.944
694 0.946
704 0.948
714 0.95
724 0.953
734 0.957
744 0.96
754 0.963
764 0.967
774 0.97
784 0.972
794 0.975
804 0.974
814 0.976
824 0.977
834 0.978
844 0.979
854 0.979
864 0.979
874 0.979
884 0.979
894 0.978
904 0.978
914 0.977
924 0.977
934 0.976
944 0.975
954 0.975
964 0.974
974 0.974
984 0.974
994 0.974
