# Flamingos-2 HK grism and H filter (HK_G5802.dat * H_G0803.dat)
# Wavlength (nm)  Transmission
 900.0   0.000
1450.0   0.000
1451.0   0.001
1452.0   0.001
1453.0   0.001
1454.0   0.001
1455.0   0.001
1456.0   0.001
1457.0   0.002
1458.0   0.002
1459.0   0.002
1460.0   0.003
1461.0   0.003
1462.0   0.004
1463.0   0.004
1464.0   0.005
1465.0   0.006
1466.0   0.006
1467.0   0.007
1468.0   0.009
1469.0   0.010
1470.0   0.012
1471.0   0.014
1472.0   0.016
1473.0   0.019
1474.0   0.023
1475.0   0.027
1476.0   0.032
1477.0   0.039
1478.0   0.049
1479.0   0.061
1480.0   0.077
1481.0   0.098
1482.0   0.123
1483.0   0.156
1484.0   0.199
1485.0   0.245
1486.0   0.297
1487.0   0.357
1488.0   0.413
1489.0   0.464
1490.0   0.510
1491.0   0.541
1492.0   0.564
1493.0   0.582
1494.0   0.594
1495.0   0.598
1496.0   0.602
1497.0   0.605
1498.0   0.601
1499.0   0.594
1500.0   0.597
1501.0   0.599
1502.0   0.604
1503.0   0.608
1504.0   0.607
1505.0   0.608
1506.0   0.604
1507.0   0.604
1508.0   0.601
1509.0   0.599
1510.0   0.596
1511.0   0.596
1512.0   0.596
1513.0   0.598
1514.0   0.595
1515.0   0.599
1516.0   0.597
1517.0   0.600
1518.0   0.602
1519.0   0.603
1520.0   0.608
1521.0   0.607
1522.0   0.610
1523.0   0.614
1524.0   0.610
1525.0   0.608
1526.0   0.602
1527.0   0.603
1528.0   0.602
1529.0   0.606
1530.0   0.606
1531.0   0.611
1532.0   0.613
1533.0   0.610
1534.0   0.609
1535.0   0.609
1536.0   0.612
1537.0   0.614
1538.0   0.619
1539.0   0.622
1540.0   0.621
1541.0   0.623
1542.0   0.626
1543.0   0.630
1544.0   0.634
1545.0   0.636
1546.0   0.636
1547.0   0.636
1548.0   0.645
1549.0   0.654
1550.0   0.652
1551.0   0.651
1552.0   0.645
1553.0   0.641
1554.0   0.643
1555.0   0.648
1556.0   0.644
1557.0   0.645
1558.0   0.642
1559.0   0.640
1560.0   0.639
1561.0   0.638
1562.0   0.637
1563.0   0.637
1564.0   0.634
1565.0   0.630
1566.0   0.627
1567.0   0.621
1568.0   0.621
1569.0   0.618
1570.0   0.613
1571.0   0.612
1572.0   0.615
1573.0   0.614
1574.0   0.606
1575.0   0.598
1576.0   0.595
1577.0   0.587
1578.0   0.590
1579.0   0.591
1580.0   0.591
1581.0   0.592
1582.0   0.592
1583.0   0.597
1584.0   0.595
1585.0   0.595
