# Flamingos-2 HK grism and Ks filter (HK_G5802.dat * Ks_G0804.dat)
# Wavlength (nm)  Transmission
#
 900.0   0.000
1938.0   0.000
1939.0   0.001
1940.0   0.001
1941.0   0.001
1942.0   0.001
1943.0   0.001
1944.0   0.001
1945.0   0.001
1946.0   0.001
1947.0   0.001
1948.0   0.001
1949.0   0.001
1950.0   0.001
1951.0   0.001
1952.0   0.001
1953.0   0.002
1954.0   0.002
1955.0   0.002
1956.0   0.002
1957.0   0.002
1958.0   0.003
1959.0   0.003
1960.0   0.003
1961.0   0.004
1962.0   0.004
1963.0   0.005
1964.0   0.006
1965.0   0.006
1966.0   0.008
1967.0   0.009
1968.0   0.010
1969.0   0.012
1970.0   0.014
1971.0   0.016
1972.0   0.019
1973.0   0.022
1974.0   0.026
1975.0   0.030
1976.0   0.035
1977.0   0.041
1978.0   0.049
1979.0   0.058
1980.0   0.066
1981.0   0.077
1982.0   0.092
1983.0   0.105
1984.0   0.119
1985.0   0.137
1986.0   0.155
1987.0   0.175
1988.0   0.200
1989.0   0.226
1990.0   0.248
1991.0   0.276
1992.0   0.301
1993.0   0.325
1994.0   0.357
1995.0   0.382
1996.0   0.404
1997.0   0.430
1998.0   0.452
1999.0   0.468
2000.0   0.479
2001.0   0.490
2002.0   0.499
2003.0   0.506
2004.0   0.514
2005.0   0.513
2006.0   0.515
2007.0   0.515
2008.0   0.516
2009.0   0.513
2010.0   0.513
2011.0   0.511
2012.0   0.510
2013.0   0.508
2014.0   0.507
2015.0   0.507
2016.0   0.502
2017.0   0.500
2018.0   0.501
2019.0   0.496
2020.0   0.496
2021.0   0.498
2022.0   0.502
2023.0   0.501
2024.0   0.500
2025.0   0.497
2026.0   0.498
2027.0   0.498
2028.0   0.498
2029.0   0.502
2030.0   0.500
2031.0   0.500
2032.0   0.503
2033.0   0.499
2034.0   0.501
2035.0   0.501
2036.0   0.496
2037.0   0.499
2038.0   0.497
2039.0   0.493
2040.0   0.493
2041.0   0.492
2042.0   0.489
2043.0   0.494
2044.0   0.494
2045.0   0.494
2046.0   0.494
2047.0   0.492
2048.0   0.496
2049.0   0.495
2050.0   0.493
2051.0   0.494
2052.0   0.492
2053.0   0.494
2054.0   0.503
2055.0   0.503
2056.0   0.502
2057.0   0.503
2058.0   0.505
2059.0   0.504
2060.0   0.508
2061.0   0.505
2062.0   0.509
2063.0   0.509
2064.0   0.505
2065.0   0.506
2066.0   0.508
2067.0   0.507
2068.0   0.505
2069.0   0.507
2070.0   0.508
2071.0   0.508
2072.0   0.515
2073.0   0.513
2074.0   0.511
2075.0   0.507
2076.0   0.503
2077.0   0.504
2078.0   0.509
2079.0   0.508
2080.0   0.503
2081.0   0.502
2082.0   0.501
2083.0   0.500
2084.0   0.498
2085.0   0.497
2086.0   0.496
2087.0   0.495
2088.0   0.489
2089.0   0.489
2090.0   0.492
2091.0   0.491
2092.0   0.496
2093.0   0.496
2094.0   0.492
2095.0   0.495
2096.0   0.487
2097.0   0.488
2098.0   0.492
2099.0   0.493
2100.0   0.499
2101.0   0.497
2102.0   0.498
2103.0   0.495
2104.0   0.498
2105.0   0.499
2106.0   0.496
2107.0   0.498
2108.0   0.498
2109.0   0.499
2110.0   0.500
2111.0   0.500
2112.0   0.501
2113.0   0.501
