# Flamingos-2 HK grism and KH filter (HK_G5802.dat * H_G0806.dat)
# Wavlength (nm)  Transmission
 900.0   0.000
1233.0   0.000
1234.0   0.001
1235.0   0.001
1236.0   0.001
1237.0   0.001
1238.0   0.001
1239.0   0.001
1240.0   0.002
1241.0   0.002
1242.0   0.003
1243.0   0.004
1244.0   0.005
1245.0   0.006
1246.0   0.007
1247.0   0.010
1248.0   0.012
1249.0   0.016
1250.0   0.020
1251.0   0.026
1252.0   0.033
1253.0   0.043
1254.0   0.054
1255.0   0.069
1256.0   0.087
1257.0   0.110
1258.0   0.137
1259.0   0.167
1260.0   0.200
1261.0   0.234
1262.0   0.266
1263.0   0.296
1264.0   0.322
1265.0   0.342
1266.0   0.358
1267.0   0.368
1268.0   0.375
1269.0   0.380
1270.0   0.386
1271.0   0.390
1272.0   0.395
1273.0   0.399
1274.0   0.403
1275.0   0.407
1276.0   0.410
1277.0   0.414
1278.0   0.416
1279.0   0.419
1280.0   0.420
1281.0   0.421
1282.0   0.421
1283.0   0.419
1284.0   0.416
1285.0   0.413
1286.0   0.408
1287.0   0.405
1288.0   0.401
1289.0   0.395
1290.0   0.390
1291.0   0.384
1292.0   0.378
1293.0   0.372
1294.0   0.367
1295.0   0.361
1296.0   0.357
1297.0   0.355
1298.0   0.355
1299.0   0.356
1300.0   0.358
1301.0   0.362
1302.0   0.367
1303.0   0.374
1304.0   0.382
1305.0   0.391
1306.0   0.400
1307.0   0.410
1308.0   0.420
1309.0   0.429
1310.0   0.437
1311.0   0.442
1312.0   0.446
1313.0   0.446
1314.0   0.446
1315.0   0.442
1316.0   0.439
1317.0   0.435
1318.0   0.432
1319.0   0.428
1320.0   0.426
1321.0   0.424
1322.0   0.423
1323.0   0.423
1324.0   0.423
1325.0   0.426
1326.0   0.429
1327.0   0.434
1328.0   0.439
1329.0   0.443
1330.0   0.447
1331.0   0.452
1332.0   0.456
1333.0   0.459
1334.0   0.461
1335.0   0.460
1336.0   0.459
1337.0   0.458
1338.0   0.457
1339.0   0.456
1340.0   0.455
1341.0   0.453
1342.0   0.452
1343.0   0.452
1344.0   0.452
1345.0   0.453
1346.0   0.452
1347.0   0.454
1348.0   0.455
1349.0   0.459
1350.0   0.461
1351.0   0.465
1352.0   0.468
1353.0   0.467
1354.0   0.465
1355.0   0.463
1356.0   0.461
1357.0   0.457
1358.0   0.453
1359.0   0.447
1360.0   0.443
1361.0   0.438
1362.0   0.432
1363.0   0.427
1364.0   0.422
1365.0   0.417
1366.0   0.414
1367.0   0.412
1368.0   0.410
1369.0   0.410
1370.0   0.410
1371.0   0.410
1372.0   0.411
1373.0   0.417
1374.0   0.424
1375.0   0.430
1376.0   0.438
1377.0   0.445
1378.0   0.452
1379.0   0.457
1380.0   0.462
1381.0   0.470
1382.0   0.477
1383.0   0.484
1384.0   0.489
1385.0   0.491
1386.0   0.492
1387.0   0.493
1388.0   0.491
1389.0   0.491
1390.0   0.488
1391.0   0.486
1392.0   0.482
1393.0   0.480
1394.0   0.478
1395.0   0.475
1396.0   0.473
1397.0   0.470
1398.0   0.469
1399.0   0.468
1400.0   0.468
1401.0   0.470
1402.0   0.473
1403.0   0.475
1404.0   0.479
1405.0   0.482
1406.0   0.486
1407.0   0.489
1408.0   0.493
1409.0   0.499
