# CANOPUS background
#
# Assumes 6% emissivity for Science Fold and
# AO Fold (estimated)
#
# File based on measurements performed during the
# GeMS GSAOI commissioning. Values below 1800nm are
# from ALTAIR background file. Values above 1800nm
# are from the on-sky GeMS/GSAOI commissioning.
# Data obtained 2012 April 06/07/08.
#
# author: Rodrigo Carrasco
# created: 06 August 12
#
#  Wavelength        Flux density
#  (nm)          (ph/sec/nm/arcsec2/m2)
     900         4.752E-14
   900.5          4.92E-14
     901         5.064E-14
   901.5         5.208E-14
     902         5.376E-14
   902.5         5.544E-14
     903         5.712E-14
   903.5          5.88E-14
     904         6.072E-14
   904.5          6.24E-14
     905         6.432E-14
   905.5         6.624E-14
     906          6.84E-14
   906.5         7.032E-14
     907         7.248E-14
   907.5         7.464E-14
     908         7.704E-14
   908.5         7.944E-14
     909         8.184E-14
   909.5         8.424E-14
     910         8.664E-14
   910.5         8.928E-14
     911         9.192E-14
   911.5          9.48E-14
     912         9.768E-14
   912.5        1.0056E-13
     913        1.0344E-13
   913.5        1.0656E-13
     914        1.0968E-13
   914.5        1.1304E-13
     915         1.164E-13
   915.5           1.2E-13
     916        1.2336E-13
   916.5         1.272E-13
     917         1.308E-13
   917.5        1.3464E-13
     918        1.3872E-13
   918.5         1.428E-13
     919        1.4712E-13
   919.5        1.5144E-13
     920        1.5576E-13
   920.5        1.6032E-13
     921        1.6512E-13
   921.5        1.6992E-13
     922        1.7496E-13
   922.5           1.8E-13
     923        1.8528E-13
   923.5        1.9056E-13
     924        1.9608E-13
   924.5        2.0184E-13
     925        2.0784E-13
   925.5        2.1384E-13
     926        2.2008E-13
   926.5        2.2632E-13
     927        2.3304E-13
   927.5        2.3976E-13
     928         2.472E-13
   928.5         2.544E-13
     929         2.616E-13
   929.5         2.688E-13
     930          2.76E-13
   930.5         2.832E-13
     931         2.928E-13
   931.5             3E-13
     932         3.096E-13
   932.5         3.192E-13
     933         3.264E-13
   933.5          3.36E-13
     934         3.456E-13
   934.5         3.552E-13
     935         3.672E-13
   935.5         3.768E-13
     936         3.864E-13
   936.5         3.984E-13
     937         4.104E-13
   937.5           4.2E-13
     938          4.32E-13
   938.5          4.44E-13
     939         4.584E-13
   939.5         4.704E-13
     940         4.848E-13
   940.5         4.968E-13
     941         5.112E-13
   941.5         5.256E-13
     942           5.4E-13
   942.5         5.544E-13
     943         5.712E-13
   943.5         5.856E-13
     944         6.024E-13
   944.5         6.192E-13
     945          6.36E-13
   945.5         6.552E-13
     946          6.72E-13
   946.5         6.912E-13
     947         7.104E-13
   947.5         7.296E-13
     948         7.512E-13
   948.5         7.704E-13
     949          7.92E-13
   949.5         8.136E-13
     950         8.376E-13
   950.5         8.592E-13
     951         8.832E-13
   951.5         9.072E-13
     952         9.312E-13
   952.5         9.576E-13
     953          9.84E-13
   953.5        1.0104E-12
     954        1.0368E-12
   954.5        1.0656E-12
     955        1.0944E-12
   955.5        1.1256E-12
     956        1.1544E-12
   956.5        1.1856E-12
     957        1.2192E-12
   957.5        1.2528E-12
     958        1.2864E-12
   958.5          1.32E-12
     959         1.356E-12
   959.5         1.392E-12
     960        1.4304E-12
   960.5        1.4688E-12
     961        1.5072E-12
   961.5         1.548E-12
     962        1.5888E-12
   962.5         1.632E-12
     963        1.6752E-12
   963.5        1.7208E-12
     964        1.7664E-12
   964.5         1.812E-12
     965          1.86E-12
   965.5        1.9104E-12
     966        1.9608E-12
   966.5        2.0136E-12
     967        2.0664E-12
   967.5        2.1216E-12
     968        2.1768E-12
   968.5        2.2344E-12
     969        2.2944E-12
   969.5        2.3544E-12
     970         2.424E-12
