# this file describe the quantum efficiencies for the 
# E2V CCD231-C6-1-G58 CCD which corresponds to the Blue CCD.
# The data has been gotten from the "GHOST Verification Report  GVR-5326-1" document.
# The document can be found in the https://docs.google.com/document/d/1EzdZ25a02gg-IrFIzXdB-iXkehR2iu8c/edit 
# This file is a copy of the Red Dectector, because the before document does not
# specify all the values for each wavelength. 
#
# Author: Fran. R. 
#
# lambda     QE
#  [nm]      
#
   350       0.495
   400       0.899
   450       0.902
   500       0.880
   550       0.872
   650       0.879
   900       0.327
   950       0.26
  1000       0.14
  1050       0.03
