# GHOST echellograms dataset for Standard resolution
# Columns are (1) order number, m (2) blaze wavelength in nm, lambda (3) Adopted GHOST resolution for HR (this is adopted before final FWHM values are delivered, should be updated) (4) d_lambda in nm, calculated based on the resolution. 
# Data from G. Robertson, U. Sydney
# Author: Venu Kalari
# Created: 22 August 2022
#
# m lambda R d_lambda
  95 362.2  75000 0.004829
  94 366.1  75000 0.004881
  93 370.0  75000 0.004933
  92 374.1  75000 0.004988
  91 378.2  75000 0.005042
  90 382.4  75000 0.005098
  89 386.7  75000 0.005156
  88 391.1  75000 0.005214
  87 395.6  75000 0.005274
  86 400.2  75000 0.005336
  85 404.9  75000 0.005398
  84 409.7  75000 0.005462
  83 414.6  75000 0.005528
  82 419.7  75000 0.005596
  81 424.9  75000 0.005665
  80 430.2  75000 0.005736
  79 435.6  75000 0.005808
  78 441.2  75000 0.005882
  77 446.9  75000 0.005958
  76 452.8  75000 0.006037
  75 458.8  75000 0.006117
  74 465.0  75000 0.0062  
  73 471.4  75000 0.006285
  72 478.0  75000 0.006373
  71 484.7  75000 0.006462
  70 491.6  75000 0.006554
  69 498.7  75000 0.006649
  68 506.1  75000 0.006748
  67 513.6  75000 0.006848
  66 521.4  75000 0.006952
  65 529.4  75000 0.007058
  64 537.7  75000 0.007169
  63 546.2  75000 0.007282
  62 555.1  75000 0.007401
  61 564.2  75000 0.007522
  60 573.6  75000 0.007648
  59 583.3  75000 0.007777
  58 593.3  75000 0.007910
  57 603.7  75000 0.008049
  56 614.5  75000 0.008193
  55 625.7  75000 0.008342
  54 637.3  75000 0.008497
  53 649.3  75000 0.008657
  52 661.8  75000 0.008824
  51 674.8  75000 0.008997
  50 688.3  75000 0.009177
  49 702.3  75000 0.009363
  48 717.0  75000 0.00956 
  47 732.2  75000 0.009762
  46 748.1  75000 0.009974
  45 764.7  75000 0.010196
  44 782.1  75000 0.010428
  43 800.3  75000 0.010670
  42 819.4  75000 0.010925
  41 839.4  75000 0.011192
  40 860.3  75000 0.011470
  39 882.4  75000 0.011765
  38 905.6  75000 0.012074
  37 930.1  75000 0.012401
  36 955.9  75000 0.012745
  35 983.2  75000 0.013109
  34 1012.2 75000 0.013496
