# GMOS-N efficiency curve for B1200_G5301 grating (formerly called grating A)
# Columns are (1) wavelength in nm, (2) efficiency.
# Data from Richardson Gratings Labs, file 1127udfa.xls
# Extrapolations at short and long wavelengths to cover 300-1100nm
# To correct for difference in mounting, the wavelength given here is
#  wavelength_GMOS = wavelength_lab * 0.905 
# Author: Inger Jorgensen
# Created: 15 Feb 2001
#
# Modified 25 Feb 2010 to change extrapolated long wavelength to 1.2 microns
# Extrapolation determined by linear fit to last 15 points
# Kathy Roth
#
# Table gmos_gratingsITC2001.tab  Thu 13:39:43 15-Feb-2001
# lambda_gmos  B1200
 
       271.80 0.3000
       294.45 0.3710
       317.10 0.4420
       321.63 0.4176
       326.16 0.4070
       330.69 0.4012
       335.22 0.4040
       339.75 0.4276
       344.28 0.4599
       348.81 0.4859
       353.34 0.5210
       357.87 0.5482
       362.40 0.5789
       366.93 0.5972
       371.46 0.6206
       375.99 0.6371
       380.52 0.6431
       385.05 0.6587
       389.58 0.6696
       394.11 0.6857
       398.64 0.6983
       403.17 0.7085
       407.70 0.7129
       412.23 0.7210
       416.76 0.7254
       421.29 0.7286
       425.82 0.7284
       430.35 0.7314
       434.88 0.7355
       439.41 0.7355
       443.94 0.7391
       448.47 0.7410
       453.00 0.7422
       457.53 0.7420
       462.06 0.7433
       466.59 0.7387
       471.12 0.7345
       475.65 0.7274
       480.18 0.7197
       484.71 0.7204
       489.24 0.7181
       493.77 0.7157
       498.30 0.7120
       502.83 0.7109
       507.36 0.7153
       511.89 0.7130
       516.42 0.7066
       520.95 0.6984
       525.48 0.6950
       530.01 0.6870
       534.54 0.6858
       539.07 0.6847
       543.60 0.6825
       548.13 0.6842
       552.66 0.6778
       557.19 0.6745
       561.72 0.6683
       566.25 0.6639
       570.78 0.6513
       575.31 0.6471
       579.84 0.6430
       584.37 0.6313
       588.90 0.6269
       593.43 0.6245
       597.96 0.6131
       602.49 0.6104
       607.02 0.6057
       611.55 0.6009
       616.08 0.5884
       620.61 0.5821
       625.14 0.5742
       629.67 0.5685
       634.20 0.5612
       638.73 0.5565
       643.26 0.5504
       647.79 0.5460
       652.32 0.5375
       656.85 0.5324
       661.38 0.5246
       665.91 0.5165
       670.44 0.5125
       674.97 0.5041
       679.50 0.4962
       684.03 0.4898
       688.56 0.4892
       693.09 0.4825
       697.62 0.4760
       702.15 0.4733
       706.68 0.4675
       711.21 0.4626
       715.74 0.4525
       720.27 0.4489
       724.80 0.4361
       729.33 0.4321
       733.86 0.4260
       738.39 0.4232
       742.92 0.4200
       747.45 0.4155
       751.98 0.4112
       756.51 0.4074
       761.04 0.4052
       765.57 0.4036
       770.10 0.4017
       774.63 0.3990
       779.16 0.3937
       783.69 0.3940
       788.22 0.3931
       792.75 0.3886
       797.28 0.3913
       801.81 0.3879
       806.34 0.3859
       810.87 0.3857
       815.40 0.3842
       819.93 0.3822
       824.46 0.3807
       828.99 0.3797
       833.52 0.3781
       838.05 0.3783
       842.58 0.3755
       847.11 0.3719
       851.64 0.3727
       856.17 0.3699
       860.70 0.3695
       865.23 0.3672
       869.76 0.3660
       874.29 0.3646
       878.82 0.3629
       883.35 0.3613
       887.88 0.3595
       892.41 0.3587
       896.94 0.3573
       901.47 0.3561
       906.00 0.3546
       910.53 0.3526
       915.06 0.3516
       919.59 0.3505
       924.12 0.3496
       928.65 0.3479
       933.18 0.3472
       937.71 0.3453
       942.24 0.3448
       946.77 0.3433
       951.30 0.3426
       955.83 0.3412
       960.36 0.3401
       964.89 0.3391
       969.42 0.3385
       973.95 0.3371
       978.48 0.3366
       983.01 0.3357
       987.54 0.3347
       992.07 0.3341
       996.60 0.3334
      1200.00 0.2890
