# GMOS-N transmission curve for CaT
# GMOS-S CaT filter is virtually identical
# Columns are (1) wavelength in nm, (2) transmission.
# Data are from scans of the delivered filters for GMOS-N
# Start wavelength points are set to 0.00 for extrapolation.
# Author: Inger Jorgensen
# Created: 26 February 2003
#
# Effective wavelength for calculation of image quality
860.
#
#  Table CaT.tab  Wed 16:18:44 26-Feb-2003
# lambda CaT_G0309

   698.5     0.000
   698.9     0.000
   699.2     0.000
   699.6     0.005
   699.9     0.005
   700.3     0.006
   700.6     0.006
   701.0     0.006
   701.3     0.006
   701.7     0.006
   702.0     0.006
   702.3     0.006
   702.7     0.006
   703.0     0.006
   703.4     0.006
   703.7     0.006
   704.1     0.006
   704.4     0.006
   704.8     0.006
   705.1     0.006
   705.5     0.006
   705.8     0.006
   706.2     0.006
   706.5     0.006
   706.8     0.006
   707.2     0.006
   707.5     0.006
   707.9     0.006
   708.2     0.006
   708.6     0.006
   708.9     0.006
   709.3     0.006
   709.6     0.006
   710.0     0.006
   710.3     0.006
   710.6     0.006
   711.0     0.006
   711.3     0.006
   711.7     0.006
   712.0     0.006
   712.4     0.006
   712.7     0.006
   713.1     0.006
   713.4     0.006
   713.8     0.006
   714.1     0.006
   714.5     0.006
   714.8     0.006
   715.1     0.006
   715.5     0.006
   715.8     0.006
   716.2     0.006
   716.5     0.006
   716.9     0.006
   717.2     0.006
   717.6     0.006
   717.9     0.006
   718.3     0.006
   718.6     0.006
   718.9     0.007
   719.3     0.006
   719.6     0.007
   720.0     0.007
   720.3     0.007
   720.7     0.006
   721.0     0.006
   721.4     0.007
   721.7     0.007
   722.1     0.007
   722.4     0.007
   722.7     0.007
   723.1     0.007
   723.4     0.007
   723.8     0.006
   724.1     0.007
   724.5     0.007
   724.8     0.007
   725.2     0.007
   725.5     0.007
   725.9     0.007
   726.2     0.007
   726.6     0.007
   726.9     0.007
   727.2     0.007
   727.6     0.008
   727.9     0.007
   728.3     0.007
   728.6     0.007
   729.0     0.007
   729.3     0.007
   729.7     0.008
   730.0     0.008
   730.4     0.008
   730.7     0.008
   731.0     0.008
   731.4     0.008
   731.7     0.008
   732.1     0.008
   732.4     0.008
   732.8     0.008
   733.1     0.009
   733.5     0.009
   733.8     0.008
   734.2     0.009
   734.5     0.009
   734.9     0.009
   735.2     0.009
   735.5     0.009
   735.9     0.009
   736.2     0.009
   736.6     0.009
   736.9     0.010
   737.3     0.010
   737.6     0.010
   738.0     0.010
   738.3     0.010
   738.7     0.011
   739.0     0.011
   739.3     0.011
   739.7     0.012
   740.0     0.012
   740.4     0.012
   740.7     0.012
   741.1     0.012
   741.4     0.013
   741.8     0.014
   742.1     0.014
   742.5     0.014
   742.8     0.015
   743.1     0.015
   743.5     0.016
   743.8     0.017
   744.2     0.017
   744.5     0.018
   744.9     0.018
   745.2     0.019
   745.6     0.019
   745.9     0.020
   746.3     0.021
   746.6     0.022
   747.0     0.022
   747.3     0.023
   747.6     0.024
   748.0     0.026
   748.3     0.027
   748.7     0.028
   749.0     0.029
   749.4     0.030
   749.7     0.031
   750.1     0.033
   750.4     0.034
   750.8     0.035
   751.1     0.037
   751.4     0.039
   751.8     0.041
   752.1     0.042
   752.5     0.044
   752.8     0.046
   753.2     0.048
   753.5     0.050
   753.9     0.052
   754.2     0.054
   754.6     0.056
   754.9     0.058
   755.3     0.062
   755.6     0.064
   755.9     0.067
   756.3     0.070
   756.6     0.073
   757.0     0.076
   757.3     0.080
   757.7     0.083
   758.0     0.087
   758.4     0.090
   758.7     0.094
   759.1     0.097
   759.4     0.100
   759.7     0.104
   760.1     0.108
   760.4     0.112
   760.8     0.117
   761.1     0.122
   761.5     0.126
   761.8     0.131
   762.2     0.136
   762.5     0.141
   762.9     0.146
   763.2     0.149
   763.5     0.154
   763.9     0.160
   764.2     0.165
   764.6     0.170
   764.9     0.177
   765.3     0.183
   765.6     0.189
   766.0     0.195
   766.3     0.201
   766.7     0.207
   767.0     0.214
   767.4     0.220
   767.7     0.226
   768.0     0.234
   768.4     0.240
   768.7     0.246
   769.1     0.253
   769.4     0.259
   769.8     0.266
   770.1     0.272
   770.5     0.277
   770.8     0.284
   771.2     0.293
   771.5     0.301
   771.8     0.309
   772.2     0.317
   772.5     0.325
   772.9     0.333
   773.2     0.338
   773.6     0.343
   773.9     0.351
   774.3     0.361
   774.6     0.368
   775.0     0.374
   775.3     0.381
   775.7     0.387
   776.0     0.392
   776.3     0.401
   776.7     0.409
   777.0     0.414
   777.4     0.421
   777.7     0.430
   778.1     0.437
   778.4     0.444
   778.8     0.454
   779.1     0.460
   779.5     0.465
   779.8     0.469
   780.1     0.475
   780.5     0.481
   780.8     0.487
   781.2     0.495
   781.5     0.502
   781.9     0.510
   782.2     0.517
   782.6     0.525
   782.9     0.533
   783.3     0.541
   783.6     0.549
   783.9     0.555
   784.3     0.562
   784.6     0.571
   785.0     0.576
   785.3     0.581
   785.7     0.589
   786.0     0.595
   786.4     0.602
   786.7     0.613
   787.1     0.621
   787.4     0.626
   787.8     0.636
   788.1     0.643
   788.4     0.649
   788.8     0.660
   789.1     0.666
   789.5     0.673
   789.8     0.678
   790.2     0.685
   790.5     0.691
   790.9     0.695
   791.2     0.701
   791.6     0.708
   791.9     0.715
   792.2     0.721
   792.6     0.730
   792.9     0.734
   793.3     0.740
   793.6     0.748
   794.0     0.754
   794.3     0.756
   794.7     0.758
   795.0     0.762
   795.4     0.767
   795.7     0.773
   796.0     0.777
   796.4     0.781
   796.7     0.785
   797.1     0.786
   797.4     0.789
   797.8     0.796
   798.1     0.799
   798.5     0.803
   798.8     0.807
   799.0     0.811
   800.0     0.819
   801.0     0.826
   802.0     0.832
   803.0     0.838
   804.0     0.843
   805.0     0.848
   806.0     0.852
   807.0     0.856
   808.0     0.860
   809.0     0.862
   810.0     0.865
   811.0     0.867
   812.0     0.869
   813.0     0.870
   814.0     0.872
   815.0     0.873
   816.0     0.874
   817.0     0.875
   818.0     0.876
   819.0     0.876
   820.0     0.877
   821.0     0.878
   822.0     0.873
   823.0     0.875
   824.0     0.877
   825.0     0.879
   826.0     0.881
   827.0     0.883
   828.0     0.885
   829.0     0.887
   830.0     0.889
   831.0     0.890
   832.0     0.891
   833.0     0.893
   834.0     0.894
   835.0     0.895
   836.0     0.896
   837.0     0.896
   838.0     0.897
   839.0     0.897
   840.0     0.897
   841.0     0.897
   842.0     0.897
   843.0     0.897
   844.0     0.896
   845.0     0.895
   846.0     0.895
   847.0     0.893
   848.0     0.892
   849.0     0.891
   850.0     0.889
   851.0     0.888
   852.0     0.887
   853.0     0.886
   854.0     0.884
   855.0     0.884
   856.0     0.882
   857.0     0.882
   858.0     0.881
   859.0     0.880
   860.0     0.880
   861.0     0.880
   862.0     0.880
   863.0     0.881
   864.0     0.882
   865.0     0.884
   866.0     0.886
   867.0     0.888
   868.0     0.891
   869.0     0.894
   870.0     0.897
   871.0     0.900
   872.0     0.903
   873.0     0.907
   874.0     0.911
   875.0     0.916
   876.0     0.920
   877.0     0.925
   878.0     0.930
   879.0     0.935
   880.0     0.939
   881.0     0.943
   882.0     0.947
   883.0     0.950
   884.0     0.953
   885.0     0.955
   886.0     0.956
   887.0     0.958
   888.0     0.958
   889.0     0.958
   890.0     0.957
   891.0     0.955
   892.0     0.954
   893.0     0.951
   894.0     0.948
   895.0     0.944
   896.0     0.940
   897.0     0.936
   898.0     0.931
   899.0     0.926
   900.0     0.922
   901.0     0.917
   902.0     0.913
   903.0     0.909
   904.0     0.906
   905.0     0.903
   906.0     0.902
   907.0     0.902
   908.0     0.903
   909.0     0.904
   910.0     0.907
   911.0     0.910
   912.0     0.913
   913.0     0.917
   914.0     0.922
   915.0     0.926
   916.0     0.930
   917.0     0.934
   918.0     0.936
   919.0     0.935
   920.0     0.932
   921.0     0.925
   922.0     0.913
   923.0     0.896
   924.0     0.873
   925.0     0.845
   926.0     0.812
   927.0     0.773
   928.0     0.729
   929.0     0.682
   930.0     0.631
   931.0     0.577
   932.0     0.524
   933.0     0.473
   934.0     0.423
   935.0     0.376
   936.0     0.334
   937.0     0.294
   938.0     0.259
   939.0     0.228
   940.0     0.200
   941.0     0.176
   942.0     0.155
   943.0     0.136
   944.0     0.120
   945.0     0.105
   946.0     0.093
   947.0     0.082
   948.0     0.073
   949.0     0.065
   950.0     0.058
   951.0     0.051
   952.0     0.046
   953.0     0.041
   954.0     0.037
   955.0     0.034
   956.0     0.031
   957.0     0.028
   958.0     0.025
   959.0     0.023
   960.0     0.021
   961.0     0.019
   962.0     0.017
   963.0     0.016
   964.0     0.014
   965.0     0.013
   966.0     0.012
   967.0     0.011
   968.0     0.011
   969.0     0.010
   970.0     0.009
   971.0     0.008
   972.0     0.008
   973.0     0.007
   974.0     0.007
   975.0     0.006
   976.0     0.006
   977.0     0.005
   978.0     0.005
   979.0     0.005
   980.0     0.005
   981.0     0.004
   982.0     0.004
   983.0     0.004
   984.0     0.004
   985.0     0.003
   986.0     0.003
   987.0     0.003
   988.0     0.003
   989.0     0.003
   990.0     0.003
   991.0     0.002
   992.0     0.002
   993.0     0.002
   994.0     0.002
   995.0     0.002
   996.0     0.002
   997.0     0.002
   998.0     0.000
   999.0     0.000
  1000.0     0.000
