# GMOS-N transmission curve for DS920
# Columns are (1) wavelength in nm, (2) transmission.
# Data are from scans of the delivered filters for GMOS-N
# Start wavelength points are set to 0.00 for extrapolation.
# Author: Inger Jorgensen
# Created: 26 February 2003
#
# Effective wavelength for calculation of image quality
918.
#
#  Table andnarrow.tab  Wed 11:31:57 26-Feb-2003
# lambda DS920_G0312

   891.9       0.000
   892.2       0.000
   892.6       0.000
   892.9       0.003
   893.3       0.003
   893.6       0.003
   894.0       0.003
   894.3       0.004
   894.7       0.004
   895.0       0.003
   895.4       0.004
   895.7       0.004
   896.0       0.004
   896.4       0.004
   896.7       0.004
   897.1       0.004
   897.4       0.004
   897.8       0.004
   898.1       0.004
   898.5       0.004
   898.8       0.005
   899.2       0.005
   899.5       0.005
   899.9       0.005
   900.2       0.005
   900.5       0.006
   900.9       0.006
   901.2       0.006
   901.6       0.006
   901.9       0.007
   902.3       0.008
   902.6       0.008
   903.0       0.009
   903.3       0.009
   903.7       0.010
   904.0       0.011
   904.3       0.012
   904.7       0.013
   905.0       0.014
   905.4       0.015
   905.7       0.017
   906.1       0.020
   906.4       0.023
   906.8       0.026
   907.1       0.030
   907.5       0.034
   907.8       0.041
   908.1       0.050
   908.5       0.062
   908.8       0.073
   909.2       0.087
   909.5       0.106
   909.9       0.128
   910.2       0.150
   910.6       0.170
   910.9       0.195
   911.3       0.223
   911.6       0.262
   912.0       0.314
   912.3       0.382
   912.6       0.471
   913.0       0.553
   913.3       0.632
   913.7       0.701
   914.0       0.752
   914.4       0.778
   914.7       0.793
   915.1       0.812
   915.4       0.825
   915.8       0.841
   916.1       0.851
   916.4       0.861
   916.8       0.872
   917.1       0.880
   917.5       0.889
   917.8       0.895
   918.2       0.902
   918.5       0.906
   918.9       0.910
   919.2       0.913
   919.6       0.915
   919.9       0.916
   920.3       0.917
   920.6       0.917
   920.9       0.916
   921.3       0.915
   921.6       0.913
   922.0       0.910
   922.3       0.907
   922.7       0.903
   923.0       0.900
   923.4       0.894
   923.7       0.890
   924.1       0.884
   924.4       0.879
   924.7       0.874
   925.1       0.866
   925.4       0.861
   925.8       0.853
   926.1       0.847
   926.5       0.838
   926.8       0.832
   927.2       0.822
   927.5       0.815
   927.9       0.804
   928.2       0.796
   928.5       0.787
   928.9       0.774
   929.2       0.763
   929.6       0.748
   929.9       0.735
   930.3       0.723
   930.6       0.677
   931.0       0.615
   931.3       0.527
   931.7       0.427
   932.0       0.341
   932.4       0.270
   932.7       0.222
   933.0       0.191
   933.4       0.168
   933.7       0.145
   934.1       0.125
   934.4       0.107
   934.8       0.090
   935.1       0.073
   935.5       0.058
   935.8       0.045
   936.2       0.037
   936.5       0.030
   936.8       0.027
   937.2       0.024
   937.5       0.022
   937.9       0.020
   938.2       0.018
   938.6       0.016
   938.9       0.014
   939.3       0.012
   939.6       0.011
   940.0       0.009
   940.3       0.008
   940.7       0.008
   941.0       0.007
   941.3       0.007
   941.7       0.007
   942.0       0.007
   942.4       0.006
   942.7       0.006
   943.1       0.005
   943.4       0.005
   943.8       0.004
   944.1       0.004
   944.5       0.004
   944.8       0.004
   945.1       0.004
   945.5       0.004
   945.8       0.004
   946.2       0.004
   946.5       0.004
   946.9       0.000
   947.2       0.000
   947.6       0.000
