# E2V 42-90 DD devices from proposal sent by Paul Jorden 10Jun11
# with astro muti-layer 2 coating
# values pulled off a plot included in proposal.
#
# Author: Scot Kleinman (Aug 2011)
#
# lambda     QE
#  [nm]      
#
   300       0.05 
   350       0.35
   400       0.65
   450       0.80
   500       0.85
   550       0.86
   600       0.88
   650       0.90
   700       0.92
   750       0.91
   800       0.87
   850       0.76
   900       0.58
   950       0.31
  1000       0.13
  1050       0.03
  1100       0.00
