# GMOS-N transmission curve for HaC (Halpha Continuum)
# Columns are (1) wavelength in nm, (2) transmission.
# Data are from scans of the delivered filters for GMOS-N
# Start wavelength points are set to 0.00 for extrapolation.
# Author: Inger Jorgensen
# Created: 26 February 2003
#
# Effective wavelength for calculation of image quality
662.
#
#  Table andnarrow.tab  Wed 11:31:57 26-Feb-2003
# lambda HaC_G0311

   651.2     0.000
   651.6     0.000
   651.9     0.000
   652.3     0.003
   652.6     0.003
   653.0     0.003
   653.3     0.003
   653.7     0.003
   654.0     0.003
   654.4     0.004
   654.7     0.004
   655.1     0.006
   655.4     0.006
   655.7     0.007
   656.1     0.009
   656.4     0.011
   656.8     0.015
   657.1     0.020
   657.5     0.031
   657.8     0.047
   658.2     0.077
   658.5     0.128
   658.9     0.201
   659.2     0.302
   659.5     0.415
   659.9     0.526
   660.2     0.633
   660.6     0.721
   660.9     0.781
   661.3     0.825
   661.6     0.852
   662.0     0.868
   662.3     0.884
   662.7     0.897
   663.0     0.905
   663.3     0.913
   663.7     0.918
   664.0     0.931
   664.4     0.932
   664.7     0.919
   665.1     0.892
   665.4     0.841
   665.8     0.762
   666.1     0.652
   666.5     0.523
   666.8     0.396
   667.2     0.282
   667.5     0.186
   667.8     0.117
   668.2     0.073
   668.5     0.046
   668.9     0.029
   669.2     0.020
   669.6     0.015
   669.9     0.012
   670.3     0.009
   670.6     0.007
   671.0     0.006
   671.3     0.005
   671.6     0.005
   672.0     0.004
   672.3     0.004
   672.7     0.004
   673.0     0.003
   673.4     0.003
   673.7     0.003
   674.1     0.003
   674.4     0.003
   674.8     0.003
   675.1     0.003
   675.5     0.000
   675.8     0.000
   676.1     0.000
