# GMOS-N transmission curve for Ha (Halpha)
# Columns are (1) wavelength in nm, (2) transmission.
# Data are from scans of the delivered filters for GMOS-N
# Start wavelength points are set to 0.00 for extrapolation.
# Author: Inger Jorgensen
# Created: 26 February 2003
#
# Effective wavelength for calculation of image quality
655.
#
#  Table andnarrow.tab  Wed 11:31:57 26-Feb-2003
# lambda Ha_G0310

   646.1    0.000
   646.4    0.000
   646.8    0.000
   647.1    0.003
   647.4    0.003
   647.8    0.003
   648.1    0.003
   648.5    0.004
   648.8    0.004
   649.2    0.004
   649.5    0.005
   649.9    0.006
   650.2    0.007
   650.6    0.007
   650.9    0.010
   651.2    0.012
   651.6    0.017
   651.9    0.023
   652.3    0.035
   652.6    0.054
   653.0    0.096
   653.3    0.172
   653.7    0.288
   654.0    0.436
   654.4    0.585
   654.7    0.715
   655.1    0.806
   655.4    0.851
   655.7    0.860
   656.1    0.865
   656.4    0.881
   656.8    0.894
   657.1    0.898
   657.5    0.898
   657.8    0.896
   658.2    0.894
   658.5    0.892
   658.9    0.888
   659.2    0.886
   659.5    0.868
   659.9    0.819
   660.2    0.749
   660.6    0.653
   660.9    0.550
   661.3    0.441
   661.6    0.337
   662.0    0.249
   662.3    0.172
   662.7    0.114
   663.0    0.073
   663.3    0.044
   663.7    0.028
   664.0    0.018
   664.4    0.012
   664.7    0.008
   665.1    0.006
   665.4    0.005
   665.8    0.005
   666.1    0.004
   666.5    0.004
   666.8    0.003
   667.2    0.003
   667.5    0.003
   667.8    0.003
   668.2    0.003
   668.5    0.000
   668.9    0.000
   669.2    0.000
