#GMOS-N HeIIC
#Effective wavelength
478.0

450.0 0.001
450.3 0.001
450.6 0.001
450.9 0.001
451.2 0.001
451.5 0.001
451.8 0.001
452.1 0.001
452.4 0.001
452.7 0.001
453.0 0.001
453.3 0.001
453.6 0.001
453.9 0.001
454.2 0.001
454.5 0.001
454.8 0.001
455.1 0.001
455.4 0.001
455.7 0.001
456.0 0.001
456.3 0.002
456.6 0.002
456.9 0.002
457.2 0.002
457.5 0.002
457.8 0.002
458.1 0.002
458.4 0.002
458.7 0.002
459.0 0.002
459.3 0.002
459.6 0.002
459.9 0.002
460.2 0.002
460.5 0.002
460.8 0.002
461.1 0.002
461.4 0.002
461.7 0.002
462.0 0.002
462.3 0.002
462.6 0.002
462.9 0.002
463.2 0.002
463.5 0.002
463.8 0.002
464.1 0.002
464.4 0.002
464.7 0.002
465.0 0.003
465.3 0.003
465.6 0.003
465.9 0.003
466.2 0.004
466.5 0.004
466.8 0.005
467.1 0.005
467.4 0.006
467.7 0.007
468.0 0.008
468.3 0.009
468.6 0.010
468.9 0.012
469.2 0.013
469.5 0.015
469.8 0.018
470.1 0.021
470.4 0.024
470.7 0.029
471.0 0.035
471.3 0.043
471.6 0.053
471.9 0.067
472.2 0.085
472.5 0.109
472.8 0.141
473.1 0.182
473.4 0.231
473.7 0.290
474.0 0.356
474.3 0.426
474.6 0.497
474.9 0.566
475.2 0.628
475.5 0.680
475.8 0.722
476.1 0.753
476.4 0.775
476.7 0.789
477.0 0.797
477.3 0.802
477.6 0.803
477.9 0.805
478.2 0.805
478.5 0.805
478.8 0.802
479.1 0.797
479.4 0.789
479.7 0.775
480.0 0.753
480.3 0.723
480.6 0.682
480.9 0.632
481.2 0.572
481.5 0.507
481.8 0.439
482.1 0.370
482.4 0.305
482.7 0.246
483.0 0.194
483.3 0.151
483.6 0.116
483.9 0.090
484.2 0.069
484.5 0.053
484.8 0.042
485.1 0.033
485.4 0.026
485.7 0.021
486.0 0.017
486.3 0.014
486.6 0.012
486.9 0.010
487.2 0.009
487.5 0.007
487.8 0.006
488.1 0.005
488.4 0.005
488.7 0.004
489.0 0.004
489.3 0.003
489.6 0.003
489.9 0.003
490.2 0.002
490.5 0.002
490.8 0.002
491.1 0.002
491.4 0.002
491.7 0.001
492.0 0.001
492.3 0.001
492.6 0.001
492.9 0.001
493.2 0.001
493.5 0.001
493.8 0.001
494.1 0.001
494.4 0.001
494.7 0.001
495.0 0.001
495.3 0.001
495.6 0.001
495.9 0.001
496.2 0.001
496.5 0.001
496.8 0.001
497.1 0.001
497.4 0.001
497.7 0.001
498.0 0.001
498.3 0.001
498.6 0.001
498.9 0.001
499.2 0.001
499.5 0.001
499.8 0.001
