#GMOS-N HeII filter
# Effective wavelength
468.0

449.8 0.000
450.0 0.002
450.3 0.002
450.6 0.002
450.9 0.002
451.2 0.002
451.5 0.002
451.8 0.002
452.1 0.002
452.4 0.002
452.7 0.002
453.0 0.002
453.3 0.002
453.6 0.002
453.9 0.002
454.2 0.002
454.5 0.003
454.8 0.003
455.1 0.003
455.4 0.003
455.7 0.003
456.0 0.003
456.3 0.004
456.6 0.004
456.9 0.004
457.2 0.005
457.5 0.005
457.8 0.006
458.1 0.007
458.4 0.007
458.7 0.008
459.0 0.009
459.3 0.010
459.6 0.012
459.9 0.013
460.2 0.015
460.5 0.017
460.8 0.019
461.1 0.022
461.4 0.026
461.7 0.031
462.0 0.037
462.3 0.046
462.6 0.058
462.9 0.075
463.2 0.097
463.5 0.127
463.8 0.166
464.1 0.213
464.4 0.270
464.7 0.333
465.0 0.401
465.3 0.469
465.6 0.534
465.9 0.592
466.2 0.641
466.5 0.679
466.8 0.707
467.1 0.725
467.4 0.736
467.7 0.742
468.0 0.746
468.3 0.747
468.6 0.748
468.9 0.748
469.2 0.746
469.5 0.741
469.8 0.731
470.1 0.714
470.4 0.689
470.7 0.653
471.0 0.606
471.3 0.549
471.6 0.485
471.9 0.417
472.2 0.349
472.5 0.285
472.8 0.226
473.1 0.176
473.4 0.135
473.7 0.103
474.0 0.079
474.3 0.060
474.6 0.047
474.9 0.037
475.2 0.029
475.5 0.023
475.8 0.019
476.1 0.016
476.4 0.013
476.7 0.011
477.0 0.010
477.3 0.008
477.6 0.007
477.9 0.006
478.2 0.006
478.5 0.005
478.8 0.004
479.1 0.004
479.4 0.003
479.7 0.003
480.0 0.003
480.3 0.003
480.6 0.002
480.9 0.002
481.2 0.002
481.5 0.002
481.8 0.002
482.1 0.002
482.4 0.002
482.7 0.002
483.0 0.001
483.3 0.001
483.6 0.001
483.9 0.001
484.2 0.001
484.5 0.001
484.8 0.001
485.1 0.001
485.4 0.001
485.7 0.001
486.0 0.001
486.3 0.001
486.6 0.001
486.9 0.001
487.2 0.001
487.5 0.001
487.8 0.001
488.1 0.001
488.4 0.001
488.7 0.001
489.0 0.001
489.3 0.001
489.6 0.001
489.9 0.001
490.2 0.001
490.5 0.001
490.8 0.001
491.1 0.001
491.4 0.001
491.7 0.001
492.0 0.001
492.3 0.001
492.6 0.001
492.9 0.001
493.2 0.001
493.5 0.001
493.8 0.001
494.1 0.001
494.4 0.001
494.7 0.001
495.0 0.001
495.3 0.001
495.6 0.001
495.9 0.001
496.2 0.001
496.5 0.001
496.8 0.001
497.1 0.001
497.4 0.001
497.7 0.001
498.0 0.001
498.3 0.001
498.6 0.001
498.9 0.001
499.2 0.001
499.5 0.001
499.8 0.001
500.0 0.000
