#GMOS-N OIIIC
#Effective wavlength
514

474.0 0.003
474.3 0.003
474.6 0.003
474.9 0.003
475.2 0.003
475.5 0.003
475.8 0.003
476.1 0.003
476.4 0.003
476.7 0.003
477.0 0.003
477.3 0.003
477.6 0.003
477.9 0.003
478.2 0.003
478.5 0.003
478.8 0.003
479.1 0.003
479.4 0.003
479.7 0.003
480.0 0.003
480.3 0.003
480.6 0.003
480.9 0.004
481.2 0.004
481.5 0.004
481.8 0.004
482.1 0.004
482.4 0.004
482.7 0.004
483.0 0.004
483.3 0.004
483.6 0.004
483.9 0.004
484.2 0.004
484.5 0.004
484.8 0.004
485.1 0.004
485.4 0.004
485.7 0.004
486.0 0.004
486.3 0.004
486.6 0.004
486.9 0.004
487.2 0.004
487.5 0.004
487.8 0.004
488.1 0.004
488.4 0.004
488.7 0.004
489.0 0.004
489.3 0.004
489.6 0.004
489.9 0.004
490.2 0.004
490.5 0.004
490.8 0.004
491.1 0.004
491.4 0.004
491.7 0.005
492.0 0.005
492.3 0.005
492.6 0.005
492.9 0.005
493.2 0.005
493.5 0.005
493.8 0.005
494.1 0.005
494.4 0.005
494.7 0.004
495.0 0.004
495.3 0.004
495.6 0.004
495.9 0.004
496.2 0.004
496.5 0.004
496.8 0.004
497.1 0.004
497.4 0.004
497.7 0.004
498.0 0.004
498.3 0.004
498.6 0.004
498.9 0.004
499.2 0.004
499.5 0.004
499.8 0.004
500.1 0.004
500.4 0.005
500.7 0.005
501.0 0.005
501.3 0.005
501.6 0.005
501.9 0.005
502.2 0.006
502.5 0.006
502.8 0.006
503.1 0.006
503.4 0.007
503.7 0.007
504.0 0.007
504.3 0.008
504.6 0.008
504.9 0.009
505.2 0.010
505.5 0.011
505.8 0.012
506.1 0.013
506.4 0.015
506.7 0.017
507.0 0.019
507.3 0.023
507.6 0.027
507.9 0.033
508.2 0.042
508.5 0.054
508.8 0.071
509.1 0.096
509.4 0.130
509.7 0.175
510.0 0.231
510.3 0.299
510.6 0.376
510.9 0.456
511.2 0.537
511.5 0.612
511.8 0.677
512.1 0.729
512.4 0.766
512.7 0.792
513.0 0.808
513.3 0.816
513.6 0.820
513.9 0.821
514.2 0.821
514.5 0.821
514.8 0.820
515.1 0.819
515.4 0.817
515.7 0.814
516.0 0.809
516.3 0.799
516.6 0.781
516.9 0.753
517.2 0.711
517.5 0.656
517.8 0.588
518.1 0.511
518.4 0.430
518.7 0.350
519.0 0.276
519.3 0.211
519.6 0.158
519.9 0.116
520.2 0.086
520.5 0.064
520.8 0.048
521.1 0.037
521.4 0.029
521.7 0.024
522.0 0.020
522.3 0.016
522.6 0.014
522.9 0.012
523.2 0.011
523.5 0.010
523.8 0.009
524.1 0.008
524.4 0.007
524.7 0.007
525.0 0.007
525.3 0.006
525.6 0.006
525.9 0.006
526.2 0.005
526.5 0.005
526.8 0.005
527.1 0.005
527.4 0.005
527.7 0.005
528.0 0.005
528.3 0.004
528.6 0.004
528.9 0.004
529.2 0.004
529.5 0.004
529.8 0.004
530.1 0.004
530.4 0.004
530.7 0.004
531.0 0.004
531.3 0.004
531.6 0.004
531.9 0.004
532.2 0.004
532.5 0.004
532.8 0.004
533.1 0.004
533.4 0.004
533.7 0.004
534.0 0.004
534.3 0.004
534.6 0.004
534.9 0.004
535.2 0.004
535.5 0.004
535.8 0.004
536.1 0.004
536.4 0.004
536.7 0.003
537.0 0.003
537.3 0.003
537.6 0.003
537.9 0.003
538.2 0.003
538.5 0.003
538.8 0.003
539.1 0.003
539.4 0.003
539.7 0.003
540.0 0.003
540.3 0.003
540.6 0.003
540.9 0.003
541.2 0.003
541.5 0.003
541.8 0.003
542.1 0.003
542.4 0.003
542.7 0.003
543.0 0.003
543.3 0.003
543.6 0.003
543.9 0.003
544.2 0.003
544.5 0.003
544.8 0.004
545.1 0.004
545.4 0.004
545.7 0.004
546.0 0.004
546.3 0.003
546.6 0.003
546.9 0.004
