#GMOS-N OIII
#Effective wavelength
499.0

465.0 0.003
465.3 0.003
465.6 0.003
465.9 0.003
466.2 0.003
466.5 0.003
466.8 0.003
467.1 0.003
467.4 0.003
467.7 0.003
468.0 0.003
468.3 0.003
468.6 0.003
468.9 0.003
469.2 0.003
469.5 0.003
469.8 0.003
470.1 0.003
470.4 0.003
470.7 0.003
471.0 0.003
471.3 0.004
471.6 0.003
471.9 0.003
472.2 0.003
472.5 0.003
472.8 0.003
473.1 0.003
473.4 0.003
473.7 0.003
474.0 0.003
474.3 0.003
474.6 0.003
474.9 0.003
475.2 0.003
475.5 0.003
475.8 0.003
476.1 0.003
476.4 0.003
476.7 0.003
477.0 0.003
477.3 0.003
477.6 0.003
477.9 0.003
478.2 0.004
478.5 0.004
478.8 0.004
479.1 0.004
479.4 0.004
479.7 0.004
480.0 0.004
480.3 0.004
480.6 0.004
480.9 0.004
481.2 0.004
481.5 0.004
481.8 0.004
482.1 0.004
482.4 0.004
482.7 0.004
483.0 0.004
483.3 0.004
483.6 0.004
483.9 0.004
484.2 0.004
484.5 0.004
484.8 0.004
485.1 0.004
485.4 0.004
485.7 0.004
486.0 0.004
486.3 0.004
486.6 0.004
486.9 0.004
487.2 0.004
487.5 0.004
487.8 0.005
488.1 0.005
488.4 0.005
488.7 0.006
489.0 0.006
489.3 0.007
489.6 0.007
489.9 0.008
490.2 0.009
490.5 0.009
490.8 0.011
491.1 0.012
491.4 0.013
491.7 0.015
492.0 0.017
492.3 0.019
492.6 0.022
492.9 0.025
493.2 0.029
493.5 0.034
493.8 0.040
494.1 0.047
494.4 0.056
494.7 0.067
495.0 0.082
495.3 0.101
495.6 0.126
495.9 0.158
496.2 0.198
496.5 0.248
496.8 0.307
497.1 0.374
497.4 0.445
497.7 0.518
498.0 0.588
498.3 0.652
498.6 0.707
498.9 0.748
499.2 0.776
499.5 0.790
499.8 0.789
500.1 0.772
500.4 0.740
500.7 0.694
501.0 0.635
501.3 0.566
501.6 0.491
501.9 0.414
502.2 0.340
502.5 0.272
502.8 0.213
503.1 0.165
503.4 0.126
503.7 0.097
504.0 0.075
504.3 0.059
504.6 0.047
504.9 0.038
505.2 0.032
505.5 0.027
505.8 0.023
506.1 0.020
506.4 0.017
506.7 0.015
507.0 0.014
507.3 0.013
507.6 0.012
507.9 0.011
508.2 0.010
508.5 0.009
508.8 0.009
509.1 0.008
509.4 0.008
509.7 0.007
510.0 0.007
510.3 0.007
510.6 0.006
510.9 0.006
511.2 0.006
511.5 0.006
511.8 0.006
512.1 0.006
512.4 0.005
512.7 0.005
513.0 0.005
513.3 0.005
513.6 0.005
513.9 0.005
514.2 0.005
514.5 0.005
514.8 0.005
515.1 0.005
515.4 0.005
515.7 0.004
516.0 0.004
516.3 0.004
516.6 0.004
516.9 0.004
517.2 0.004
517.5 0.004
517.8 0.004
518.1 0.004
518.4 0.004
518.7 0.004
519.0 0.004
519.3 0.004
519.6 0.004
519.9 0.004
520.2 0.004
520.5 0.004
520.8 0.004
521.1 0.004
521.4 0.004
521.7 0.004
522.0 0.004
522.3 0.004
522.6 0.004
522.9 0.004
523.2 0.004
523.5 0.004
523.8 0.004
524.1 0.004
524.4 0.004
524.7 0.004
525.0 0.004
525.3 0.004
525.6 0.004
525.9 0.004
526.2 0.004
526.5 0.004
526.8 0.004
527.1 0.004
527.4 0.004
527.7 0.004
528.0 0.004
528.3 0.004
528.6 0.004
528.9 0.004
529.2 0.004
529.5 0.004
529.8 0.004
