# Gemini GMOS-N OVI continuum filter G0346
# Parallel beam at 4.12 degrees AOI

# Effective wavelength:
678.0

# Wavelength Transmission
#   (nm)        (0-1)
300.0   0.0000000
300.1   0.0000000
300.2   0.0000000
300.3   0.0000000
300.4   0.0000000
300.5   0.0000000
300.6   0.0000000
300.7   0.0000000
300.8   0.0000000
300.9   0.0000000
301.0   0.0000000
301.1   0.0000000
301.2   0.0000000
301.3   0.0000000
301.4   0.0000000
301.5   0.0000000
301.6   0.0000000
301.7   0.0000000
301.8   0.0000000
301.9   0.0000000
302.0   0.0000000
302.1   0.0000000
302.2   0.0000000
302.3   0.0000000
302.4   0.0000000
302.5   0.0000000
302.6   0.0000000
302.7   0.0000000
302.8   0.0000000
302.9   0.0000000
303.0   0.0000000
303.1   0.0000000
303.2   0.0000000
303.3   0.0000000
303.4   0.0000000
303.5   0.0000000
303.6   0.0000000
303.7   0.0000000
303.8   0.0000000
303.9   0.0000000
304.0   0.0000000
304.1   0.0000000
304.2   0.0000000
304.3   0.0000000
304.4   0.0000000
304.5   0.0000000
304.6   0.0000000
304.7   0.0000000
304.8   0.0000000
304.9   0.0000000
305.0   0.0000000
305.1   0.0000000
305.2   0.0000000
305.3   0.0000000
305.4   0.0000000
305.5   0.0000000
305.6   0.0000000
305.7   0.0000000
305.8   0.0000000
305.9   0.0000000
306.0   0.0000000
306.1   0.0000000
306.2   0.0000000
306.3   0.0000000
306.4   0.0000000
306.5   0.0000000
306.6   0.0000000
306.7   0.0000000
306.8   0.0000000
306.9   0.0000000
307.0   0.0000000
307.1   0.0000000
307.2   0.0000000
307.3   0.0000000
307.4   0.0000000
307.5   0.0000000
307.6   0.0000000
307.7   0.0000000
307.8   0.0000000
307.9   0.0000000
308.0   0.0000000
308.1   0.0000000
308.2   0.0000000
308.3   0.0000000
308.4   0.0000000
308.5   0.0000000
308.6   0.0000000
308.7   0.0000000
308.8   0.0000000
308.9   0.0000000
309.0   0.0000000
309.1   0.0000000
309.2   0.0000000
309.3   0.0000000
309.4   0.0000000
309.5   0.0000000
309.6   0.0000000
309.7   0.0000000
309.8   0.0000000
309.9   0.0000000
310.0   0.0000000
310.1   0.0000000
310.2   0.0000000
310.3   0.0000000
310.4   0.0000000
310.5   0.0000000
310.6   0.0000000
310.7   0.0000000
310.8   0.0000000
310.9   0.0000000
311.0   0.0000000
311.1   0.0000000
311.2   0.0000000
311.3   0.0000000
311.4   0.0000000
311.5   0.0000000
311.6   0.0000000
311.7   0.0000000
311.8   0.0000000
311.9   0.0000000
312.0   0.0000000
312.1   0.0000000
312.2   0.0000000
312.3   0.0000000
312.4   0.0000000
312.5   0.0000000
312.6   0.0000000
312.7   0.0000000
312.8   0.0000000
312.9   0.0000000
313.0   0.0000000
313.1   0.0000000
313.2   0.0000000
313.3   0.0000000
313.4   0.0000000
313.5   0.0000000
313.6   0.0000000
313.7   0.0000000
313.8   0.0000000
313.9   0.0000000
314.0   0.0000000
314.1   0.0000000
314.2   0.0000000
314.3   0.0000000
314.4   0.0000000
314.5   0.0000000
314.6   0.0000000
314.7   0.0000000
314.8   0.0000000
