# Gemini GMOS-N OVI filter G0345
# Parallel beam at 4.12 degrees AOI

# Effective wavelength (nm):
683.5

# Wavelength Transmission
#   (nm)        (0-1)
633.5   0.0000000
633.6   0.0000002
633.7   0.0000002
633.8   0.0000002
633.9   0.0000001
634.0   0.0000001
634.1   0.0000001
634.2   0.0000001
634.3   0.0000001
634.4   0.0000001
634.5   0.0000001
634.6   0.0000001
634.7   0.0000001
634.8   0.0000001
634.9   0.0000001
635.0   0.0000001
635.1   0.0000001
635.2   0.0000001
635.3   0.0000001
635.4   0.0000001
635.5   0.0000001
635.6   0.0000001
635.7   0.0000001
635.8   0.0000001
635.9   0.0000001
636.0   0.0000001
636.1   0.0000001
636.2   0.0000001
636.3   0.0000001
636.4   0.0000001
636.5   0.0000001
636.6   0.0000001
636.7   0.0000001
636.8   0.0000001
636.9   0.0000001
637.0   0.0000001
637.1   0.0000001
637.2   0.0000001
637.3   0.0000001
637.4   0.0000001
637.5   0.0000001
637.6   0.0000001
637.7   0.0000001
637.8   0.0000001
637.9   0.0000001
638.0   0.0000001
638.1   0.0000001
638.2   0.0000001
638.3   0.0000001
638.4   0.0000001
638.5   0.0000001
638.6   0.0000001
638.7   0.0000001
638.8   0.0000001
638.9   0.0000001
639.0   0.0000001
639.1   0.0000001
639.2   0.0000001
639.3   0.0000001
639.4   0.0000001
639.5   0.0000001
639.6   0.0000001
639.7   0.0000001
639.8   0.0000001
639.9   0.0000001
640.0   0.0000001
640.1   0.0000001
640.2   0.0000001
640.3   0.0000001
640.4   0.0000001
640.5   0.0000001
640.6   0.0000001
640.7   0.0000001
640.8   0.0000001
640.9   0.0000001
641.0   0.0000001
641.1   0.0000001
641.2   0.0000001
641.3   0.0000001
641.4   0.0000001
641.5   0.0000001
641.6   0.0000001
641.7   0.0000001
641.8   0.0000001
641.9   0.0000001
642.0   0.0000001
642.1   0.0000001
642.2   0.0000001
642.3   0.0000001
642.4   0.0000001
642.5   0.0000001
642.6   0.0000001
642.7   0.0000001
642.8   0.0000001
642.9   0.0000001
643.0   0.0000001
643.1   0.0000001
643.2   0.0000001
643.3   0.0000001
643.4   0.0000001
643.5   0.0000001
643.6   0.0000001
643.7   0.0000001
643.8   0.0000001
643.9   0.0000001
644.0   0.0000001
644.1   0.0000001
644.2   0.0000001
644.3   0.0000001
644.4   0.0000001
644.5   0.0000001
644.6   0.0000001
644.7   0.0000001
644.8   0.0000001
644.9   0.0000001
645.0   0.0000001
645.1   0.0000001
645.2   0.0000001
645.3   0.0000001
645.4   0.0000001
645.5   0.0000001
645.6   0.0000001
645.7   0.0000001
645.8   0.0000001
645.9   0.0000002
646.0   0.0000002
646.1   0.0000002
646.2   0.0000002
646.3   0.0000002
646.4   0.0000002
646.5   0.0000002
646.6   0.0000002
646.7   0.0000002
646.8   0.0000002
646.9   0.0000002
647.0   0.0000002
647.1   0.0000002
647.2   0.0000002
647.3   0.0000002
647.4   0.0000002
647.5   0.0000002
647.6   0.0000002
647.7   0.0000002
647.8   0.0000002
647.9   0.0000003
648.0   0.0000003
648.1   0.0000003
648.2   0.0000003
648.3   0.0000003
648.4   0.0000003
648.5   0.0000003
648.6   0.0000003
648.7   0.0000003
648.8   0.0000003
648.9   0.0000003
649.0   0.0000003
649.1   0.0000003
649.2   0.0000003
649.3   0.0000003
649.4   0.0000003
649.5   0.0000003
649.6   0.0000003
649.7   0.0000003
649.8   0.0000003
649.9   0.0000003
650.0   0.0000003
650.1   0.0000003
650.2   0.0000003
650.3   0.0000003
650.4   0.0000003
650.5   0.0000003
650.6   0.0000004
650.7   0.0000004
650.8   0.0000004
650.9   0.0000004
651.0   0.0000004
651.1   0.0000004
651.2   0.0000004
651.3   0.0000004
651.4   0.0000004
651.5   0.0000004
