# GMOS-N efficiency curve for R600_G5304 grating (formerly called grating D)
# Columns are (1) wavelength in nm, (2) efficiency.
# Data from Richardson Gratings Labs, file 1176udba.xls
# Extrapolations at short and long wavelengths to cover 300-1100nm
# To correct for difference in mounting, the wavelength given here is
#  wavelength_GMOS = wavelength_lab * 0.905 
# Author: Inger Jorgensen
# Created: 15 Feb 2001
#
# Modified 25 Feb 2010 to change extrapolated long wavelength to 1.2 microns
# Extrapolation determined by linear fit to last 15 points
# Kathy Roth
#
# Table gmos_gratingsITC2001.tab  Thu 13:39:43 15-Feb-2001
# lambda_gmos   R600

       271.80 0.0000
       294.45 0.0100
       317.10 0.0302
       321.63 0.0348
       326.16 0.0339
       330.69 0.0338
       335.22 0.0283
       339.75 0.0329
       344.28 0.0304
       348.81 0.0245
       353.34 0.0234
       357.87 0.0153
       362.40 0.0137
       366.93 0.0093
       371.46 0.0105
       375.99 0.0086
       380.52 0.0124
       385.05 0.0140
       389.58 0.0171
       394.11 0.0187
       398.64 0.0194
       403.17 0.0214
       407.70 0.0234
       412.23 0.0265
       416.76 0.0305
       421.29 0.0321
       425.82 0.0352
       430.35 0.0414
       434.88 0.0470
       439.41 0.0542
       443.94 0.0615
       448.47 0.0709
       453.00 0.0798
       457.53 0.0878
       462.06 0.0959
       466.59 0.1072
       471.12 0.1155
       475.65 0.1254
       480.18 0.1379
       484.71 0.1508
       489.24 0.1612
       493.77 0.1736
       498.30 0.1885
       502.83 0.2034
       507.36 0.2185
       511.89 0.2340
       516.42 0.2500
       520.95 0.2628
       525.48 0.2789
       530.01 0.2978
       534.54 0.3152
       539.07 0.3309
       543.60 0.3471
       548.13 0.3651
       552.66 0.3775
       557.19 0.3933
       561.72 0.4095
       566.25 0.4264
       570.78 0.4421
       575.31 0.4580
       579.84 0.4732
       584.37 0.4912
       588.90 0.5072
       593.43 0.5215
       597.96 0.5434
       602.49 0.5783
       607.02 0.6074
       611.55 0.6003
       616.08 0.5824
       620.61 0.5497
       625.14 0.5185
       629.67 0.4847
       634.20 0.4604
       638.73 0.4505
       643.26 0.4600
       647.79 0.4773
       652.32 0.4998
       656.85 0.5229
       661.38 0.5459
       665.91 0.5631
       670.44 0.5818
       674.97 0.5979
       679.50 0.6145
       684.03 0.6233
       688.56 0.6351
       693.09 0.6429
       697.62 0.6507
       702.15 0.6566
       706.68 0.6621
       711.21 0.6673
       715.74 0.6713
       720.27 0.6740
       724.80 0.6814
       729.33 0.6807
       733.86 0.6846
       738.39 0.6866
       742.92 0.6886
       747.45 0.6907
       751.98 0.6936
       756.51 0.6967
       761.04 0.6989
       765.57 0.7031
       770.10 0.7049
       774.63 0.7077
       779.16 0.7096
       783.69 0.7149
       788.22 0.7172
       792.75 0.7220
       797.28 0.7263
       801.81 0.7284
       806.34 0.7328
       810.87 0.7333
       815.40 0.7373
       819.93 0.7382
       824.46 0.7402
       828.99 0.7404
       833.52 0.7399
       838.05 0.7406
       842.58 0.7427
       847.11 0.7414
       851.64 0.7428
       856.17 0.7430
       860.70 0.7426
       865.23 0.7428
       869.76 0.7436
       874.29 0.7433
       878.82 0.7420
       883.35 0.7409
       887.88 0.7386
       892.41 0.7387
       896.94 0.7371
       901.47 0.7353
       906.00 0.7328
       910.53 0.7311
       915.06 0.7281
       919.59 0.7267
       924.12 0.7240
       928.65 0.7199
       933.18 0.7182
       937.71 0.7151
       942.24 0.7123
       946.77 0.7101
       951.30 0.7072
       955.83 0.7046
       960.36 0.7030
       964.89 0.7017
       969.42 0.6991
       973.95 0.6970
       978.48 0.6938
       983.01 0.6930
       987.54 0.6907
       992.07 0.6887
       996.60 0.6874
      1200.00 0.5880
