# GMOS-N efficiency curve for R831_G5302 grating (formerly called grating B)
# Columns are (1) wavelength in nm, (2) efficiency.
# Data from summary by Jeremy Allington-Smith, Sept 9, 2000
# Original data from fax from Richardson Gratings Labs
# Extrapolations at short and long wavelengths to cover 300-1100nm
# To correct for difference in mounting, the wavelength given here is
#  wavelength_GMOS = wavelength_lab * 0.905 
# Author: Inger Jorgensen
# Created: 15 Feb 2001
#
# Modified 25 Feb 2010 to change extrapolated long wavelength to 1.2 microns
# Extrapolation determined by linear fit to last 4 points
# Kathy Roth
#
# Table gmos_gratingsITC2001.tab  Thu 13:39:43 15-Feb-2001
# lambda_gmos   R831

       271.80 0.0000
       294.45 0.0000
       317.10 0.0100
       339.75 0.0160
       362.40 0.0200
       385.05 0.0230
       407.70 0.0400
       430.35 0.1100
       453.00 0.2120
       475.65 0.2590
       498.30 0.3030
       520.95 0.3860
       543.60 0.4730
       566.25 0.5550
       588.90 0.6250
       611.55 0.6680
       634.20 0.7020
       656.85 0.7250
       679.50 0.7420
       702.15 0.7420
       724.80 0.7360
       747.45 0.7320
       770.10 0.7270
       792.75 0.7340
       815.40 0.7390
       838.05 0.7390
       860.70 0.7390
       883.35 0.7320
       906.00 0.7230
       928.65 0.7150
       951.30 0.7060
       973.95 0.6900
       996.60 0.6730
      1200.00 0.5470
