# GMOS-N transmission curve for RG610 filter, 5mm thickness
# Columns are (1) wavelength in nm, (2) transmission.
# Data are from Schott's filter catalog (download version 1998)
# Start wavelength points are set to 0.00 for extrapolation.
# Author: Inger Jorgensen
# Created: 14 Feb 2001
#
# Effective wavelength for calculation of image quality
765.
#
# Table rg610_5mm.tab  Wed 11:01:56 14-Feb-2001
# lambda  rg610

     580  0.000
     585  0.000
     590  0.000
     595  0.001
     600  0.014
     605  0.099
     610  0.297
     615  0.519
     620  0.683
     625  0.783
     630  0.838
     635  0.869
     640  0.886
     645  0.896
     650  0.902
     655  0.904
     660  0.904
     665  0.905
     670  0.905
     675  0.905
     680  0.905
     685  0.907
     690  0.907
     695  0.907
     700  0.907
     705  0.907
     710  0.907
     715  0.907
     720  0.907
     725  0.907
     730  0.907
     735  0.907
     740  0.907
     745  0.907
     750  0.907
     755  0.907
     760  0.907
     765  0.907
     770  0.907
     775  0.907
     780  0.907
     785  0.907
     790  0.907
     795  0.907
     800  0.907
     805  0.907
     810  0.907
     815  0.907
     820  0.907
     825  0.907
     830  0.907
     835  0.907
     840  0.907
     845  0.907
     850  0.907
     855  0.907
     860  0.907
     865  0.907
     870  0.907
     875  0.907
     880  0.907
     885  0.907
     890  0.907
     895  0.907
     900  0.907
     905  0.907
     910  0.907
     915  0.907
     920  0.907
     925  0.907
     930  0.907
     935  0.907
     940  0.907
     945  0.907
     950  0.907
     955  0.907
     960  0.907
     965  0.907
     970  0.907
     975  0.907
     980  0.907
     985  0.907
     990  0.907
     995  0.907
    1000  0.907
    1005  0.907
    1010  0.907
    1015  0.907
    1020  0.907
    1025  0.907
    1030  0.907
    1035  0.907
    1040  0.907
    1045  0.907
    1050  0.907
    1055  0.907
    1060  0.907
    1065  0.907
    1070  0.907
    1075  0.907
    1080  0.907
    1085  0.907
    1090  0.907
    1095  0.907
    1100  0.907
