#GMOS-N SII
#Effective wavelength
672

654.5 0.004
654.7 0.004
654.8 0.004
655.0 0.004
655.1 0.004
655.2 0.004
655.4 0.004
655.5 0.004
655.7 0.004
655.8 0.004
656.0 0.004
656.2 0.004
656.3 0.004
656.5 0.004
656.6 0.004
656.8 0.004
656.9 0.005
657.0 0.005
657.2 0.005
657.3 0.005
657.5 0.005
657.7 0.005
657.8 0.005
658.0 0.005
658.1 0.005
658.2 0.005
658.4 0.005
658.5 0.005
658.7 0.005
658.8 0.005
659.0 0.005
659.2 0.005
659.3 0.006
659.5 0.006
659.6 0.006
659.8 0.006
659.9 0.006
660.0 0.006
660.2 0.007
660.3 0.007
660.5 0.007
660.7 0.007
660.8 0.008
661.0 0.008
661.1 0.008
661.2 0.009
661.4 0.009
661.5 0.009
661.7 0.010
661.8 0.010
662.0 0.011
662.2 0.011
662.3 0.012
662.5 0.013
662.6 0.013
662.8 0.014
662.9 0.015
663.0 0.016
663.2 0.017
663.3 0.018
663.5 0.019
663.7 0.020
663.8 0.021
664.0 0.022
664.1 0.023
664.2 0.025
664.4 0.026
664.5 0.028
664.7 0.029
664.8 0.031
665.0 0.032
665.2 0.034
665.3 0.036
665.5 0.038
665.6 0.040
665.8 0.043
665.9 0.046
666.0 0.049
666.2 0.052
666.3 0.056
666.5 0.060
666.7 0.065
666.8 0.071
667.0 0.077
667.1 0.085
667.2 0.093
667.4 0.103
667.5 0.114
667.7 0.127
667.8 0.143
668.0 0.160
668.2 0.179
668.3 0.202
668.5 0.227
668.6 0.255
668.8 0.285
668.9 0.319
669.0 0.355
669.2 0.394
669.3 0.434
669.5 0.475
669.7 0.516
669.8 0.558
670.0 0.598
670.1 0.637
670.2 0.674
670.4 0.708
670.5 0.739
670.7 0.767
670.8 0.791
671.0 0.812
671.2 0.828
671.3 0.841
671.5 0.850
671.6 0.856
671.8 0.858
671.9 0.858
672.0 0.854
672.2 0.848
672.3 0.838
672.5 0.826
672.7 0.811
672.8 0.793
673.0 0.772
673.1 0.749
673.2 0.723
673.4 0.695
673.5 0.664
673.7 0.632
673.8 0.598
674.0 0.563
674.2 0.527
674.3 0.491
674.5 0.454
674.6 0.419
674.8 0.384
674.9 0.351
675.0 0.319
675.2 0.289
675.3 0.262
675.5 0.236
675.7 0.213
675.8 0.192
676.0 0.174
676.1 0.157
676.2 0.142
676.4 0.128
676.5 0.116
676.7 0.105
676.8 0.095
677.0 0.087
677.2 0.079
677.3 0.073
677.5 0.067
677.6 0.061
677.8 0.057
677.9 0.052
678.0 0.048
678.2 0.045
678.3 0.042
678.5 0.039
678.7 0.036
678.8 0.033
679.0 0.031
679.1 0.029
679.2 0.027
679.4 0.025
679.5 0.024
679.7 0.022
679.8 0.021
680.0 0.020
680.2 0.018
680.3 0.017
680.5 0.016
680.6 0.015
680.8 0.014
680.9 0.014
681.0 0.013
681.2 0.012
681.3 0.012
681.5 0.011
681.7 0.011
681.8 0.010
682.0 0.010
682.1 0.009
682.2 0.009
682.4 0.009
682.5 0.008
682.7 0.008
682.8 0.008
683.0 0.008
683.2 0.007
683.3 0.007
683.5 0.007
683.6 0.007
683.8 0.007
683.9 0.007
684.0 0.006
684.2 0.006
684.3 0.006
684.5 0.006
684.7 0.006
684.8 0.006
685.0 0.006
685.1 0.006
685.2 0.006
685.4 0.006
685.5 0.006
685.7 0.006
685.8 0.005
686.0 0.005
686.2 0.005
686.3 0.005
686.5 0.005
686.6 0.005
686.8 0.005
686.9 0.005
687.0 0.005
687.2 0.005
687.3 0.005
687.5 0.005
687.7 0.005
687.8 0.005
688.0 0.005
688.1 0.005
688.2 0.005
688.4 0.005
688.5 0.005
688.7 0.005
688.8 0.004
689.0 0.004
689.2 0.004
689.3 0.004
689.5 0.004
689.6 0.004
689.8 0.004
689.9 0.004
690.0 0.004
690.2 0.004
690.3 0.004
690.5 0.004
690.7 0.004
690.8 0.004
691.0 0.004
691.1 0.004
691.2 0.004
691.4 0.004
691.5 0.004
691.7 0.004
691.8 0.004
692.0 0.004
