# wavelength(nm)	-100 deg
300	0.204
320	0.248
340	0.264
360	0.243
380	0.287
400	0.381
420	0.47
440	0.552
460	0.621
480	0.677
500	0.736
520	0.778
540	0.812
560	0.837
580	0.872
600	0.89
620	0.906
640	0.916
660	0.923
680	0.919
700	0.916
720	0.93
740	0.924
760	0.92
780	0.918
800	0.901
820	0.898
840	0.875
860	0.884
880	0.878
900	0.842
920	0.804
940	0.765
960	0.678
980	0.576
1000	0.423
1020	0.255
1040	0.117
1060	0.066
1080	0.025
1100	0.005
1120	0.001
1140	0.000
1200	0.000
