# GMOS-N transmission curve for u'
# Columns are (1) wavelength in nm, (2) transmission.
# Data are from scans of the delivered filters for GMOS-N
# Start wavelength points are set to 0.00 for extrapolation.
# Author: Inger Jorgensen
# Created: 26 February 2003
#
# Effective wavelength for calculation of image quality
350.
#
#  Table andoverfilters.tab  Wed 16:45:02 26-Feb-2003
# lambda u_G0308

   300.0   0.000
   301.0   0.000
   302.0   0.001
   303.0   0.001
   304.0   0.002
   305.0   0.004
   306.0   0.006
   307.0   0.009
   308.0   0.013
   309.0   0.019
   310.0   0.026
   311.0   0.035
   312.0   0.045
   313.0   0.057
   314.0   0.071
   315.0   0.086
   316.0   0.103
   317.0   0.121
   318.0   0.140
   319.0   0.160
   320.0   0.181
   321.0   0.203
   322.0   0.225
   323.0   0.247
   324.0   0.269
   325.0   0.291
   326.0   0.313
   327.0   0.335
   328.0   0.356
   329.0   0.377
   330.0   0.397
   331.0   0.417
   332.0   0.435
   333.0   0.453
   334.0   0.469
   335.0   0.485
   336.0   0.500
   337.0   0.514
   338.0   0.527
   339.0   0.540
   340.0   0.551
   341.0   0.563
   342.0   0.573
   343.0   0.584
   344.0   0.593
   345.0   0.602
   346.0   0.611
   347.0   0.619
   348.0   0.627
   349.0   0.634
   350.0   0.641
   351.0   0.648
   352.0   0.655
   353.0   0.660
   354.0   0.667
   355.0   0.672
   356.0   0.677
   357.0   0.681
   358.0   0.685
   359.0   0.688
   360.0   0.692
   361.0   0.695
   362.0   0.697
   363.0   0.699
   364.0   0.701
   365.0   0.702
   366.0   0.702
   367.0   0.702
   368.0   0.701
   369.0   0.700
   370.0   0.698
   371.0   0.695
   372.0   0.691
   373.0   0.687
   374.0   0.681
   375.0   0.674
   376.0   0.665
   377.0   0.656
   378.0   0.644
   379.0   0.632
   380.0   0.617
   381.0   0.601
   382.0   0.583
   383.0   0.562
   384.0   0.541
   385.0   0.517
   386.0   0.491
   387.0   0.464
   388.0   0.436
   389.0   0.406
   390.0   0.376
   391.0   0.345
   392.0   0.314
   393.0   0.283
   394.0   0.252
   395.0   0.223
   396.0   0.196
   397.0   0.169
   398.0   0.145
   399.0   0.122
   400.0   0.103
   401.0   0.085
   402.0   0.070
   403.0   0.056
   404.0   0.045
   405.0   0.036
   406.0   0.028
   407.0   0.022
   408.0   0.017
   409.0   0.013
   410.0   0.010
   411.0   0.007
   412.0   0.006
   413.0   0.004
   414.0   0.003
   415.0   0.002
   416.0   0.002
   417.0   0.001
   418.0   0.001
   419.0   0.001
   420.0   0.001
   421.0   0.000
   422.0   0.000
   423.0   0.000
