#!   Input NDF:   /Users/tgeballe/GNIRS/FILTER_XMISSION/jbldbxd_467_ytrans_sm1_scr
#!   Wavelength
#!   Nanometers
1135   0.000000
1136   0.000000
1137   0.001234
1138   0.001603
1139   0.002252
1140   0.000000
1141   0.000000
1142   0.007978
1143   0.009396
1144   0.010112
1145   0.001609
1146   0.000606
1147   0.007540
1148   0.009686
1149   0.012563
1150   0.011508
1151   0.016335
1152   0.021006
1153   0.022268
1154   0.022997
1155   0.026012
1156   0.033402
1157   0.034747
1158   0.042822
1159   0.047999
1160   0.056284
1161   0.060862
1162   0.075525
1163   0.088081
1164   0.103375
1165   0.115955
1166   0.135993
1167   0.160112
1168   0.188329
1169   0.219301
1170   0.256459
1171   0.296975
1172   0.335478
1173   0.385795
1174   0.432836
1175   0.483442
1176   0.532142
1177   0.573791
1178   0.625462
1179   0.668015
1180   0.705557
1181   0.728187
1182   0.753497
1183   0.769911
1184   0.783373
1185   0.783953
1186   0.775806
1187   0.772444
1188   0.761754
1189   0.751414
1190   0.743387
1191   0.725795
1192   0.709442
1193   0.702817
1194   0.682809
1195   0.666626
1196   0.650418
1197   0.637560
1198   0.618847
1199   0.600051
1200   0.575243
1201   0.576900
1202   0.558446
1203   0.543038
1204   0.528851
1205   0.516870
1206   0.504569
1207   0.493114
1208   0.481544
1209   0.469287
1210   0.460701
1211   0.450824
1212   0.441049
1213   0.431941
1214   0.424550
1215   0.418238
1216   0.416745
1217   0.411985
1218   0.411035
1219   0.406215
1220   0.402048
1221   0.399728
1222   0.393861
1223   0.400358
1224   0.407255
1225   0.410037
1226   0.413616
1227   0.416715
1228   0.425035
1229   0.433415
1230   0.437849
1231   0.447410
1232   0.457596
1233   0.465867
1234   0.479095
1235   0.494094
1236   0.507657
1237   0.522542
1238   0.536503
1239   0.553179
1240   0.571953
1241   0.590625
1242   0.607821
1243   0.630639
1244   0.649235
1245   0.666036
1246   0.683057
1247   0.701619
1248   0.722853
1249   0.737898
1250   0.753030
1251   0.769360
1252   0.782125
1253   0.791616
1254   0.805216
1255   0.810252
1256   0.815459
1257   0.821332
1258   0.826445
1259   0.832282
1260   0.831135
1261   0.830650
1262   0.832696
1263   0.831197
1264   0.830058
1265   0.828156
1266   0.826032
1267   0.826350
1268   0.825338
1269   0.824090
1270   0.822557
1271   0.823057
1272   0.822621
1273   0.825153
1274   0.825601
1275   0.824324
1276   0.829975
1277   0.832180
1278   0.831533
1279   0.837006
1280   0.839650
1281   0.844575
1282   0.847921
1283   0.852084
1284   0.855618
1285   0.857884
1286   0.861868
1287   0.864790
1288   0.868931
1289   0.871635
1290   0.874580
1291   0.874167
1292   0.874900
1293   0.876142
1294   0.878577
1295   0.877205
1296   0.872767
1297   0.874221
1298   0.876317
1299   0.875654
1300   0.872978
1301   0.874057
1302   0.873225
1303   0.872416
1304   0.873374
1305   0.869991
1306   0.869931
1307   0.867566
1308   0.868278
1309   0.868203
1310   0.868013
1311   0.870733
1312   0.871506
1313   0.872342
1314   0.875078
1315   0.875450
1316   0.875102
1317   0.874958
1318   0.878914
1319   0.880714
1320   0.882855
1321   0.886152
1322   0.889494
1323   0.891259
1324   0.890156
1325   0.890491
1326   0.890310
1327   0.887984
1328   0.880314
1329   0.881999
1330   0.881849
1331   0.881751
1332   0.877139
1333   0.868832
1334   0.859891
1335   0.866768
1336   0.861307
1337   0.849044
1338   0.848210
1339   0.842921
1340   0.837568
1341   0.835415
1342   0.829574
1343   0.821456
1344   0.818427
1345   0.814118
1346   0.806684
1347   0.807703
1348   0.811777
1349   0.805568
1350   0.803036
1351   0.801655
1352   0.805408
1353   0.810122
1354   0.815773
1355   0.824695
1356   0.829086
1357   0.834301
1358   0.840232
1359   0.839976
1360   0.837967
1361   0.840788
1362   0.845631
1363   0.822921
1364   0.809779
1365   0.801757
1366   0.768523
1367   0.743298
1368   0.716459
1369   0.673464
1370   0.632020
1371   0.590803
1372   0.538025
1373   0.493694
1374   0.450113
1375   0.407968
1376   0.365132
1377   0.326036
1378   0.288312
1379   0.253465
1380   0.224060
1381   0.199359
1382   0.173061
1383   0.154424
1384   0.134319
1385   0.118860
1386   0.103453
1387   0.091716
1388   0.082481
1389   0.072587
1390   0.063481
1391   0.057009
1392   0.050641
1393   0.044613
1394   0.040311
1395   0.036958
1396   0.032175
1397   0.028210
1398   0.026154
1399   0.023887
1400   0.021423
1401   0.019196
1402   0.016707
1403   0.015012
1404   0.014141
1405   0.013553
1406   0.012235
1407   0.011244
1408   0.009747
1409   0.008519
1410   0.007975
1411   0.007133
1412   0.007131
1413   0.005980
1414   0.005415
1415   0.005046
1416   0.004229
1417   0.004263
1418   0.003405
1419   0.004204
1420   0.003666
1421   0.003402
1422   0.003127
1423   0.002406
1424   0.001874
1425   0.001867
1426   0.002127
1427   0.001761
1428   0.001903
1429   0.000897
1430   0.001518
1431   0.001097
1432   0.001050
1433   0.000589
1434   0.000990
1435   0.000461
1436   0.001301
1437   0.000183
1438   0.000522
1439   0.000157
1440   0.000361
1441   0.000205
1442   0.000736
1443   0.000857
1444   0.000000
1445   0.000000
1446   0.000000
1447   0.000162
1448   0.000000
1449   0.000299
1450   0.000192
1460   0.000000
1470   0.000000
