# michelle_opt.dat
# Michelle transmission of reflective optics (no window or filters)
# Columns are (1) wavelength in nm, (2) transmission.
# Data are computed assuming 99% reflectivity through 10 surfaces.  
#
# Author: R. S. Fisher
# Created: 2002 August 20 
# sqrt(2) fudge factor has been applied to lower instrument throughput
#
# Phil Puxley 6 Sept 2002
# another sqrt(2) factor (so factor of 2 overall) applied to make Michelle
# worse than T-ReCS (and more consistent with extrapolated UKIRT performance
#
# lambda   optB

1000    0.90
2000    0.90
3000    0.90
4000    0.90
5000    0.90
6000    0.90
7000    0.90
8000    0.90
9000    0.90
10000   0.90
11000   0.90
12000   0.90
13000   0.90
14000   0.90
15000   0.90
16000   0.90
17000   0.90
18000   0.90
19000   0.90
20000   0.90
21000   0.90
22000   0.90
23000   0.90
24000   0.90
25000   0.90
26000   0.90
27000   0.90
28000   0.90
