# michelle_opt.dat
# Michelle transmission of reflective optics (no window or filters)
# Columns are (1) wavelength in nm, (2) transmission.
# Data are computed assuming 99% reflectivity through 10 surfaces.  
#
# Author: R. S. Fisher
# Created: 2002 August 20 
# sqrt(2) fudge factor has been applied to lower instrument throughput
#
# Phil Puxley 6 Sept 2002
# another sqrt(2) factor (so factor of 2 overall) applied to make Michelle
# worse than T-ReCS (and more consistent with extrapolated UKIRT performance
#
# lambda   optB

1000    0.450
2000    0.450
3000    0.450
4000    0.450
5000    0.450
6000    0.450
7000    0.450
8000    0.450
9000    0.450
10000   0.450
11000   0.450
12000   0.450
13000   0.450
14000   0.450
15000   0.450
16000   0.450
17000   0.450
18000   0.450
19000   0.450
20000   0.450
21000   0.450
22000   0.450
23000   0.450
24000   0.450
25000   0.450
26000   0.450
27000   0.450
28000   0.450
