#ED286-W  1%H short   1.5786-1.5945 um
#Cuton:  1575.22
#Cutoff: 1592.75
#
# Added 0.0 values at both ends for extrapolation. mdillman 2-18-09
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1559.00   0.0
1560.00   0.091901317
1560.10   0.097528048
1560.20   0.100304470
1560.30   0.105480231
1560.40   0.105548158
1560.50   0.106006570
1560.60   0.110577256
1560.70   0.113445059
1560.80   0.118528590
1560.90   0.127191067
1561.00   0.133215934
1561.10   0.131130919
1561.20   0.130077362
1561.30   0.112793885
1561.40   0.148334876
1561.50   0.153342143
1561.60   0.140373334
1561.70   0.141386122
1561.80   0.135350883
1561.90   0.149784640
1562.00   0.162657872
1562.10   0.160974875
1562.20   0.169859812
1562.30   0.158044294
1562.40   0.177302048
1562.50   0.165293127
1562.60   0.194585025
1562.70   0.196721688
1562.80   0.211171642
1562.90   0.217105374
1563.00   0.215400383
1563.10   0.217813790
1563.20   0.223663569
1563.30   0.233494148
1563.40   0.251798600
1563.50   0.245918006
1563.60   0.255373180
1563.70   0.260529757
1563.80   0.294561625
1563.90   0.280682951
1564.00   0.293129832
1564.10   0.302308023
1564.20   0.318641484
1564.30   0.326433510
1564.40   0.326413482
1564.50   0.345414221
1564.60   0.378702998
1564.70   0.366455704
1564.80   0.378772259
1564.90   0.390363336
1565.00   0.416615039
1565.10   0.426239133
1565.20   0.435540557
1565.30   0.470644414
1565.40   0.482117146
1565.50   0.488911808
1565.60   0.539123893
1565.70   0.537369847
1565.80   0.544012070
1565.90   0.582443059
1566.00   0.613999069
1566.10   0.615254581
1566.20   0.651790381
1566.30   0.702829778
1566.40   0.712125301
1566.50   0.734155238
1566.60   0.773202837
1566.70   0.813353241
1566.80   0.837047279
1566.90   0.878009677
1567.00   0.915306151
1567.10   0.971861482
1567.20   1.012410522
1567.30   1.051121831
1567.40   1.083008051
1567.50   1.134924650
1567.60   1.200805664
1567.70   1.247463703
1567.80   1.287473679
1567.90   1.359195113
1568.00   1.448188782
1568.10   1.498296499
1568.20   1.578646541
1568.30   1.645564675
1568.40   1.721534848
1568.50   1.821253300
1568.60   1.937846303
1568.70   1.981464744
1568.80   2.104907751
1568.90   2.230487823
1569.00   2.335308790
1569.10   2.432268620
1569.20   2.572060108
1569.30   2.707046747
1569.40   2.846337557
1569.50   2.996639490
1569.60   3.128739357
1569.70   3.324707270
1569.80   3.476297855
