#ED379-W  1%H short-prime  1.5945-1.6110um
#Cuton:  1593.5
#Cutoff: 1610.8
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1569.00   0.0
1570.00   0.021463735
1570.10   0.038215008
1570.20   0.034253325
1570.30   0.047725964
1570.40   0.047512166
1570.50   0.010071552
1570.60   0.037413087
1570.70   0.050215818
1570.80   0.030672686
1570.90   0.036263220
1571.00   0.037411984
1571.10   0.038370568
1571.20   0.036858369
1571.30   0.040769063
1571.40   0.047429957
1571.50   0.037516471
1571.60   0.033698559
1571.70   0.043074034
1571.80   0.041786097
1571.90   0.041623820
1572.00   0.033568818
1572.10   0.032456785
1572.20   0.052295107
1572.30   0.033013534
1572.40   0.050730880
1572.50   0.052911144
1572.60   0.040160753
1572.70   0.049022924
1572.80   0.030211153
1572.90   0.039689813
1573.00   0.043863855
1573.10   0.052692935
1573.20   0.047860622
1573.30   0.046118896
1573.40   0.038888846
1573.50   0.044643641
1573.60   0.039888203
1573.70   0.045571264
1573.80   0.049252693
1573.90   0.044482727
1574.00   0.052961346
1574.10   0.050467633
1574.20   0.045521680
1574.30   0.065034792
1574.40   0.055705924
1574.50   0.045839448
1574.60   0.046989534
1574.70   0.045654550
1574.80   0.053561881
1574.90   0.057746273
1575.00   0.047986105
1575.10   0.057944912
1575.20   0.048691794
1575.30   0.043403309
1575.40   0.048611958
1575.50   0.055045709
1575.60   0.056153826
1575.70   0.053394206
1575.80   0.061737105
1575.90   0.054616265
1576.00   0.061534956
1576.10   0.069454521
1576.20   0.064306110
1576.30   0.069319718
1576.40   0.068233244
1576.50   0.070158452
1576.60   0.071532294
1576.70   0.072345473
1576.80   0.082027748
1576.90   0.071609624
1577.00   0.070704974
1577.10   0.088558890
1577.20   0.078574121
1577.30   0.081449360
1577.40   0.080902331
1577.50   0.075994365
1577.60   0.105423868
1577.70   0.081201173
1577.80   0.092073649
1577.90   0.089466639
1578.00   0.094835609
1578.10   0.102611505
1578.20   0.099194810
1578.30   0.109456681
1578.40   0.099326357
1578.50   0.101048090
1578.60   0.118588910
1578.70   0.098333716
1578.80   0.111883201
1578.90   0.116187878
1579.00   0.109750949
1579.10   0.116858423
1579.20   0.126750737
1579.30   0.125138015
1579.40   0.120752305
1579.50   0.139602453
1579.60   0.130674928
1579.70   0.134212732
1579.80   0.147171080
1579.90   0.148867145
1580.00   0.149855465
1580.10   0.139478356
1580.20   0.148466930
1580.30   0.168415457
1580.40   0.153417870
1580.50   0.168189585
1580.60   0.167078763
1580.70   0.176010728
1580.80   0.178697676
1580.90   0.183880776
1581.00   0.201295495
1581.10   0.201363906
1581.20   0.200165466
1581.30   0.205104128
1581.40   0.209002987
1581.50   0.212484136
1581.60   0.223901942
1581.70   0.231127769
1581.80   0.236657292
1581.90   0.256184012
1582.00   0.255878478
1582.10   0.263747931
1582.20   0.255702287
1582.30   0.286984980
1582.40   0.264292836
1582.50   0.291730404
1582.60   0.292435110
1582.70   0.297903329
1582.80   0.320615888
1582.90   0.337639630
1583.00   0.330173731
1583.10   0.363432169
1583.20   0.358723134
1583.30   0.369978309
1583.40   0.385250956
1583.50   0.406942129
1583.60   0.415648162
1583.70   0.431360364
1583.80   0.438402653
1583.90   0.435516387
1584.00   0.445768386
1584.10   0.469838828
1584.20   0.506488681
1584.30   0.522189796
1584.40   0.526897192
1584.50   0.541078806
1584.60   0.570176601
1584.70   0.582751930
1584.80   0.613762677
1584.90   0.629830241
1585.00   0.677907407
1585.10   0.706205487
1585.20   0.693532944
1585.30   0.734957635
1585.40   0.778286457
1585.50   0.806420505
1585.60   0.816451013
1585.70   0.859599590
1585.80   0.902063787
1585.90   0.937491477
1586.00   0.964921355
1586.10   1.002621055
1586.20   1.052576184
1586.30   1.093180418
1586.40   1.125960112
1586.50   1.171745181
1586.60   1.226882339
1586.70   1.306213021
1586.80   1.343082309
1586.90   1.401549935
1587.00   1.469259858
1587.10   1.543442369
1587.20   1.620161533
1587.30   1.672836423
1587.40   1.751831412
1587.50   1.843097568
1587.60   1.919103742
1587.70   2.004137278
1587.80   2.106816053
1587.90   2.203170538
1588.00   2.319547653
1588.10   2.432540894
1588.20   2.532260895
1588.30   2.645201206
1588.40   2.805913448
1588.50   2.977942228
1588.60   3.125008106
1588.70   3.277318478
1588.80   3.471616268
1588.90   3.652625561
1589.00   3.855913877
1589.10   4.010390759
1589.20   4.255500317
1589.30   4.517827988
1589.40   4.750971794
1589.50   4.976474762
1589.60   5.252827644
1589.70   5.590133190
1589.80   5.936903000
1589.90   6.199678898
1590.00   6.476812840
1590.10   6.963274479
1590.20   7.466611385
1590.30   7.836912632
1590.40   8.261859894
1590.50   8.886386871
1590.60   9.410979271
1590.70   9.862414360
1590.80  10.367526050
1590.90  10.920248990
1591.00  11.903141020
1591.10  12.633432390
1591.20  13.162302970
1591.30  13.837443350
1591.40  14.909155850
1591.50  15.780014990
1591.60  16.640842440
1591.70  17.465526580
1591.80  18.745395660
1591.90  20.085351940
1592.00  20.973634720
1592.10  22.198759080
