#ED449-W  4%H long  1.6199-1.6861um
#Cuton:  1619.45
#Cutoff: 1685.47
#  wl     trans at 50K 
# (nm)         (%)     
#----------------------
1599.00   0.0
1600.00   0.153653711
1600.10   0.155866310
1600.20   0.177681148
1600.30   0.169828057
1600.40   0.168032378
1600.50   0.184259236
1600.60   0.188948780
1600.70   0.187044174
1600.80   0.207575366
1600.90   0.193968907
1601.00   0.192408323
1601.10   0.213714868
1601.20   0.218837887
1601.30   0.223797441
1601.40   0.223861560
1601.50   0.226723224
1601.60   0.242073998
1601.70   0.249151111
1601.80   0.261000931
1601.90   0.265136629
1602.00   0.268821716
1602.10   0.268591672
1602.20   0.285776258
1602.30   0.295013517
1602.40   0.296833426
1602.50   0.305605531
1602.60   0.322318137
1602.70   0.322666645
1602.80   0.325950265
1602.90   0.331241041
1603.00   0.364904791
1603.10   0.349382460
1603.20   0.385391593
1603.30   0.387141407
1603.40   0.382726163
1603.50   0.400504977
1603.60   0.419315636
1603.70   0.425378233
1603.80   0.435887784
1603.90   0.442602426
1604.00   0.455314249
1604.10   0.471270919
1604.20   0.485731810
1604.30   0.496539742
1604.40   0.503183663
1604.50   0.520938337
1604.60   0.528057158
1604.70   0.562025011
1604.80   0.566315174
1604.90   0.588818669
1605.00   0.615829945
1605.10   0.618220806
1605.20   0.644267798
1605.30   0.656477094
1605.40   0.674436808
1605.50   0.705137134
1605.60   0.705051422
1605.70   0.730102301
1605.80   0.772797763
1605.90   0.781680167
1606.00   0.809824467
1606.10   0.815356493
1606.20   0.842647076
1606.30   0.879456103
1606.40   0.899062038
1606.50   0.928955913
1606.60   0.962374806
1606.70   0.970568955
1606.80   1.024507642
1606.90   1.042480946
1607.00   1.074719667
1607.10   1.115059853
1607.20   1.146759033
1607.30   1.176126122
1607.40   1.219294071
1607.50   1.253770828
1607.60   1.285834551
1607.70   1.340455413
1607.80   1.362071514
1607.90   1.402288914
1608.00   1.435500979
1608.10   1.496345758
1608.20   1.551485658
1608.30   1.583936810
