# transmission of niri Narrow-band FeII filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve 25 May 2006
#[FeII]		G0215
#scanned cold and tilted by 5 degrees in NIRI
1537.758988   0.002440
1538.279064   0.002987
1538.799141   0.003555
1539.319218   0.004006
1539.839295   0.004199
1540.359372   0.003613
1540.879448   0.003921
1541.399525   0.003629
1541.919602   0.002209
1542.439679   0.001597
1542.959756   0.002093
1543.479832   0.002781
1543.999909   0.002445
1544.519986   0.001797
1545.040063   0.002307
1545.560140   0.001919
1546.080216   0.002619
1546.600293   0.004302
1547.120370   0.004111
1547.640447   0.003652
1548.160523   0.004310
1548.680600   0.003676
1549.200677   0.003072
1549.720754   0.003923
1550.240831   0.004017
1550.760907   0.003671
1551.280984   0.003280
1551.801061   0.004308
1552.321138   0.003992
1552.841215   0.002906
1553.361291   0.003311
1553.881368   0.004069
1554.401445   0.003536
1554.921522   0.004468
1555.441599   0.003172
1555.961675   0.003911
1556.481752   0.004060
1557.001829   0.002918
1557.521906   0.003854
1558.041982   0.003671
1558.562059   0.002119
1559.082136   0.003066
1559.602213   0.001745
1560.122290   0.001822
1560.642366   0.001926
1561.162443   0.002610
1561.682520   0.003292
1562.202597   0.002396
1562.722674   0.003164
1563.242750   0.004550
1563.762827   0.003888
1564.282904   0.003667
1564.802981   0.003999
1565.323058   0.003811
1565.843134   0.002728
1566.363211   0.003500
1566.883288   0.003344
1567.403365   0.004142
1567.923442   0.002880
1568.443518   0.003575
1568.963595   0.004948
1569.483672   0.002990
1570.003749   0.003915
1570.523825   0.002987
1571.043902   0.003116
1571.563979   0.004258
1572.084056   0.003306
1572.604133   0.003419
1573.124209   0.002663
1573.644286   0.002973
1574.164363   0.003270
1574.684440   0.003628
1575.204517   0.002914
1575.724593   0.002847
1576.244670   0.003009
1576.764747   0.003289
1577.284824   0.003426
1577.804901   0.004106
1578.324977   0.003311
1578.845054   0.004212
1579.365131   0.004228
1579.885208   0.004023
1580.405285   0.003417
1580.925361   0.003903
1581.445438   0.003796
1581.965515   0.004154
1582.485592   0.004685
1583.005668   0.004024
1583.525745   0.002294
1584.045822   0.003618
1584.565899   0.004055
1585.085976   0.003197
1585.606052   0.003200
1586.126129   0.003948
1586.646206   0.003920
1587.166283   0.003816
1587.686360   0.004853
1588.206436   0.005209
1588.726513   0.005137
1589.246590   0.005475
1589.766667   0.005696
1590.286744   0.005899
1590.806820   0.006298
1591.326897   0.004608
1591.846974   0.004460
1592.367051   0.005269
1592.887128   0.004872
1593.407204   0.004770
1593.927281   0.004659
1594.447358   0.004891
1594.967435   0.005083
1595.487511   0.005453
1596.007588   0.005651
1596.527665   0.005404
1597.047742   0.005795
1597.567819   0.005412
1598.087895   0.005198
1598.607972   0.005338
1599.128049   0.005848
1599.648126   0.005454
1600.168203   0.004964
1600.688279   0.005670
1601.208356   0.006139
1601.728433   0.005665
1602.248510   0.005329
1602.768587   0.005739
1603.288663   0.006049
1603.808740   0.006096
1604.328817   0.006174
1604.848894   0.006057
1605.368970   0.006419
1605.889047   0.006385
1606.409124   0.006512
1606.929201   0.007442
1607.449278   0.006742
1607.969354   0.006184
1608.489431   0.005875
1609.009508   0.006249
1609.529585   0.006939
1610.049662   0.006422
1610.569738   0.006280
1611.089815   0.007194
1611.609892   0.006688
1612.129969   0.006768
1612.650046   0.007743
1613.170122   0.007881
1613.690199   0.008245
1614.210276   0.008221
1614.730353   0.008574
1615.250430   0.008671
1615.770506   0.009295
1616.290583   0.008275
1616.810660   0.008268
1617.330737   0.008329
1617.850813   0.009102
1618.370890   0.010372
1618.890967   0.011270
1619.411044   0.011548
1619.931121   0.012239
1620.451197   0.013638
1620.971274   0.014712
1621.491351   0.014966
1622.011428   0.016660
1622.531505   0.017727
1623.051581   0.018710
1623.571658   0.021404
1624.091735   0.023193
1624.611812   0.024430
1625.131889   0.028209
1625.651965   0.030540
1626.172042   0.035474
1626.692119   0.040427
1627.212196   0.046088
1627.732273   0.053418
1628.252349   0.061719
1628.772426   0.072259
1629.292503   0.085119
1629.812580   0.099967
1630.332656   0.115993
1630.852733   0.136272
1631.372810   0.160365
1631.892887   0.187474
1632.412964   0.220093
1632.933040   0.254843
1633.453117   0.295668
1633.973194   0.336509
1634.493271   0.381538
1635.013348   0.429677
1635.533424   0.473836
1636.053501   0.523497
1636.573578   0.566491
1637.093655   0.609127
1637.613732   0.641028
1638.133808   0.674588
1638.653885   0.699531
1639.173962   0.716779
1639.694039   0.733381
1640.214115   0.744141
1640.734192   0.752334
1641.254269   0.756614
1641.774346   0.759448
1642.294423   0.765763
1642.814499   0.764778
1643.334576   0.765054
1643.854653   0.768401
1644.374730   0.774189
1644.894807   0.776128
1645.414883   0.775115
1645.934960   0.774070
1646.455037   0.775156
1646.975114   0.772192
1647.495191   0.782295
1648.015267   0.768010
1648.535344   0.764095
1649.055421   0.759657
1649.575498   0.757398
1650.095575   0.748600
1650.615651   0.745807
1651.135728   0.743302
1651.655805   0.740083
1652.175882   0.735363
1652.695958   0.738855
1653.216035   0.744680
1653.736112   0.748230
1654.256189   0.749208
1654.776266   0.755684
1655.296342   0.758267
1655.816419   0.764856
1656.336496   0.762882
1656.856573   0.755487
1657.376650   0.751938
1657.896726   0.735478
1658.416803   0.689798
1658.936880   0.677687
1659.456957   0.627115
1659.977034   0.573520
1660.497110   0.520662
1661.017187   0.461352
1661.537264   0.404532
1662.057341   0.353082
1662.577418   0.300643
1663.097494   0.256022
1663.617571   0.213404
1664.137648   0.178786
1664.657725   0.150128
1665.177801   0.124989
1665.697878   0.104415
1666.217955   0.088447
1666.738032   0.074250
1667.258109   0.062564
1667.778185   0.054270
1668.298262   0.046702
1668.818339   0.040712
1669.338416   0.035963
1669.858493   0.032088
1670.378569   0.028563
1670.898646   0.020001
1671.418723   0.006426
1671.938800   0.023599
1672.458877   0.018114
1672.978953   0.016611
1673.499030   0.015396
1674.019107   0.013605
1674.539184   0.012893
1675.059261   0.012706
1675.579337   0.012948
1676.099414   0.011549
1676.619491   0.010464
1677.139568   0.010214
1677.659644   0.010240
1678.179721   0.009384
1678.699798   0.008112
1679.219875   0.007782
1679.739952   0.007196
1680.260028   0.007006
1680.780105   0.007057
1681.300182   0.006113
1681.820259   0.005534
1682.340336   0.005552
1682.860412   0.006439
1683.380489   0.006675
1683.900566   0.005659
1684.420643   0.005070
1684.940720   0.005621
1685.460796   0.005348
1685.980873   0.005191
1686.500950   0.005300
1687.021027   0.004985
1687.541103   0.004715
1688.061180   0.004708
1688.581257   0.004511
1689.101334   0.004483
1689.621411   0.003858
1690.141487   0.003793
1690.661564   0.004066
1691.181641   0.004576
1691.701718   0.004514
1692.221795   0.004969
1692.741871   0.004627
1693.261948   0.003772
1693.782025   0.003757
1694.302102   0.004442
1694.822179   0.004516
1695.342255   0.003656
