#H2 S(1) v=1-0  G0216
#scanned cold and tilted by 5 degrees in NIRI
#Wavelength (um)   Transmission fraction
2023.942426   0.002009
2024.647445   0.002162
2025.352463   0.001962
2026.057482   0.002046
2026.762501   0.001898
2027.467520   0.002061
2028.172539   0.002134
2028.877558   0.002517
2029.582577   0.002388
2030.287596   0.002454
2030.992615   0.002352
2031.697633   0.002390
2032.402652   0.002494
2033.107671   0.002519
2033.812690   0.002388
2034.517709   0.001973
2035.222728   0.001869
2035.927747   0.002005
2036.632766   0.001904
2037.337785   0.001964
2038.042804   0.001977
2038.747822   0.001934
2039.452841   0.002131
2040.157860   0.002820
2040.862879   0.002733
2041.567898   0.002828
2042.272917   0.002687
2042.977936   0.002748
2043.682955   0.002791
2044.387974   0.002948
2045.092992   0.003024
2045.798011   0.002882
2046.503030   0.002836
2047.208049   0.003010
2047.913068   0.002993
2048.618087   0.002950
2049.323106   0.003090
2050.028125   0.003101
2050.733144   0.002876
2051.438163   0.002630
2052.143181   0.002664
2052.848200   0.002807
2053.553219   0.002804
2054.258238   0.002756
2054.963257   0.002787
2055.668276   0.002798
2056.373295   0.002747
2057.078314   0.002755
2057.783333   0.002892
2058.488351   0.002888
2059.193370   0.003005
2059.898389   0.002999
2060.603408   0.002966
2061.308427   0.003138
2062.013446   0.003547
2062.718465   0.003678
2063.423484   0.003783
2064.128503   0.003762
2064.833522   0.003810
2065.538540   0.003878
2066.243559   0.003955
2066.948578   0.003804
2067.653597   0.003761
2068.358616   0.003748
2069.063635   0.004024
2069.768654   0.003897
2070.473673   0.003907
2071.178692   0.004117
2071.883710   0.004186
2072.588729   0.004151
2073.293748   0.004230
2073.998767   0.004343
2074.703786   0.004443
2075.408805   0.004494
2076.113824   0.004600
2076.818843   0.004649
2077.523862   0.004840
2078.228881   0.004874
2078.933899   0.005130
2079.638918   0.005023
2080.343937   0.005322
2081.048956   0.005460
2081.753975   0.005611
2082.458994   0.005719
2083.164013   0.005847
2083.869032   0.006038
2084.574051   0.005995
2085.279069   0.006022
2085.984088   0.006321
2086.689107   0.006684
2087.394126   0.007019
2088.099145   0.007258
2088.804164   0.007757
2089.509183   0.008189
2090.214202   0.009073
2090.919221   0.009747
2091.624240   0.010454
2092.329258   0.011214
2093.034277   0.012388
2093.739296   0.013362
2094.444315   0.014768
2095.149334   0.016285
2095.854353   0.017612
2096.559372   0.019737
2097.264391   0.022436
2097.969410   0.025676
2098.674428   0.029619
2099.379447   0.034216
2100.084466   0.040326
2100.789485   0.047334
2101.494504   0.056962
2102.199523   0.067913
2102.904542   0.081720
2103.609561   0.098679
2104.314580   0.119514
2105.019599   0.144235
2105.724617   0.174336
2106.429636   0.209274
2107.134655   0.250223
2107.839674   0.295249
2108.544693   0.343208
2109.249712   0.392960
2109.954731   0.443638
2110.659750   0.491317
2111.364769   0.535998
2112.069787   0.576469
2112.774806   0.614520
2113.479825   0.645986
2114.184844   0.673569
2114.889863   0.696423
2115.594882   0.716921
2116.299901   0.732347
2117.004920   0.744926
2117.709939   0.754196
2118.414958   0.762483
2119.119976   0.766959
2119.824995   0.769014
2120.530014   0.769886
2121.235033   0.769964
2121.940052   0.768057
2122.645071   0.766617
2123.350090   0.763506
2124.055109   0.759703
2124.760128   0.755478
2125.465146   0.751677
2126.170165   0.747381
2126.875184   0.743729
2127.580203   0.740141
2128.285222   0.737674
2128.990241   0.735514
2129.695260   0.734503
2130.400279   0.733996
2131.105298   0.735317
2131.810317   0.735059
2132.515335   0.735562
2133.220354   0.733523
2133.925373   0.729069
2134.630392   0.718471
2135.335411   0.703346
2136.040430   0.680091
2136.745449   0.650227
2137.450468   0.612888
2138.155487   0.571176
2138.860505   0.525998
2139.565524   0.480266
2140.270543   0.432646
2140.975562   0.386905
2141.680581   0.340911
2142.385600   0.298672
2143.090619   0.257752
2143.795638   0.220484
2144.500657   0.185908
2145.205676   0.156580
2145.910694   0.130151
2146.615713   0.107127
2147.320732   0.088625
2148.025751   0.074019
2148.730770   0.061779
2149.435789   0.051931
2150.140808   0.043699
2150.845827   0.037238
2151.550846   0.031968
2152.255864   0.027747
2152.960883   0.024780
2153.665902   0.016859
2156.485978   0.013513
2157.190997   0.012542
2157.896016   0.011582
2158.601035   0.010506
2159.306053   0.009805
2160.011072   0.009052
2160.716091   0.008544
2161.421110   0.007926
2162.126129   0.007473
2162.831148   0.006951
2163.536167   0.006432
2164.241186   0.006041
2164.946205   0.005804
2165.651223   0.005530
2166.356242   0.005411
2167.061261   0.005103
2167.766280   0.004963
2168.471299   0.004690
2169.176318   0.004944
2169.881337   0.004840
2170.586356   0.004804
2171.291375   0.004481
2171.996394   0.004460
2172.701412   0.004338
2173.406431   0.004206
2174.111450   0.004193
2174.816469   0.003781
2175.521488   0.003615
2176.226507   0.003600
2176.931526   0.003792
2177.636545   0.003568
2178.341564   0.003406
2179.046582   0.003297
2179.751601   0.003337
2180.456620   0.003855
2181.161639   0.003691
2181.866658   0.003675
2182.571677   0.003547
2183.276696   0.003590
2183.981715   0.003570
2184.686734   0.003490
2185.391753   0.003379
2186.096771   0.003149
2186.801790   0.003050
2187.506809   0.003052
2188.211828   0.003018
2188.916847   0.002947
2189.621866   0.002870
2190.326885   0.002911
2191.031904   0.002807
2191.736923   0.002348
2192.441941   0.002202
2193.146960   0.002294
2193.851979   0.002120
2194.556998   0.002276
2195.262017   0.002132
2195.967036   0.002148
2196.672055   0.002062
2197.377074   0.002585
2198.082093   0.002566
2198.787112   0.002556
2199.492130   0.002507
2200.197149   0.002415
2200.902168   0.002453
2201.607187   0.002507
2202.312206   0.002446
2203.017225   0.002316
2203.722244   0.002291
2204.427263   0.002459
2205.132282   0.002257
2205.837301   0.002266
2206.542319   0.002282
2207.247338   0.002296
2207.952357   0.002247
2208.657376   0.001861
2209.362395   0.001682
2210.067414   0.001716
2210.772433   0.001674
2211.477452   0.001698
2212.182471   0.001758
2212.887489   0.001633
2213.592508   0.001562
2214.297527   0.001922
2215.002546   0.001889
2215.707565   0.001927
2216.412584   0.001872
2217.117603   0.001828
2217.822622   0.001931
2218.527641   0.001869
2219.232660   0.001793
2219.937678   0.001784
2220.642697   0.001869
2221.347716   0.001965
2222.052735   0.001958
2222.757754   0.001851
2223.462773   0.001828
2224.167792   0.001892
2224.872811   0.001804
2225.577830   0.001788
2226.282848   0.001738
2226.987867   0.001688
2227.692886   0.001600
2228.397905   0.001642
2229.102924   0.001694
2229.807943   0.001758
2230.512962   0.001660
2231.217981   0.001643
2231.923000   0.001591
2232.628019   0.001573
2233.333037   0.001578
2234.038056   0.001546
2234.743075   0.001582
2235.448094   0.001584
2236.153113   0.001611
2236.858132   0.001420
2237.563151   0.001279
2238.268170   0.001262
2238.973189   0.001252
2239.678207   0.001342
2240.383226   0.001221
2241.088245   0.001149
2241.793264   0.001187
2242.498283   0.001372
2243.203302   0.001596
2243.908321   0.001634
2244.613340   0.001661
2245.318359   0.001547
2246.023378   0.001546
2246.728396   0.001604
2247.433415   0.001626
2248.138434   0.001618
2248.843453   0.001655
2249.548472   0.001546
2250.253491   0.001543
2250.958510   0.001558
2251.663529   0.001683
2252.368548   0.001621
2253.073566   0.001629
2253.778585   0.001417
2254.483604   0.000977
2255.188623   0.001127
2255.893642   0.001132
2256.598661   0.001185
2257.303680   0.001118
2258.008699   0.001115
2258.713718   0.001127
2259.418737   0.001204
2260.123755   0.001582
2260.828774   0.001535
2261.533793   0.001653
2262.238812   0.001694
2262.943831   0.001629
2263.648850   0.001637
2264.353869   0.001593
2265.058888   0.001664
2265.763907   0.001889
2266.468925   0.001768
2267.173944   0.001906
2267.878963   0.001798
2268.583982   0.001787
2269.289001   0.001830
2269.994020   0.001919
2270.699039   0.001644
2271.404058   0.001246
2272.109077   0.001153
2272.814096   0.001251
2273.519114   0.001268
2274.224133   0.001259
2274.929152   0.001149
2275.634171   0.001170
2276.339190   0.001190
2277.044209   0.001445
2277.749228   0.001429
2278.454247   0.001510
2279.159266   0.001293
2279.864284   0.001367
2280.569303   0.000831
2281.274322   0.002915
2281.979341   0.029375
2282.684360   0.007857
2283.389379   0.000331
2284.094398   0.001250
2284.799417   0.001055
2285.504436   0.001011
2286.209455   0.000931
2286.914473   0.000991
2287.619492   0.000857
2288.324511   0.001228
2289.029530   0.001280
2289.734549   0.001214
2290.439568   0.001208
2291.144587   0.001319
2291.849606   0.001133
