# transmission of GN acquisition camera NDc filter
# columns are (1) wavelength in nm, (2) transmission (0-1)
# binned from original 1nm Gemini monochromator data
# first values are zero for linear extrapolation
# extrapolation to infrared will be non-zero
# author: Phil Puxley
# created: 27Aug1999

324 0
334 0
344 0.002
354 0.02
364 0.035
374 0.053
384 0.14
394 0.327
404 0.505
414 0.604
424 0.654
434 0.668
444 0.67
454 0.689
464 0.698
474 0.696
484 0.693
494 0.694
504 0.697
514 0.701
524 0.705
534 0.709
544 0.708
554 0.704
564 0.696
574 0.687
584 0.679
594 0.675
604 0.674
614 0.674
624 0.673
634 0.672
644 0.671
654 0.673
664 0.678
674 0.688
684 0.699
694 0.708
704 0.712
714 0.712
724 0.71
734 0.706
744 0.701
754 0.694
764 0.687
774 0.679
784 0.671
794 0.663
804 0.653
814 0.645
824 0.637
834 0.629
844 0.621
854 0.613
864 0.606
874 0.599
884 0.592
894 0.586
904 0.58
914 0.574
924 0.568
934 0.563
944 0.558
954 0.554
964 0.549
974 0.546
984 0.542
994 0.539
