# transmission of niri Broad-band H filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 25may2006
# H	G0203
#scanned warm
1375   0.0
1376   0.0
1377   0.000129
1378   0.000151
1379   0.000162
1380   0.000168
1381   0.000211
1382   0.000200
1383   0.000120
1384   0.000182
1385   0.000116
1386   0.000181
1387   0.000129
1388   0.000198
1389   0.000150
1390   0.000175
1391   0.000156
1392   0.000163
1393   0.000145
1394   0.000129
1395   0.000195
1396   0.000168
1397   0.000121
1398   0.000159
1399   0.000164
1400   0.000204
1401   0.000227
1402   0.000185
1403   0.000248
1404   0.000158
1405   0.000215
1406   0.000184
1407   0.000199
1408   0.000176
1409   0.000226
1410   0.000187
1411   0.000236
1412   0.000198
1413   0.000189
1414   0.000189
1415   0.000207
1416   0.000264
1417   0.000187
1418   0.000222
1419   0.000207
1420   0.000210
1421   0.000261
1422   0.000224
1423   0.000267
1424   0.000296
1425   0.000365
1426   0.000355
1427   0.000390
1428   0.000375
1429   0.000406
1430   0.000419
1431   0.000460
1432   0.000505
1433   0.000570
1434   0.000564
1435   0.000575
1436   0.000597
1437   0.000660
1438   0.000713
1439   0.000768
1440   0.000809
1441   0.000863
1442   0.000842
1443   0.000915
1444   0.000966
1445   0.000953
1446   0.001121
1447   0.001163
1448   0.001204
1449   0.001268
1450   0.001400
1451   0.001479
1452   0.001585
1453   0.001708
1454   0.001805
1455   0.001969
1456   0.002141
1457   0.002272
1458   0.002426
1459   0.002660
1460   0.002923
1461   0.003235
1462   0.003526
1463   0.003916
1464   0.004236
1465   0.004712
1466   0.005246
1467   0.005844
1468   0.006463
1469   0.007326
1470   0.008161
1471   0.009238
1472   0.010458
1473   0.011776
1474   0.013398
1475   0.015226
1476   0.017303
1477   0.019729
1478   0.022530
1479   0.025810
1480   0.029527
1481   0.033896
1482   0.038919
1483   0.044458
1484   0.051081
1485   0.058341
1486   0.066900
1487   0.076482
1488   0.087216
1489   0.099081
1490   0.112280
1491   0.127050
1492   0.143390
1493   0.161670
1494   0.180820
1495   0.202230
1496   0.225000
1497   0.249790
1498   0.276510
1499   0.304440
1500   0.335340
1501   0.366590
1502   0.399560
1503   0.434600
1504   0.469350
1505   0.505520
1506   0.542760
1507   0.578960
1508   0.614130
1509   0.648580
1510   0.680450
1511   0.710360
1512   0.737350
1513   0.761080
1514   0.781270
1515   0.797440
1516   0.810380
1517   0.820240
1518   0.826690
1519   0.830740
1520   0.832700
1521   0.832590
1522   0.831590
1523   0.829570
1524   0.826750
1525   0.823840
1526   0.820820
1527   0.818030
1528   0.815470
1529   0.813280
1530   0.811970
1531   0.811000
1532   0.810510
1533   0.810950
1534   0.811780
1535   0.812790
1536   0.814440
1537   0.816560
1538   0.818990
1539   0.821420
1540   0.824160
1541   0.826970
1542   0.829760
1543   0.832330
1544   0.835020
1545   0.837170
1546   0.839170
1547   0.841050
1548   0.842190
1549   0.843350
1550   0.844030
1551   0.844140
1552   0.844610
1553   0.844550
1554   0.843900
1555   0.843740
1556   0.842940
1557   0.842240
1558   0.841410
1559   0.840870
1560   0.839960
1561   0.839610
1562   0.839540
1563   0.838570
1564   0.838920
1565   0.839160
1566   0.839140
1567   0.839710
1568   0.840860
1569   0.841660
1570   0.842690
1571   0.844150
1572   0.845560
1573   0.846800
1574   0.848620
1575   0.850550
1576   0.852260
1577   0.853930
1578   0.855960
1579   0.857920
1580   0.859490
1581   0.861260
1582   0.863040
1583   0.864680
1584   0.866100
1585   0.867170
1586   0.868800
1587   0.869630
1588   0.870200
1589   0.871290
1590   0.871700
1591   0.871870
1592   0.872340
1593   0.872480
1594   0.872630
1595   0.872540
1596   0.872570
1597   0.872470
1598   0.872090
1599   0.872000
1600   0.871650
1601   0.871360
1602   0.871340
1603   0.871340
1604   0.871390
1605   0.871110
1606   0.871520
1607   0.871890
1608   0.871990
1609   0.872520
1610   0.872980
1611   0.873540
1612   0.874200
1613   0.874920
1614   0.875910
1615   0.876510
1616   0.877510
1617   0.878300
1618   0.879160
1619   0.880000
1620   0.880610
1621   0.881660
1622   0.881860
1623   0.882420
1624   0.882660
1625   0.883040
1626   0.882880
1627   0.882690
1628   0.882230
1629   0.881550
1630   0.880600
1631   0.879300
1632   0.877880
1633   0.876370
1634   0.874670
1635   0.872610
1636   0.870420
1637   0.867950
1638   0.865560
1639   0.862830
1640   0.859890
1641   0.857210
1642   0.854320
1643   0.851460
1644   0.848610
1645   0.845670
1646   0.843160
1647   0.840270
1648   0.837770
1649   0.835570
1650   0.833300
1651   0.831070
1652   0.829510
1653   0.828060
1654   0.826510
1655   0.825410
1656   0.824800
1657   0.824100
1658   0.823790
1659   0.823570
1660   0.823900
1661   0.824510
1662   0.825230
1663   0.826320
1664   0.827700
1665   0.829130
1666   0.830860
1667   0.832990
1668   0.834800
1669   0.837150
1670   0.839390
1671   0.841920
1672   0.844410
1673   0.847020
1674   0.849440
1675   0.852060
1676   0.854460
1677   0.857220
1678   0.859350
1679   0.861470
1680   0.863660
1681   0.865670
1682   0.867550
1683   0.869090
1684   0.870710
1685   0.871980
1686   0.872720
1687   0.873360
1688   0.873760
1689   0.874080
1690   0.874170
1691   0.873970
1692   0.873660
1693   0.873260
1694   0.872540
1695   0.871640
1696   0.870640
1697   0.869390
1698   0.868350
1699   0.867090
1700   0.865780
1701   0.864500
1702   0.863490
1703   0.862260
1704   0.861260
1705   0.860340
1706   0.859590
1707   0.858640
1708   0.858260
1709   0.857860
1710   0.857620
1711   0.857640
1712   0.857730
1713   0.858110
1714   0.858320
1715   0.858630
1716   0.859220
1717   0.859720
1718   0.860160
1719   0.860620
1720   0.861210
1721   0.861550
1722   0.861720
1723   0.861990
1724   0.861850
1725   0.861590
1726   0.861030
1727   0.860290
1728   0.859040
1729   0.857550
1730   0.855930
1731   0.853860
1732   0.851300
1733   0.848670
1734   0.845460
1735   0.841780
1736   0.838150
1737   0.834260
1738   0.830000
1739   0.825640
1740   0.821120
1741   0.816670
1742   0.812040
1743   0.807550
1744   0.803370
1745   0.798920
1746   0.794730
1747   0.790980
1748   0.787450
1749   0.784160
1750   0.781270
1751   0.778810
