# transmission of niri Narrow-band CH4 (long) filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced tophat with scanned transmission curve 25may2006
#CH4(long)	G0229
#scanned cold and tilted by 5 degrees in NIRI
1488.351692   0.037912
1488.871769   0.035421
1489.391846   0.035196
1489.911923   0.034736
1490.432000   0.034583
1490.952076   0.031283
1491.472153   0.029255
1491.992230   0.030078
1492.512307   0.029811
1493.032384   0.024084
1493.552460   0.022190
1494.072537   0.021276
1494.592614   0.022375
1495.112691   0.021201
1495.632768   0.020924
1496.152844   0.020490
1496.672921   0.019469
1497.192998   0.020634
1497.713075   0.020615
1498.233152   0.020051
1498.753228   0.019866
1499.273305   0.020028
1499.793382   0.022088
1500.313459   0.019364
1500.833535   0.018827
1501.353612   0.018916
1501.873689   0.018988
1502.393766   0.018079
1502.913843   0.017865
1503.433919   0.017784
1503.953996   0.017853
1504.474073   0.017958
1504.994150   0.017810
1505.514227   0.018525
1506.034303   0.018583
1506.554380   0.018448
1507.074457   0.018435
1507.594534   0.018090
1508.114611   0.019471
1508.634687   0.018837
1509.154764   0.018242
1509.674841   0.019547
1510.194918   0.018347
1510.714995   0.018068
1511.235071   0.018152
1511.755148   0.017266
1512.275225   0.017133
1512.795302   0.018484
1513.315378   0.019129
1513.835455   0.017975
1514.355532   0.017660
1514.875609   0.018093
1515.395686   0.017937
1515.915762   0.018774
1516.435839   0.018586
1516.955916   0.019160
1517.475993   0.019189
1517.996070   0.018595
1518.516146   0.018020
1519.036223   0.019316
1519.556300   0.018795
1520.076377   0.018772
1520.596454   0.019323
1521.116530   0.019046
1521.636607   0.019439
1522.156684   0.019302
1522.676761   0.019239
1523.196837   0.019546
1523.716914   0.021110
1524.236991   0.020338
1524.757068   0.019396
1525.277145   0.019192
1525.797221   0.018407
1526.317298   0.020123
1526.837375   0.019448
1527.357452   0.019276
1527.877529   0.018487
1528.397605   0.019701
1528.917682   0.019588
1529.437759   0.019881
1529.957836   0.018518
1530.477913   0.018324
1530.997989   0.019155
1531.518066   0.020062
1532.038143   0.019511
1532.558220   0.019274
1533.078297   0.018554
1533.598373   0.018136
1534.118450   0.018485
1534.638527   0.018088
1535.158604   0.017492
1535.678680   0.019004
1536.198757   0.018901
1536.718834   0.017497
1537.238911   0.018153
1537.758988   0.018929
1538.279064   0.018591
1538.799141   0.018366
1539.319218   0.018724
1539.839295   0.018201
1540.359372   0.018115
1540.879448   0.018332
1541.399525   0.018567
1541.919602   0.017599
1542.439679   0.017255
1542.959756   0.017284
1543.479832   0.017406
1543.999909   0.017822
1544.519986   0.017932
1545.040063   0.017447
1545.560140   0.017777
1546.080216   0.018361
1546.600293   0.018167
1547.120370   0.018408
1547.640447   0.018766
1548.160523   0.018651
1548.680600   0.018154
1549.200677   0.017954
1549.720754   0.017958
1550.240831   0.018048
1550.760907   0.017357
1551.280984   0.017806
1551.801061   0.018515
1552.321138   0.018552
1552.841215   0.018199
1553.361291   0.018060
1553.881368   0.019040
1554.401445   0.019433
1554.921522   0.018526
1555.441599   0.018594
1555.961675   0.018639
1556.481752   0.018419
1557.001829   0.018260
1557.521906   0.018395
1558.041982   0.019109
1558.562059   0.019471
1559.082136   0.019080
1559.602213   0.019517
1560.122290   0.019358
1560.642366   0.019162
1561.162443   0.018948
1561.682520   0.019207
1562.202597   0.019884
1562.722674   0.019606
1563.242750   0.020009
1563.762827   0.020191
1564.282904   0.020209
1564.802981   0.020859
1565.323058   0.021267
1565.843134   0.020794
1566.363211   0.020897
1566.883288   0.021006
1567.403365   0.020821
1567.923442   0.021365
1568.443518   0.021974
1568.963595   0.022260
1569.483672   0.021831
1570.003749   0.021353
1570.523825   0.021470
1571.043902   0.021146
1571.563979   0.021583
1572.084056   0.021688
1572.604133   0.021935
1573.124209   0.022233
1573.644286   0.022435
1574.164363   0.022129
1574.684440   0.022524
1575.204517   0.022646
1575.724593   0.023022
1576.244670   0.023130
1576.764747   0.023832
1577.284824   0.023729
1577.804901   0.024000
1578.324977   0.024187
1578.845054   0.024511
1579.365131   0.025208
1579.885208   0.025649
1580.405285   0.026262
1580.925361   0.026327
1581.445438   0.026472
1581.965515   0.026231
1582.485592   0.026365
1583.005668   0.027296
1583.525745   0.027948
1584.045822   0.028502
1584.565899   0.028636
1585.085976   0.028202
1585.606052   0.028811
1586.126129   0.029227
1586.646206   0.029151
1587.166283   0.029705
1587.686360   0.030274
1588.206436   0.030603
1588.726513   0.030722
1589.246590   0.031584
1589.766667   0.032149
1590.286744   0.032807
1590.806820   0.033539
1591.326897   0.034007
1591.846974   0.033776
1592.367051   0.034891
1592.887128   0.035734
1593.407204   0.035799
1593.927281   0.036231
