#CO 2-0 bandhead  G0225
#scanned cold and tilted by 5 degrees in NIRI
#Wavelength (um)   Transmission fraction2157.896016   0.001730
2158.601035   0.001668
2159.306053   0.001742
2160.011072   0.001640
2160.716091   0.001686
2161.421110   0.001709
2162.126129   0.001744
2162.831148   0.001757
2163.536167   0.001727
2164.241186   0.001671
2164.946205   0.001731
2165.651223   0.001723
2166.356242   0.001820
2167.061261   0.001741
2167.766280   0.001797
2168.471299   0.001740
2169.176318   0.001867
2169.881337   0.001888
2170.586356   0.001900
2171.291375   0.001824
2171.996394   0.001832
2172.701412   0.001895
2173.406431   0.001918
2174.111450   0.001889
2174.816469   0.001938
2175.521488   0.001917
2176.226507   0.002014
2176.931526   0.002275
2177.636545   0.001997
2178.341564   0.002043
2179.046582   0.002076
2179.751601   0.002054
2180.456620   0.002014
2181.161639   0.001956
2181.866658   0.002011
2182.571677   0.001951
2183.276696   0.002054
2183.981715   0.002019
2184.686734   0.002124
2185.391753   0.002074
2186.096771   0.001983
2186.801790   0.001890
2187.506809   0.001950
2188.211828   0.001954
2188.916847   0.002019
2189.621866   0.002020
2190.326885   0.002075
2191.031904   0.002000
2191.736923   0.002049
2192.441941   0.002056
2193.146960   0.002112
2193.851979   0.002130
2194.556998   0.002206
2195.262017   0.002112
2195.967036   0.002215
2196.672055   0.002192
2197.377074   0.002222
2198.082093   0.002133
2198.787112   0.002266
2199.492130   0.002219
2200.197149   0.002300
2200.902168   0.002310
2201.607187   0.002337
2202.312206   0.002324
2203.017225   0.002402
2203.722244   0.002414
2204.427263   0.002529
2205.132282   0.002446
2205.837301   0.002520
2206.542319   0.002484
2207.247338   0.002563
2207.952357   0.002551
2208.657376   0.002599
2209.362395   0.002668
2210.067414   0.002700
2210.772433   0.002710
2211.477452   0.002688
2212.182471   0.002721
2212.887489   0.002820
2213.592508   0.002754
2214.297527   0.002829
2215.002546   0.002783
2215.707565   0.002883
2216.412584   0.002873
2217.117603   0.002894
2217.822622   0.002975
2218.527641   0.003045
2219.232660   0.002992
2219.937678   0.002983
2220.642697   0.003024
2221.347716   0.003066
2222.052735   0.003075
2222.757754   0.003157
2223.462773   0.003232
2224.167792   0.003254
2224.872811   0.003227
2225.577830   0.003332
2226.282848   0.003410
2226.987867   0.003498
2227.692886   0.003526
2228.397905   0.003581
2229.102924   0.003626
2229.807943   0.003726
2230.512962   0.003794
2231.217981   0.003905
2231.923000   0.003962
2232.628019   0.004080
2233.333037   0.004175
2234.038056   0.004299
2234.743075   0.004443
2235.448094   0.004525
2236.153113   0.004679
2236.858132   0.004881
2237.563151   0.005097
2238.268170   0.005281
2238.973189   0.005468
2239.678207   0.005701
2240.383226   0.005936
2241.088245   0.006239
2241.793264   0.006557
2242.498283   0.006821
2243.203302   0.007125
2243.908321   0.007564
2244.613340   0.008065
2245.318359   0.008542
2246.023378   0.009233
2246.728396   0.009910
2247.433415   0.010643
2248.138434   0.011473
2248.843453   0.012377
2249.548472   0.013442
2250.253491   0.014847
2250.958510   0.016168
2251.663529   0.017879
2252.368548   0.019873
2253.073566   0.022079
2253.778585   0.024543
2254.483604   0.027416
2255.188623   0.030463
2255.893642   0.034084
2256.598661   0.038277
2257.303680   0.043220
2258.008699   0.048531
2258.713718   0.054487
2259.418737   0.061368
2260.123755   0.069118
2260.828774   0.077303
2261.533793   0.086644
2262.238812   0.096735
2262.943831   0.108035
2263.648850   0.119710
2264.353869   0.132510
2265.058888   0.146161
2265.763907   0.160975
2266.468925   0.175789
2267.173944   0.192710
2267.878963   0.209441
2268.583982   0.228883
2269.289001   0.248280
2269.994020   0.269960
2270.699039   0.291440
2271.404058   0.316235
2272.109077   0.340865
2272.814096   0.369528
2273.519114   0.397238
2274.224133   0.428336
2274.929152   0.459534
2275.634171   0.493958
2276.339190   0.527261
2277.044209   0.560213
2277.749228   0.590843
2278.454247   0.620956
2279.159266   0.644213
2279.864284   0.666994
2280.569303   0.671934
2283.389379   0.664916
2284.799417   0.658247
2285.504436   0.640722
2286.209455   0.618585
2286.914473   0.601422
2287.619492   0.580658
2288.324511   0.562994
2289.029530   0.545046
2289.734549   0.533404
2290.439568   0.521579
2291.144587   0.513623
2291.849606   0.506190
2292.554625   0.504491
2293.259643   0.504331
2293.964662   0.508816
2294.669681   0.514930
2295.374700   0.525833
2296.079719   0.538098
2296.784738   0.554784
2297.489757   0.571393
2298.194776   0.589288
2298.899795   0.602025
2299.604814   0.610268
2300.309832   0.608136
2301.014851   0.596117
2301.719870   0.571414
2302.424889   0.534514
2303.129908   0.485661
2303.834927   0.430772
2304.539946   0.373188
2305.244965   0.316225
2305.949984   0.263953
2306.655002   0.217583
2307.360021   0.178779
2308.065040   0.146489
2308.770059   0.120409
2309.475078   0.099125
2310.180097   0.082255
2310.885116   0.068338
2311.590135   0.057829
2312.295154   0.049043
2313.000173   0.042192
2313.705191   0.036213
2314.410210   0.031601
2315.115229   0.027617
2315.820248   0.024450
2316.525267   0.021629
2317.230286   0.019444
2317.935305   0.017473
2318.640324   0.016004
2319.345343   0.014592
2320.050361   0.013478
2320.755380   0.012380
2321.460399   0.011514
2322.165418   0.010602
2322.870437   0.010053
2323.575456   0.009327
2324.280475   0.008721
2324.985494   0.008148
2325.690513   0.007833
2326.395532   0.007449
2327.100550   0.007191
2327.805569   0.006708
2328.510588   0.006450
2329.215607   0.006167
2329.920626   0.005941
2330.625645   0.005702
2331.330664   0.005605
2332.035683   0.005225
2332.740702   0.005169
2333.445720   0.005057
2334.150739   0.005066
2334.855758   0.004807
2335.560777   0.004707
2336.265796   0.004524
2336.970815   0.004490
2337.675834   0.004358
2338.380853   0.004395
2339.085872   0.004131
2339.790891   0.004191
2340.495909   0.004103
2341.200928   0.004098
2341.905947   0.003944
2342.610966   0.003983
2343.315985   0.003847
2344.021004   0.003799
2344.726023   0.003689
2345.431042   0.003665
2346.136061   0.003544
2346.841079   0.003534
2347.546098   0.003426
2348.251117   0.003427
2348.956136   0.003363
2349.661155   0.003329
2350.366174   0.003242
2351.071193   0.003247
2351.776212   0.003164
2352.481231   0.003234
2353.186250   0.003091
2353.891268   0.003021
2354.596287   0.002961
2355.301306   0.002951
2356.006325   0.002952
2356.711344   0.002799
2357.416363   0.002715
2358.121382   0.002689
2358.826401   0.002588
2359.531420   0.002595
2360.236438   0.002535
2360.941457   0.002471
2361.646476   0.002464
2362.351495   0.002475
2363.056514   0.002532
2363.761533   0.002516
2364.466552   0.002454
2365.171571   0.002433
2365.876590   0.002444
2366.581609   0.002351
2367.286627   0.002386
2367.991646   0.002362
2368.696665   0.002367
2369.401684   0.002274
