# transmission of niri Narrow-band H20 ice filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 25 May 2006
#H2Oice	G0230
#scanned warm and tilted by ~5 deg	
2432   0.0
2433   0.0
2434   0.000059
2435   0.000154
2436   0.000098
2437   0.000167
2438   0.000141
2439   0.000178
2440   0.000125
2441   0.000132
2442   0.000130
2443   0.000096
2444   0.000083
2445   0.000170
2446   0.000125
2447   0.000126
2448   0.000105
2449   0.000170
2450   0.000099
2451   0.000186
2452   0.000112
2453   0.000094
2454   0.000238
2455   0.000167
2456   0.000176
2457   0.000189
2458   0.000222
2459   0.000202
2460   0.000230
2461   0.000215
2462   0.000249
2463   0.000242
2464   0.000231
2465   0.000217
2466   0.000271
2467   0.000207
2468   0.000305
2469   0.000261
2470   0.000268
2471   0.000308
2472   0.000295
2473   0.000331
2474   0.000320
2475   0.000410
2476   0.000400
2477   0.000372
2478   0.000347
2479   0.000395
2480   0.000370
2481   0.000446
2482   0.000399
2483   0.000383
2484   0.000449
2485   0.000397
2486   0.000461
2487   0.000439
2488   0.000437
2489   0.000418
2490   0.000404
2491   0.000431
2492   0.000426
2493   0.000396
2494   0.000336
2495   0.000402
2496   0.000399
2497   0.000326
2498   0.000312
2499   0.000278
2500   0.000318
2501   0.000297
2502   0.000272
2503   0.000249
2504   0.000333
2505   0.000256
2506   0.000164
2507   0.000281
2508   0.000234
2509   0.000234
2510   0.000259
2511   0.000219
2512   0.000207
2513   0.000167
2514   0.000128
2515   0.000179
2516   0.000151
2517   0.000160
2518   0.000135
2519   0.000136
2520   0.000147
2521   0.000089
2522   0.000151
2523   0.000144
2524   0.000115
2525   0.000101
2526   0.000054
2527   0.000091
2528   0.000163
2529   0.000077
2530   0.000065
2531   0.000057
2532   0.000111
2533   0.000090
2534   0.000176
2535   0.000072
2536   0.000102
2537   0.000098
2538   0.000081
2539   0.000085
2540   0.000065
2541   0.000096
2542   0.000084
2543   0.000107
2544   0.000058
2545   0.000099
2546   0.000077
2547   0.000082
2548   0.000036
2549   0.000090
2550   0.000055
2551   0.000055
2552   0.000071
2553   0.000091
2554   0.000009
2555   0.000092
2556   0.000074
2557   0.000069
2558   0.000109
2559   0.000038
2560   0.000103
2561   0.000054
2562   0.000059
2563   0.000055
2564   0.000048
2565   0.000095
2566   0.000051
2567   0.000106
2568   0.000075
2569   0.000086
2570   0.000055
2571   0.000110
2572   0.000045
2573   0.000103
2574   0.000125
2575   0.000066
2576   0.000046
2577   0.000055
2578   0.000055
2579   0.000115
2580   0.000050
2581   0.000085
2582   0.000089
2583   0.000103
2584   0.000099
