# transmission of niri Narrow-band J-continuum filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 26 may 2006
# J continuum 1.207	G0232	
#scanned warm and tilted by ~5 deg
1163   0.0
1164   0.0
1165   0.000061
1166   0.000155
1167   0.000095
1168   0.000147
1169   0.000193
1170   0.000112
1171   0.000297
1172   0.000277
1173   0.000335
1174   0.000380
1175   0.000469
1176   0.000643
1177   0.000749
1178   0.000953
1179   0.001287
1180   0.001678
1181   0.002256
1182   0.003103
1183   0.004354
1184   0.006093
1185   0.008649
1186   0.012772
1187   0.019007
1188   0.028344
1189   0.042987
1190   0.063950
1191   0.093169
1192   0.132340
1193   0.181730
1194   0.241240
1195   0.305900
1196   0.373410
1197   0.435980
1198   0.484900
1199   0.531940
1200   0.561980
1201   0.580790
1202   0.590880
1203   0.594740
1204   0.595250
1205   0.595450
1206   0.596490
1207   0.596500
1208   0.589700
1209   0.568710
1210   0.527980
1211   0.464060
1212   0.380040
1213   0.283520
1214   0.194410
1215   0.123070
1216   0.074905
1217   0.046354
1218   0.028814
1219   0.018613
1220   0.012435
1221   0.008508
1222   0.005940
1223   0.004317
1224   0.003192
1225   0.002412
1226   0.001873
1227   0.001480
1228   0.001097
1229   0.000939
1230   0.000686
1231   0.000575
1232   0.000492
1233   0.000403
1234   0.000333
1235   0.000297
1236   0.000278
1237   0.000265
1238   0.000179
1239   0.000115
1240   0.000175
1241   0.000060
1242   0.000200
1243   0.000068
1244   0.000124
1245   0.000128
1246   0.000120
1247   0.000106
1248   0.000080
1249   0.000125
1250   0.000048
1251   0.000063
1252   0.000005
1253   0.000043
1254   0.000005
1255   0.0
1256   0.0
