# transmission of niri Broad-band K filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 25 may 2006
#K	G0204
#scanned warm
1930   0.00
1931   0.00
1932   0.000054
1933   0.000133
1934   0.000128
1935   0.000091
1936   0.000083
1937   0.000116
1938   0.000133
1939   0.000146
1940   0.000159
1941   0.000129
1942   0.000087
1943   0.000111
1944   0.000191
1945   0.000166
1946   0.000141
1947   0.000129
1948   0.000153
1949   0.000216
1950   0.000174
1951   0.000203
1952   0.000168
1953   0.000182
1954   0.000180
1955   0.000220
1956   0.000188
1957   0.000228
1958   0.000245
1959   0.000232
1960   0.000227
1961   0.000343
1962   0.000302
1963   0.000328
1964   0.000296
1965   0.000381
1966   0.000413
1967   0.000427
1968   0.000421
1969   0.000468
1970   0.000498
1971   0.000564
1972   0.000590
1973   0.000619
1974   0.000646
1975   0.000735
1976   0.000711
1977   0.000815
1978   0.000893
1979   0.000986
1980   0.001029
1981   0.001077
1982   0.001191
1983   0.001325
1984   0.001431
1985   0.001581
1986   0.001650
1987   0.001773
1988   0.001977
1989   0.002079
1990   0.002248
1991   0.002409
1992   0.002571
1993   0.002715
1994   0.002999
1995   0.003198
1996   0.003349
1997   0.003696
1998   0.003924
1999   0.004242
2000   0.004609
2001   0.004961
2002   0.005289
2003   0.005682
2004   0.006092
2005   0.006533
2006   0.007161
2007   0.007654
2008   0.008296
2009   0.008949
2010   0.009672
2011   0.010433
2012   0.011358
2013   0.012253
2014   0.013303
2015   0.014358
2016   0.015608
2017   0.016978
2018   0.018513
2019   0.020164
2020   0.022013
2021   0.024001
2022   0.026207
2023   0.028725
2024   0.031412
2025   0.034483
2026   0.037951
2027   0.041555
2028   0.045664
2029   0.050243
2030   0.055217
2031   0.060898
2032   0.066982
2033   0.073709
2034   0.081231
2035   0.089427
2036   0.098487
2037   0.108370
2038   0.119290
2039   0.131000
2040   0.144010
2041   0.157650
2042   0.172900
2043   0.189010
2044   0.206870
2045   0.225490
2046   0.244920
2047   0.265870
2048   0.287470
2049   0.310580
2050   0.335030
2051   0.359180
2052   0.384520
2053   0.410610
2054   0.436920
2055   0.463290
2056   0.490550
2057   0.517130
2058   0.543810
2059   0.569950
2060   0.595490
2061   0.621180
2062   0.645270
2063   0.669710
2064   0.692740
2065   0.714310
2066   0.735440
2067   0.755390
2068   0.773780
2069   0.792070
2070   0.808220
2071   0.823260
2072   0.837400
2073   0.849850
2074   0.861290
2075   0.872060
2076   0.881070
2077   0.888970
2078   0.896130
2079   0.901940
2080   0.906960
2081   0.911170
2082   0.914640
2083   0.917130
2084   0.918990
2085   0.920500
2086   0.921550
2087   0.922010
2088   0.922320
2089   0.922340
2090   0.922010
2091   0.921690
2092   0.921270
2093   0.920820
2094   0.920210
2095   0.919970
2096   0.919580
2097   0.919020
2098   0.918940
2099   0.918950
2100   0.918950
2101   0.919310
2102   0.919880
2103   0.920370
2104   0.920910
2105   0.921720
2106   0.922630
2107   0.923690
2108   0.924540
2109   0.926000
2110   0.927440
2111   0.928580
2112   0.929910
2113   0.931660
2114   0.932730
2115   0.933940
2116   0.935170
2117   0.936320
2118   0.937470
2119   0.938660
2120   0.939700
2121   0.940650
2122   0.940830
2123   0.941480
2124   0.942110
2125   0.941790
2126   0.942200
2127   0.941970
2128   0.941380
2129   0.941820
2130   0.941270
2131   0.940530
2132   0.939650
2133   0.938510
2134   0.937250
2135   0.936190
2136   0.934910
2137   0.933350
2138   0.932050
2139   0.930310
2140   0.928470
2141   0.926750
2142   0.924770
2143   0.922700
2144   0.921050
2145   0.919370
2146   0.917580
2147   0.916060
2148   0.914720
2149   0.912930
2150   0.911570
2151   0.910110
2152   0.908890
2153   0.907570
2154   0.906590
2155   0.906120
2156   0.905140
2157   0.904400
2158   0.904060
2159   0.903910
2160   0.903360
2161   0.903170
2162   0.903340
2163   0.903700
2164   0.904190
2165   0.904840
2166   0.905540
2167   0.906240
2168   0.907080
2169   0.907940
2170   0.908980
2171   0.909920
2172   0.911360
2173   0.912950
2174   0.914210
2175   0.915940
2176   0.917340
2177   0.918800
2178   0.920310
2179   0.921810
2180   0.923540
2181   0.925130
2182   0.927020
2183   0.928900
2184   0.930610
2185   0.932220
2186   0.933840
2187   0.935300
2188   0.936550
2189   0.937880
2190   0.939550
2191   0.940630
2192   0.941870
2193   0.942990
2194   0.943760
2195   0.944170
2196   0.944870
2197   0.945170
2198   0.945300
2199   0.945560
2200   0.945680
2201   0.946030
2202   0.945920
2203   0.945590
2204   0.945550
2205   0.945100
2206   0.944730
2207   0.944450
2208   0.944410
2209   0.944170
2210   0.944140
2211   0.944100
2212   0.944020
2213   0.943620
2214   0.943210
2215   0.943220
2216   0.942890
2217   0.942830
2218   0.943080
2219   0.942990
2220   0.942630
2221   0.942880
2222   0.942840
2223   0.942140
2224   0.942400
2225   0.942560
2226   0.942650
2227   0.942950
2228   0.943090
2229   0.943440
2230   0.943320
2231   0.943240
2232   0.943360
2233   0.943340
2234   0.943280
2235   0.943400
2236   0.943890
2237   0.944290
2238   0.944170
2239   0.944340
2240   0.944600
2241   0.944330
2242   0.944460
2243   0.944450
2244   0.944940
2245   0.945340
2246   0.945260
2247   0.945580
2248   0.945630
2249   0.945850
2250   0.945740
2251   0.945640
2252   0.945830
2253   0.946490
2254   0.946610
2255   0.946640
2256   0.947110
2257   0.946840
2258   0.946750
2259   0.946530
2260   0.946650
2261   0.946930
2262   0.947410
2263   0.946940
2264   0.946590
2265   0.947290
2266   0.946950
2267   0.946780
2268   0.946900
2269   0.946780
2270   0.947670
2271   0.947220
2272   0.946930
2273   0.947610
2274   0.947490
2275   0.947580
2276   0.948350
2277   0.947690
2278   0.948360
2279   0.949110
2280   0.949180
2281   0.949360
2282   0.950390
2283   0.950740
2284   0.950210
2285   0.950440
2286   0.951730
2287   0.952500
2288   0.952590
2289   0.952850
2290   0.954080
2291   0.954620
2292   0.954280
2293   0.954870
2294   0.954440
2295   0.955330
2296   0.955440
2297   0.955470
2298   0.955270
2299   0.955760
2300   0.955670
2301   0.954590
2302   0.953900
2303   0.954780
2304   0.953660
2305   0.951830
2306   0.951830
2307   0.951230
2308   0.949850
2309   0.949450
2310   0.948600
2311   0.946720
2312   0.945630
2313   0.944330
2314   0.943040
2315   0.941850
2316   0.940470
2317   0.939340
2318   0.937800
2319   0.936120
2320   0.935520
2321   0.934250
2322   0.932700
2323   0.931590
2324   0.930850
2325   0.930150
2326   0.929200
2327   0.929070
2328   0.928670
2329   0.928090
2330   0.928020
2331   0.928360
2332   0.928680
2333   0.928770
2334   0.929670
2335   0.930790
2336   0.931610
2337   0.932560
2338   0.934330
2339   0.936090
2340   0.937240
2341   0.939290
2342   0.941120
2343   0.942670
2344   0.944720
2345   0.947150
2346   0.948890
2347   0.949590
2348   0.951730
2349   0.952740
2350   0.952750
2351   0.952390
2352   0.951250
2353   0.948780
2354   0.944970
2355   0.940040
2356   0.933240
2357   0.924390
2358   0.913010
2359   0.900230
2360   0.883940
2361   0.865630
2362   0.844310
2363   0.820250
2364   0.794070
2365   0.765000
2366   0.733020
2367   0.699110
2368   0.664060
2369   0.627470
2370   0.590390
2371   0.551710
2372   0.513430
2373   0.475450
2374   0.437880
2375   0.403170
2376   0.369160
2377   0.336070
2378   0.305870
2379   0.276430
2380   0.249800
2381   0.225940
2382   0.203150
2383   0.182770
2384   0.164470
2385   0.147080
2386   0.131770
2387   0.118180
2388   0.105970
2389   0.094698
2390   0.084837
2391   0.075893
2392   0.067885
2393   0.060762
2394   0.054504
2395   0.048864
2396   0.043779
2397   0.039292
2398   0.035200
2399   0.031661
2400   0.028578
2401   0.025655
2402   0.023198
2403   0.020943
2404   0.018834
2405   0.017077
2406   0.015507
2407   0.014022
2408   0.012709
2409   0.011606
2410   0.010477
2411   0.009595
2412   0.008767
2413   0.007983
2414   0.007323
2415   0.006744
2416   0.006157
2417   0.005608
2418   0.005174
2419   0.004757
2420   0.004351
2421   0.004025
2422   0.003742
2423   0.003455
2424   0.003177
2425   0.002895
2426   0.002752
2427   0.002509
2428   0.002431
2429   0.002130
2430   0.001999
2431   0.001903
2432   0.001794
2433   0.001654
2434   0.001603
2435   0.001455
2436   0.001380
2437   0.001267
2438   0.001228
2439   0.001176
2440   0.000991
2441   0.000993
2442   0.000928
2443   0.000874
2444   0.000807
2445   0.000735
2446   0.000771
2447   0.000655
2448   0.000714
2449   0.000647
2450   0.000617
2451   0.000593
2452   0.000516
2453   0.000443
2454   0.000515
2455   0.000488
2456   0.000458
2457   0.000419
2458   0.000382
2459   0.000366
2460   0.000361
2461   0.000395
2462   0.000355
2463   0.000391
2464   0.000352
2465   0.000330
2466   0.000296
2467   0.000325
2468   0.000225
2469   0.000293
2470   0.000240
2471   0.000214
2472   0.000276
2473   0.000315
2474   0.000193
2475   0.000222
2476   0.000234
2477   0.000292
2478   0.000155
2479   0.000192
2480   0.000192
2481   0.000225
2482   0.000177
2483   0.000201
2484   0.000226
2485   0.000167
2486   0.000205
2487   0.000173
2488   0.000173
2489   0.000152
2490   0.000168
2491   0.000148
2492   0.000139
2493   0.000174
2494   0.000122
2495   0.000161
2496   0.000148
2497   0.000132
2498   0.000109
2499   0.000120
2500   0.000148
2501   0.000217
2502   0.000078
2503   0.000161
2504   0.000082
2505   0.000123
2506   0.000116
2507   0.000156
2508   0.000132
2509   0.000066
2510   0.000098
2511   0.000099
2512   0.000066
2513   0.000078
2514   0.000179
2515   0.000054
2516   0.000148
2517   0.000108
2518   0.000105
2519   0.000099
2520   0.000132
2521   0.000065
2522   0.000078
2523   0.000111
2524   0.000119
2525   0.000078
2526   0.000131
2527   0.000141
2528   0.000032
2529   0.000074
2530   0.000072
2531   0.000078
2532   0.000038
2533   0.000119
2534   0.000055
2535   0.000096
2536   0.000109
2537   0.000100
2538   0.000097
2539   0.000124
2540   0.000074
2541   0.00
2542   0.00
