#K continuum 2.09  G0217
#scanned cold and tilted by 5 degrees in NIRI
#Wavelength (um)   Transmission fraction
2023.942426   0.003143
2024.647445   0.003226
2025.352463   0.003109
2026.057482   0.003249
2026.762501   0.003285
2027.467520   0.003182
2028.172539   0.003226
2028.877558   0.002961
2029.582577   0.002963
2030.287596   0.003051
2030.992615   0.002944
2031.697633   0.002892
2032.402652   0.002989
2033.107671   0.003214
2033.812690   0.003014
2034.517709   0.002644
2035.222728   0.002719
2035.927747   0.002890
2036.632766   0.002901
2037.337785   0.002917
2038.042804   0.002890
2038.747822   0.002948
2039.452841   0.003261
2040.157860   0.003582
2040.862879   0.003489
2041.567898   0.003597
2042.272917   0.003595
2042.977936   0.003684
2043.682955   0.003718
2044.387974   0.003818
2045.092992   0.003772
2045.798011   0.003753
2046.503030   0.003797
2047.208049   0.003900
2047.913068   0.004010
2048.618087   0.004002
2049.323106   0.004122
2050.028125   0.004252
2050.733144   0.004283
2051.438163   0.004390
2052.143181   0.004541
2052.848200   0.004761
2053.553219   0.004871
2054.258238   0.005049
2054.963257   0.005301
2055.668276   0.005533
2056.373295   0.005815
2057.078314   0.006056
2057.783333   0.006436
2058.488351   0.006682
2059.193370   0.007042
2059.898389   0.007428
2060.603408   0.007779
2061.308427   0.008314
2062.013446   0.009029
2062.718465   0.009717
2063.423484   0.010553
2064.128503   0.011410
2064.833522   0.012448
2065.538540   0.013292
2066.243559   0.014723
2066.948578   0.016252
2067.653597   0.017931
2068.358616   0.019976
2069.063635   0.022740
2069.768654   0.025684
2070.473673   0.029423
2071.178692   0.034033
2071.883710   0.039429
2072.588729   0.046023
2073.293748   0.054659
2073.998767   0.065014
2074.703786   0.077202
2075.408805   0.091892
2076.113824   0.110834
2076.818843   0.133404
2077.523862   0.160783
2078.228881   0.193002
2078.933899   0.231532
2079.638918   0.275421
2080.343937   0.324813
2081.048956   0.377361
2081.753975   0.433719
2082.458994   0.488038
2083.164013   0.540547
2083.869032   0.586539
2084.574051   0.628533
2085.279069   0.661520
2085.984088   0.685861
2086.689107   0.703378
2087.394126   0.716859
2088.099145   0.724578
2088.804164   0.730083
2089.509183   0.731919
2090.214202   0.735086
2090.919221   0.735751
2091.624240   0.735832
2092.329258   0.736063
2093.034277   0.735931
2093.739296   0.734716
2094.444315   0.735370
2095.149334   0.734691
2095.854353   0.733563
2096.559372   0.731852
2097.264391   0.729874
2097.969410   0.728679
2098.674428   0.727522
2099.379447   0.725119
2100.084466   0.722836
2100.789485   0.720645
2101.494504   0.720977
2102.199523   0.720706
2102.904542   0.721414
2103.609561   0.721061
2104.314580   0.720635
2105.019599   0.717989
2105.724617   0.713056
2106.429636   0.702568
2107.134655   0.687244
2107.839674   0.663807
2108.544693   0.634259
2109.249712   0.595241
2109.954731   0.550800
2110.659750   0.498340
2111.364769   0.445040
2112.069787   0.389556
2112.774806   0.336280
2113.479825   0.286173
2114.184844   0.242632
2114.889863   0.203745
2115.594882   0.170464
2116.299901   0.142334
2117.004920   0.119281
2117.709939   0.099659
2118.414958   0.083172
2119.119976   0.070091
2119.824995   0.059755
2120.530014   0.051168
2121.235033   0.043896
2121.940052   0.037967
2122.645071   0.033120
2123.350090   0.028808
2124.055109   0.024950
2124.760128   0.022129
2125.465146   0.019788
2126.170165   0.017624
2126.875184   0.016052
2127.580203   0.014399
2128.285222   0.013144
2128.990241   0.011997
2129.695260   0.010936
2130.400279   0.010047
2131.105298   0.009384
2131.810317   0.008710
2132.515335   0.008122
2133.220354   0.007554
2133.925373   0.007161
2134.630392   0.006882
2135.335411   0.006687
2136.040430   0.006280
2136.745449   0.006083
2137.450468   0.005760
2138.155487   0.005557
2138.860505   0.005280
2139.565524   0.005161
2140.270543   0.004995
2140.975562   0.004527
2141.680581   0.004236
2142.385600   0.004154
2143.090619   0.003977
2143.795638   0.003925
2144.500657   0.003705
2145.205676   0.003582
2145.910694   0.003640
2146.615713   0.003977
2147.320732   0.003840
2148.025751   0.003659
2148.730770   0.003674
2149.435789   0.003654
2150.140808   0.003468
2150.845827   0.003326
2151.550846   0.003316
2152.255864   0.003252
2152.960883   0.003746
2153.665902   0.001991
2156.485978   0.002398
2157.190997   0.002643
2157.896016   0.002721
2158.601035   0.002580
2159.306053   0.002621
2160.011072   0.002409
2160.716091   0.002557
2161.421110   0.002425
2162.126129   0.002357
2162.831148   0.002367
2163.536167   0.002763
2164.241186   0.002642
2164.946205   0.002601
2165.651223   0.002597
2166.356242   0.002581
2167.061261   0.002493
2167.766280   0.002403
2168.471299   0.002388
2169.176318   0.002349
2169.881337   0.002288
2170.586356   0.002423
2171.291375   0.002258
2171.996394   0.002304
2172.701412   0.002177
2173.406431   0.002192
