#K continuum 2.27  G0219
#scanned cold and tilted by 5 degrees in NIRI
#Wavelength (um)   Transmission fraction
2157.896016   0.001945
2158.601035   0.001951
2159.306053   0.002019
2160.011072   0.001925
2160.716091   0.001945
2161.421110   0.001962
2162.126129   0.001976
2162.831148   0.001936
2163.536167   0.002016
2164.241186   0.001951
2164.946205   0.002096
2165.651223   0.002069
2166.356242   0.002083
2167.061261   0.002054
2167.766280   0.002071
2168.471299   0.002036
2169.176318   0.002143
2169.881337   0.002081
2170.586356   0.002199
2171.291375   0.002133
2171.996394   0.002155
2172.701412   0.002181
2173.406431   0.002205
2174.111450   0.002169
2174.816469   0.002085
2175.521488   0.002097
2176.226507   0.002254
2176.931526   0.002528
2177.636545   0.002295
2178.341564   0.002220
2179.046582   0.002261
2179.751601   0.002216
2180.456620   0.002266
2181.161639   0.002182
2181.866658   0.002310
2182.571677   0.002285
2183.276696   0.002374
2183.981715   0.002371
2184.686734   0.002418
2185.391753   0.002344
2186.096771   0.002465
2186.801790   0.002407
2187.506809   0.002488
2188.211828   0.002500
2188.916847   0.002561
2189.621866   0.002517
2190.326885   0.002601
2191.031904   0.002554
2191.736923   0.002694
2192.441941   0.002675
2193.146960   0.002710
2193.851979   0.002722
2194.556998   0.002803
2195.262017   0.002801
2195.967036   0.002914
2196.672055   0.002866
2197.377074   0.002956
2198.082093   0.002915
2198.787112   0.002898
2199.492130   0.002957
2200.197149   0.003045
2200.902168   0.003066
2201.607187   0.003161
2202.312206   0.003122
2203.017225   0.003185
2203.722244   0.003307
2204.427263   0.003318
2205.132282   0.003308
2205.837301   0.003490
2206.542319   0.003479
2207.247338   0.003601
2207.952357   0.003556
2208.657376   0.003565
2209.362395   0.003586
2210.067414   0.003590
2210.772433   0.003718
2211.477452   0.003782
2212.182471   0.003841
2212.887489   0.003979
2213.592508   0.004025
2214.297527   0.004176
2215.002546   0.004171
2215.707565   0.004328
2216.412584   0.004425
2217.117603   0.004534
2217.822622   0.004622
2218.527641   0.004781
2219.232660   0.004868
2219.937678   0.005037
2220.642697   0.005193
2221.347716   0.005374
2222.052735   0.005514
2222.757754   0.005777
2223.462773   0.005948
2224.167792   0.006192
2224.872811   0.006294
2225.577830   0.006600
2226.282848   0.006911
2226.987867   0.007285
2227.692886   0.007569
2228.397905   0.007933
2229.102924   0.008361
2229.807943   0.008905
2230.512962   0.009382
2231.217981   0.009947
2231.923000   0.010590
2232.628019   0.011387
2233.333037   0.012179
2234.038056   0.013191
2234.743075   0.014283
2235.448094   0.015429
2236.153113   0.016783
2236.858132   0.018428
2237.563151   0.020104
2238.268170   0.022097
2238.973189   0.024662
2239.678207   0.027525
2240.383226   0.030652
2241.088245   0.034392
2241.793264   0.039064
2242.498283   0.044488
2243.203302   0.050788
2243.908321   0.058296
2244.613340   0.067157
2245.318359   0.077621
2246.023378   0.090496
2246.728396   0.105519
2247.433415   0.123575
2248.138434   0.144847
2248.843453   0.169873
2249.548472   0.199389
2250.253491   0.234414
2250.958510   0.273384
2251.663529   0.316796
2252.368548   0.365238
2253.073566   0.417331
2253.778585   0.470679
2254.483604   0.524885
2255.188623   0.575204
2255.893642   0.623261
2256.598661   0.666185
2257.303680   0.704346
2258.008699   0.733583
2258.713718   0.756020
2259.418737   0.770783
2260.123755   0.781172
2260.828774   0.784727
2261.533793   0.784843
2262.238812   0.780406
2262.943831   0.775595
2263.648850   0.768598
2264.353869   0.762145
2265.058888   0.753500
2265.763907   0.747208
2266.468925   0.739116
2267.173944   0.733356
2267.878963   0.726434
2268.583982   0.722377
2269.289001   0.715848
2269.994020   0.711962
2270.699039   0.707152
2271.404058   0.704592
2272.109077   0.699968
2272.814096   0.697975
2273.519114   0.693941
2274.224133   0.692910
2274.929152   0.690012
2275.634171   0.690235
2276.339190   0.688909
2277.044209   0.689327
2277.749228   0.688907
2278.454247   0.690134
2279.159266   0.688443
2279.864284   0.691746
2280.569303   0.686135
2283.389379   0.678127
2284.094398   0.691465
2284.799417   0.679681
2285.504436   0.667871
2286.209455   0.647556
2286.914473   0.627762
2287.619492   0.598059
2288.324511   0.564911
2289.029530   0.524383
2289.734549   0.484281
2290.439568   0.438935
2291.144587   0.394753
2291.849606   0.348463
2292.554625   0.306817
2293.259643   0.266850
2293.964662   0.231480
2294.669681   0.198923
2295.374700   0.171512
2296.079719   0.147479
2296.784738   0.127099
2297.489757   0.109618
2298.194776   0.095082
2298.899795   0.082135
2299.604814   0.071571
2300.309832   0.062511
2301.014851   0.054709
2301.719870   0.048085
2302.424889   0.042597
2303.129908   0.037866
2303.834927   0.033789
2304.539946   0.030253
2305.244965   0.027289
2305.949984   0.024693
2306.655002   0.022395
2307.360021   0.020408
2308.065040   0.018660
2308.770059   0.017344
2309.475078   0.015982
2310.180097   0.014741
2310.885116   0.013728
2311.590135   0.012903
2312.295154   0.012100
2313.000173   0.011377
2313.705191   0.010627
2314.410210   0.010147
2315.115229   0.009557
2315.820248   0.009119
2316.525267   0.008560
2317.230286   0.008239
2317.935305   0.007784
2318.640324   0.007525
2319.345343   0.007159
2320.050361   0.006993
2320.755380   0.006756
2321.460399   0.006536
2322.165418   0.006135
2322.870437   0.005995
2323.575456   0.005737
2324.280475   0.005519
2324.985494   0.005325
2325.690513   0.005298
2326.395532   0.005076
2327.100550   0.004903
2327.805569   0.004734
2328.510588   0.004690
2329.215607   0.004485
2329.920626   0.004408
2330.625645   0.004287
2331.330664   0.004283
2332.035683   0.004080
2332.740702   0.004083
2333.445720   0.003887
2334.150739   0.003949
2334.855758   0.003777
2335.560777   0.003689
2336.265796   0.003646
2336.970815   0.003622
2337.675834   0.003505
2338.380853   0.003502
2339.085872   0.003348
2339.790891   0.003409
2340.495909   0.003247
2341.200928   0.003272
2341.905947   0.003164
2342.610966   0.003170
2343.315985   0.003054
2344.021004   0.003052
2344.726023   0.002927
2345.431042   0.002967
2346.136061   0.002881
2346.841079   0.002924
2347.546098   0.002827
2348.251117   0.002818
2348.956136   0.002803
2349.661155   0.002766
2350.366174   0.002656
2351.071193   0.002682
2351.776212   0.002634
2352.481231   0.002706
2353.186250   0.002590
2353.891268   0.002538
2354.596287   0.002444
2355.301306   0.002445
2356.006325   0.002453
2356.711344   0.002435
2357.416363   0.002413
2358.121382   0.002397
2358.826401   0.002325
2359.531420   0.002274
2360.236438   0.002248
2360.941457   0.002205
2361.646476   0.002183
2362.351495   0.002164
2363.056514   0.002121
2363.761533   0.002084
2364.466552   0.002075
2365.171571   0.002016
2365.876590   0.002034
2366.581609   0.002009
2367.286627   0.001979
2367.991646   0.001961
2368.696665   0.001919
2369.401684   0.001929
