# transmission of niri Broad-band K (short) filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 25 may 2006
#K short	G0205
#scanned warm
1892   0.00
1893   0.00
1894   0.000088
1895   0.000112
1896   0.000139
1897   0.000153
1898   0.000130
1899   0.000150
1900   0.000147
1901   0.000165
1902   0.000175
1903   0.000126
1904   0.000177
1905   0.000140
1906   0.000205
1907   0.000204
1908   0.000171
1909   0.000235
1910   0.000229
1911   0.000240
1912   0.000202
1913   0.000252
1914   0.000262
1915   0.000237
1916   0.000249
1917   0.000239
1918   0.000200
1919   0.000245
1920   0.000196
1921   0.000262
1922   0.000260
1923   0.000280
1924   0.000255
1925   0.000268
1926   0.000302
1927   0.000242
1928   0.000300
1929   0.000334
1930   0.000330
1931   0.000342
1932   0.000403
1933   0.000444
1934   0.000378
1935   0.000435
1936   0.000467
1937   0.000513
1938   0.000525
1939   0.000604
1940   0.000637
1941   0.000746
1942   0.000699
1943   0.000702
1944   0.000793
1945   0.000868
1946   0.000936
1947   0.000975
1948   0.001065
1949   0.001123
1950   0.001238
1951   0.001332
1952   0.001389
1953   0.001521
1954   0.001672
1955   0.001769
1956   0.001861
1957   0.002032
1958   0.002179
1959   0.002331
1960   0.002552
1961   0.002700
1962   0.002991
1963   0.003170
1964   0.003420
1965   0.003706
1966   0.004043
1967   0.004381
1968   0.004703
1969   0.005077
1970   0.005521
1971   0.005978
1972   0.006468
1973   0.007137
1974   0.007687
1975   0.008401
1976   0.009158
1977   0.010032
1978   0.010934
1979   0.011986
1980   0.013047
1981   0.014310
1982   0.015647
1983   0.017236
1984   0.018862
1985   0.020686
1986   0.022726
1987   0.025111
1988   0.027555
1989   0.030307
1990   0.033465
1991   0.036845
1992   0.040736
1993   0.045065
1994   0.049722
1995   0.054969
1996   0.060746
1997   0.067098
1998   0.073901
1999   0.083210
2000   0.092212
2001   0.101920
2002   0.112830
2003   0.124550
2004   0.138000
2005   0.152360
2006   0.168620
2007   0.185710
2008   0.204300
2009   0.225330
2010   0.246920
2011   0.271250
2012   0.297230
2013   0.324250
2014   0.352530
2015   0.383350
2016   0.414900
2017   0.447270
2018   0.481550
2019   0.515630
2020   0.549920
2021   0.584140
2022   0.617660
2023   0.651060
