#Br Gamma       G0218
#scanned cold and tilted by 5 degrees in NIRI
#Wavelength (um)   Transmission fraction
2023.942426   0.001413
2024.647445   0.001542
2025.352463   0.001833
2026.057482   0.001973
2026.762501   0.001723
2027.467520   0.001674
2028.172539   0.001388
2028.877558   0.000718
2029.582577   0.000675
2030.287596   0.001117
2030.992615   0.000720
2031.697633   0.000895
2032.402652   0.001591
2033.107671   0.001178
2033.812690   0.000848
2034.517709   0.001671
2035.222728   0.001836
2035.927747   0.001693
2036.632766   0.001361
2037.337785   0.001853
2038.042804   0.001575
2038.747822   0.001651
2039.452841   0.001624
2040.157860   0.001438
2040.862879   0.001260
2041.567898   0.001499
2042.272917   0.001488
2042.977936   0.001309
2043.682955   0.001452
2044.387974   0.001567
2045.092992   0.001402
2045.798011   0.001051
2046.503030   0.001404
2047.208049   0.001784
2047.913068   0.001670
2048.618087   0.001443
2049.323106   0.001529
2050.028125   0.001560
2050.733144   0.001494
2051.438163   0.001313
2052.143181   0.001104
2052.848200   0.001456
2053.553219   0.001475
2054.258238   0.001380
2054.963257   0.001697
2055.668276   0.001462
2056.373295   0.001343
2057.078314   0.001555
2057.783333   0.001505
2058.488351   0.001596
2059.193370   0.001520
2059.898389   0.001567
2060.603408   0.001495
2061.308427   0.001450
2062.013446   0.001954
2062.718465   0.002310
2063.423484   0.002037
2064.128503   0.001699
2064.833522   0.001874
2065.538540   0.002294
2066.243559   0.001946
2066.948578   0.001614
2067.653597   0.001960
2068.358616   0.002231
2069.063635   0.001850
2069.768654   0.002100
2070.473673   0.002062
2071.178692   0.002265
2071.883710   0.002143
2072.588729   0.001727
2073.293748   0.001574
2073.998767   0.002000
2074.703786   0.001860
2075.408805   0.001620
2076.113824   0.001828
2076.818843   0.001957
2077.523862   0.002013
2078.228881   0.002029
2078.933899   0.002352
2079.638918   0.001927
2080.343937   0.002202
2081.048956   0.002051
2081.753975   0.002039
2082.458994   0.002201
2083.164013   0.001900
2083.869032   0.002242
2084.574051   0.002259
2085.279069   0.002618
2085.984088   0.002568
2086.689107   0.002723
2087.394126   0.002344
2088.099145   0.002661
2088.804164   0.002542
2089.509183   0.002522
2090.214202   0.003002
2090.919221   0.002960
2091.624240   0.002826
2092.329258   0.002883
2093.034277   0.003050
2093.739296   0.003121
2094.444315   0.002995
2095.149334   0.002956
2095.854353   0.002796
2096.559372   0.002588
2097.264391   0.002663
2097.969410   0.002775
2098.674428   0.002783
2099.379447   0.003022
2100.084466   0.002981
2100.789485   0.002873
2101.494504   0.003269
2102.199523   0.003255
2102.904542   0.003101
2103.609561   0.003271
2104.314580   0.003253
2105.019599   0.003103
2105.724617   0.003373
2106.429636   0.003606
2107.134655   0.003772
2107.839674   0.003677
2108.544693   0.003799
2109.249712   0.003723
2109.954731   0.003807
2110.659750   0.004138
2111.364769   0.004238
2112.069787   0.003838
2112.774806   0.003861
2113.479825   0.003805
2114.184844   0.003950
2114.889863   0.004081
2115.594882   0.004172
2116.299901   0.003671
2117.004920   0.004073
2117.709939   0.003789
2118.414958   0.003597
2119.119976   0.003828
2119.824995   0.003930
2120.530014   0.004445
2121.235033   0.004375
2121.940052   0.004418
2122.645071   0.004985
2123.350090   0.004945
2124.055109   0.005526
2124.760128   0.005826
2125.465146   0.006312
2126.170165   0.006389
2126.875184   0.006854
2127.580203   0.007052
2128.285222   0.007806
2128.990241   0.008202
2129.695260   0.009372
2130.400279   0.009998
2131.105298   0.010947
2131.810317   0.011869
2132.515335   0.012685
2133.220354   0.013901
2133.925373   0.015482
2134.630392   0.016904
2135.335411   0.018337
2136.040430   0.020625
2136.745449   0.022808
2137.450468   0.025930
2138.155487   0.029481
2138.860505   0.033784
2139.565524   0.039286
2140.270543   0.044378
2140.975562   0.052843
2141.680581   0.061303
2142.385600   0.070431
2143.090619   0.081193
2143.795638   0.094344
2144.500657   0.108919
2145.205676   0.126252
2145.910694   0.145386
2146.615713   0.167846
2147.320732   0.192568
2148.025751   0.218431
2148.730770   0.248238
2149.435789   0.279751
2150.140808   0.313098
2150.845827   0.347574
2151.550846   0.381572
2152.255864   0.418654
2152.960883   0.454069
2153.665902   0.491046
2154.370921   0.526160
2155.075940   0.561687
2155.780959   0.591819
2156.485978   0.623044
2157.190997   0.649239
2157.896016   0.674807
2158.601035   0.695596
2159.306053   0.712978
2160.011072   0.725855
2160.716091   0.734979
2161.421110   0.740827
2162.126129   0.744734
2162.831148   0.744448
2163.536167   0.739314
2164.241186   0.732511
2164.946205   0.723178
2165.651223   0.712986
2166.356242   0.701915
2167.061261   0.688678
2167.766280   0.676831
2168.471299   0.664921
2169.176318   0.655551
2169.881337   0.645541
2170.586356   0.640614
2171.291375   0.636734
2171.996394   0.635625
2172.701412   0.636328
2173.406431   0.640710
2174.111450   0.648115
2174.816469   0.658980
2175.521488   0.668399
2176.226507   0.676563
2176.931526   0.684686
2177.636545   0.691009
2178.341564   0.686897
2179.046582   0.678568
2179.751601   0.661604
2180.456620   0.638685
2181.161639   0.609299
2181.866658   0.572797
2182.571677   0.534424
2183.276696   0.494358
2183.981715   0.450330
2184.686734   0.406382
2185.391753   0.363637
2186.096771   0.319213
2186.801790   0.275163
2187.506809   0.234342
2188.211828   0.197401
2188.916847   0.165920
2189.621866   0.137065
2190.326885   0.113300
2191.031904   0.094148
2191.736923   0.076999
2192.441941   0.063962
2193.146960   0.054285
2193.851979   0.045884
2194.556998   0.038925
2195.262017   0.033198
2195.967036   0.029360
2196.672055   0.025829
2197.377074   0.022785
2198.082093   0.020009
2198.787112   0.017533
2199.492130   0.015828
2200.197149   0.014466
2200.902168   0.013566
2201.607187   0.012509
2202.312206   0.011503
2203.017225   0.010225
2203.722244   0.009333
2204.427263   0.008697
2205.132282   0.007877
2205.837301   0.007897
2206.542319   0.007433
2207.247338   0.006898
2207.952357   0.006683
2208.657376   0.006852
2209.362395   0.006090
2210.067414   0.005820
2210.772433   0.005909
2211.477452   0.005286
2212.182471   0.005232
2212.887489   0.005486
2213.592508   0.004879
2214.297527   0.004503
2215.002546   0.004325
2215.707565   0.004185
2216.412584   0.003808
2217.117603   0.003908
2217.822622   0.003664
2218.527641   0.003614
2219.232660   0.003569
2219.937678   0.003976
2220.642697   0.004052
2221.347716   0.004061
2222.052735   0.004023
2222.757754   0.003999
2223.462773   0.004052
2224.167792   0.003740
2224.872811   0.003537
2225.577830   0.003935
2226.282848   0.003824
2226.987867   0.003536
2227.692886   0.003611
2228.397905   0.003390
2229.102924   0.003394
2229.807943   0.003732
2230.512962   0.003623
2231.217981   0.002953
2231.923000   0.002586
2232.628019   0.002744
2233.333037   0.003027
2234.038056   0.003073
2234.743075   0.002610
2235.448094   0.002358
2236.153113   0.002604
2236.858132   0.002754
2237.563151   0.002614
2238.268170   0.002500
2238.973189   0.002737
2239.678207   0.002724
2240.383226   0.002379
2241.088245   0.002315
2241.793264   0.002387
2242.498283   0.002319
2243.203302   0.002179
2243.908321   0.002241
2244.613340   0.002354
2245.318359   0.002214
2246.023378   0.002059
2246.728396   0.002298
2247.433415   0.002346
2248.138434   0.002153
2248.843453   0.002246
2249.548472   0.002397
2250.253491   0.002438
2250.958510   0.002295
2251.663529   0.002346
2252.368548   0.002261
2253.073566   0.002066
2253.778585   0.002355
2254.483604   0.002200
2255.188623   0.002125
2255.893642   0.002216
2256.598661   0.002020
2257.303680   0.002142
2258.008699   0.002046
2258.713718   0.001954
2259.418737   0.001844
2260.123755   0.002072
2260.828774   0.002121
2261.533793   0.002326
2262.238812   0.002004
2262.943831   0.002456
2263.648850   0.002831
2264.353869   0.002157
2265.058888   0.002239
2265.763907   0.002179
2266.468925   0.001863
2267.173944   0.002042
2267.878963   0.002015
2268.583982   0.001630
2269.289001   0.001598
2269.994020   0.002009
2270.699039   0.001823
2271.404058   0.002159
2272.109077   0.002526
2272.814096   0.002287
2273.519114   0.001941
2274.224133   0.002076
2274.929152   0.001946
2275.634171   0.001976
2276.339190   0.001772
2277.044209   0.001588
2277.749228   0.001670
2278.454247   0.001602
2279.159266   0.001385
2279.864284   0.001471
2280.569303   0.001361
2281.274322   0.001511
2281.979341   0.001255
2282.684360   0.000811
2283.389379   0.000481
2284.094398   0.000735
2284.799417   0.000844
2285.504436   0.000914
2286.209455   0.000750
2286.914473   0.000636
2287.619492   0.000682
2288.324511   0.001234
2289.029530   0.001589
2289.734549   0.001495
2290.439568   0.001524
2291.144587   0.001469
2291.849606   0.001484
