# transmission of niri Narrow-band CH4 (short) filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve 25may2006
#CH4(short)	G0228
#scanned cold and tilted by 5 degrees in NIRI
1488.351692   0.055623
1488.871769   0.056919
1489.391846   0.055553
1489.911923   0.055024
1490.432000   0.052754
1490.952076   0.050862
1491.472153   0.051395
1491.992230   0.049330
1492.512307   0.049911
1493.032384   0.045525
1493.552460   0.045140
1494.072537   0.045253
1494.592614   0.044810
1495.112691   0.046563
1495.632768   0.046629
1496.152844   0.043422
1496.672921   0.042563
1497.192998   0.044716
1497.713075   0.042917
1498.233152   0.044379
1498.753228   0.044685
1499.273305   0.044283
1499.793382   0.046121
1500.313459   0.046347
1500.833535   0.046675
1501.353612   0.046581
1501.873689   0.049346
1502.393766   0.050013
1502.913843   0.049539
1503.433919   0.050451
1503.953996   0.051378
1504.474073   0.051899
1504.994150   0.054175
1505.514227   0.055572
1506.034303   0.056152
1506.554380   0.056671
1507.074457   0.058090
1507.594534   0.058858
1508.114611   0.060571
1508.634687   0.063301
1509.154764   0.064620
1509.674841   0.066392
1510.194918   0.068733
1510.714995   0.068880
1511.235071   0.070344
1511.755148   0.072868
1512.275225   0.075303
1512.795302   0.077609
1513.315378   0.079646
1513.835455   0.083039
1514.355532   0.084264
1514.875609   0.086447
1515.395686   0.089380
1515.915762   0.094115
1516.435839   0.096469
1516.955916   0.097988
1517.475993   0.103701
1517.996070   0.106515
1518.516146   0.109813
1519.036223   0.113360
1519.556300   0.117791
1520.076377   0.121252
1520.596454   0.125613
1521.116530   0.131592
1521.636607   0.135099
1522.156684   0.139608
1522.676761   0.144293
1523.196837   0.150411
1523.716914   0.156090
1524.236991   0.160921
1524.757068   0.168110
1525.277145   0.175269
1525.797221   0.181695
1526.317298   0.190959
1526.837375   0.196575
1527.357452   0.203762
1527.877529   0.212755
1528.397605   0.220269
1528.917682   0.229668
1529.437759   0.240093
1529.957836   0.250234
1530.477913   0.258303
1530.997989   0.268064
1531.518066   0.280282
1532.038143   0.289886
1532.558220   0.301235
1533.078297   0.312635
1533.598373   0.325378
1534.118450   0.334970
1534.638527   0.349262
1535.158604   0.362268
1535.678680   0.378310
1536.198757   0.390941
1536.718834   0.402910
1537.238911   0.418725
1537.758988   0.430840
1538.279064   0.444847
1538.799141   0.460615
1539.319218   0.475559
1539.839295   0.490289
1540.359372   0.503313
1540.879448   0.517429
1541.399525   0.534010
1541.919602   0.547477
1542.439679   0.561009
1542.959756   0.576232
1543.479832   0.589131
1543.999909   0.604243
1544.519986   0.615411
1545.040063   0.625389
1545.560140   0.639883
1546.080216   0.654414
1546.600293   0.667218
1547.120370   0.677203
1547.640447   0.687845
1548.160523   0.696692
1548.680600   0.704680
1549.200677   0.712191
1549.720754   0.724034
1550.240831   0.734991
1550.760907   0.739944
1551.280984   0.746671
1551.801061   0.753981
1552.321138   0.761225
1552.841215   0.765448
1553.361291   0.772038
1553.881368   0.778740
1554.401445   0.784463
1554.921522   0.788765
1555.441599   0.791012
1555.961675   0.799919
1556.481752   0.801618
1557.001829   0.800872
1557.521906   0.806790
1558.041982   0.809470
1558.562059   0.811860
1559.082136   0.811635
1559.602213   0.814057
1560.122290   0.822426
1560.642366   0.824681
1561.162443   0.823715
1561.682520   0.824066
1562.202597   0.823346
1562.722674   0.828680
1563.242750   0.826492
1563.762827   0.829860
1564.282904   0.834093
1564.802981   0.833108
1565.323058   0.833729
1565.843134   0.838611
1566.363211   0.837893
1566.883288   0.842088
1567.403365   0.841886
1567.923442   0.841547
1568.443518   0.842208
1568.963595   0.843931
1569.483672   0.841197
1570.003749   0.843155
1570.523825   0.845994
1571.043902   0.847462
1571.563979   0.848030
1572.084056   0.848879
1572.604133   0.848165
1573.124209   0.851420
1573.644286   0.847781
1574.164363   0.846499
1574.684440   0.850000
1575.204517   0.850539
1575.724593   0.850374
1576.244670   0.846970
1576.764747   0.846372
1577.284824   0.847513
1577.804901   0.842440
1578.324977   0.843663
1578.845054   0.843391
1579.365131   0.845416
1579.885208   0.843749
1580.405285   0.843487
1580.925361   0.842349
1581.445438   0.840908
1581.965515   0.837032
1582.485592   0.836733
1583.005668   0.835050
1583.525745   0.833635
1584.045822   0.832857
1584.565899   0.829123
1585.085976   0.823793
1585.606052   0.823658
1586.126129   0.823534
1586.646206   0.819992
1587.166283   0.816119
1587.686360   0.813315
1588.206436   0.810448
1588.726513   0.808698
1589.246590   0.806724
1589.766667   0.805714
1590.286744   0.801269
1590.806820   0.796295
1591.326897   0.788305
1591.846974   0.786045
1592.367051   0.786713
1592.887128   0.782384
1593.407204   0.776682
1593.927281   0.773573
1594.447358   0.772780
1594.967435   0.766973
1595.487511   0.762264
1596.007588   0.760174
1596.527665   0.755442
1597.047742   0.751774
1597.567819   0.748968
1598.087895   0.746753
1598.607972   0.743066
1599.128049   0.739026
1599.648126   0.737510
1600.168203   0.731574
1600.688279   0.729342
1601.208356   0.724578
1601.728433   0.720484
1602.248510   0.719919
1602.768587   0.716674
1603.288663   0.713862
1603.808740   0.713435
1604.328817   0.710617
1604.848894   0.707055
1605.368970   0.705189
1605.889047   0.701244
1606.409124   0.698895
1606.929201   0.697163
1607.449278   0.696299
1607.969354   0.696199
1608.489431   0.693469
1609.009508   0.691355
1609.529585   0.686796
1610.049662   0.685289
1610.569738   0.684234
1611.089815   0.683407
1611.609892   0.682611
1612.129969   0.682871
1612.650046   0.684080
1613.170122   0.683344
1613.690199   0.681332
1614.210276   0.681702
1614.730353   0.682838
1615.250430   0.682530
1615.770506   0.679839
1616.290583   0.683801
1616.810660   0.683357
1617.330737   0.682396
1617.850813   0.683999
1618.370890   0.688554
1618.890967   0.690573
1619.411044   0.691393
1619.931121   0.694804
1620.451197   0.695935
1620.971274   0.696234
1621.491351   0.701433
1622.011428   0.702598
1622.531505   0.706058
1623.051581   0.710505
1623.571658   0.714266
1624.091735   0.717080
1624.611812   0.717429
1625.131889   0.720259
1625.651965   0.725704
1626.172042   0.730354
1626.692119   0.734869
1627.212196   0.739661
1627.732273   0.743080
1628.252349   0.747461
1628.772426   0.755778
1629.292503   0.759821
1629.812580   0.759805
1630.332656   0.766883
1630.852733   0.771731
1631.372810   0.775624
1631.892887   0.781999
1632.412964   0.785340
1632.933040   0.785814
1633.453117   0.787414
1633.973194   0.791633
1634.493271   0.798192
1635.013348   0.796774
1635.533424   0.796265
1636.053501   0.799820
1636.573578   0.800282
1637.093655   0.798033
1637.613732   0.797830
1638.133808   0.800223
1638.653885   0.796017
1639.173962   0.794186
1639.694039   0.786168
1640.214115   0.780051
1640.734192   0.775236
1641.254269   0.768961
1641.774346   0.757823
1642.294423   0.743932
1642.814499   0.734043
1643.334576   0.722367
1643.854653   0.712643
1644.374730   0.697364
1644.894807   0.685110
1645.414883   0.671808
1645.934960   0.653858
1646.455037   0.637792
1646.975114   0.622573
1647.495191   0.634360
1648.015267   0.594944
1648.535344   0.567496
1649.055421   0.548858
1649.575498   0.528992
1650.095575   0.513754
1650.615651   0.494445
1651.135728   0.474845
1651.655805   0.458451
1652.175882   0.442907
1652.695958   0.424871
1653.216035   0.406754
1653.736112   0.393502
1654.256189   0.377605
1654.776266   0.363510
1655.296342   0.347228
1655.816419   0.333795
1656.336496   0.317844
1656.856573   0.303497
1657.376650   0.293120
1657.896726   0.279696
1658.416803   0.262404
1658.936880   0.258561
1659.456957   0.247452
1659.977034   0.235309
1660.497110   0.224846
1661.017187   0.215988
1661.537264   0.207259
1662.057341   0.199092
1662.577418   0.190098
1663.097494   0.181903
1663.617571   0.174496
1664.137648   0.168063
1664.657725   0.161538
1665.177801   0.154967
1665.697878   0.148428
1666.217955   0.142217
1666.738032   0.135843
1667.258109   0.131751
1667.778185   0.126751
1668.298262   0.120118
1668.818339   0.115654
1669.338416   0.112543
1669.858493   0.107827
1670.378569   0.103055
1671.938800   0.082764
1672.458877   0.091367
1672.978953   0.086724
1673.499030   0.083246
1674.019107   0.080446
1674.539184   0.078338
1675.059261   0.075682
1675.579337   0.072841
1676.099414   0.070614
1676.619491   0.068189
1677.139568   0.066511
1677.659644   0.064370
1678.179721   0.062588
1678.699798   0.059987
1679.219875   0.057588
1679.739952   0.056415
1680.260028   0.054388
1680.780105   0.052981
1681.300182   0.050702
1681.820259   0.049396
1682.340336   0.047975
1682.860412   0.046660
1683.380489   0.045745
1683.900566   0.044034
1684.420643   0.042970
1684.940720   0.041723
1685.460796   0.040746
1685.980873   0.039040
1686.500950   0.038403
1687.021027   0.037551
1687.541103   0.036159
1688.061180   0.035226
1688.581257   0.034397
1689.101334   0.033407
1689.621411   0.032631
1690.141487   0.032104
1690.661564   0.031036
1691.181641   0.031070
1691.701718   0.029817
1692.221795   0.028347
1692.741871   0.027820
1693.261948   0.027292
1693.782025   0.026668
1694.302102   0.025935
1694.822179   0.025580
1695.342255   0.025256
1695.862332   0.024427
1696.382409   0.024053
1696.902486   0.024004
1697.422563   0.022981
1697.942639   0.022560
1698.462716   0.022212
1698.982793   0.021774
1699.502870   0.021512
1700.022946   0.021058
1700.543023   0.020668
1701.063100   0.020455
1701.583177   0.019888
1702.103254   0.019397
1702.623330   0.019024
1703.143407   0.018592
1703.663484   0.017998
1704.183561   0.017751
1704.703638   0.017663
1705.223714   0.017178
1705.743791   0.016637
1706.263868   0.016387
1706.783945   0.016365
1707.304022   0.016058
1707.824098   0.016082
1708.344175   0.015961
1708.864252   0.015438
1709.384329   0.015204
1709.904406   0.015360
1710.424482   0.015143
1710.944559   0.014821
1711.464636   0.014889
1711.984713   0.014246
1712.504789   0.013365
1713.024866   0.013413
1713.544943   0.013399
1714.065020   0.013263
1714.585097   0.012857
1715.105173   0.012793
1715.625250   0.012930
1716.145327   0.012571
1716.665404   0.012228
1717.185481   0.012062
1717.705557   0.011822
1718.225634   0.011561
1718.745711   0.011477
1719.265788   0.011367
1719.785865   0.011185
1720.305941   0.010978
1720.826018   0.010528
1721.346095   0.010612
1721.866172   0.010209
1722.386248   0.010342
1722.906325   0.010291
1723.426402   0.010267
1723.946479   0.010160
1724.466556   0.009782
1724.986632   0.009636
1725.506709   0.009775
1726.026786   0.009896
1726.546863   0.009773
1727.066940   0.009451
1727.587016   0.009528
1728.107093   0.009175
1728.627170   0.009199
1729.147247   0.009212
1729.667324   0.008955
1730.187400   0.008927
1730.707477   0.008822
1731.227554   0.008855
1731.747631   0.009034
1732.267708   0.008920
1732.787784   0.008784
1733.307861   0.008747
1733.827938   0.008465
1734.348015   0.008360
1734.868091   0.008474
1735.388168   0.008256
1735.908245   0.008740
1736.428322   0.008286
1736.948399   0.008291
1737.468475   0.008198
1737.988552   0.007564
1738.508629   0.007427
1739.028706   0.007796
1739.548783   0.007521
1740.068859   0.007838
1740.588936   0.007476
1741.109013   0.007607
1741.629090   0.007354
1742.149167   0.007436
1742.669243   0.007361
1743.189320   0.007158
1743.709397   0.006873
1744.229474   0.007067
1744.749551   0.006780
1745.269627   0.006817
1745.789704   0.007303
1746.309781   0.007262
1746.829858   0.006873
1747.349934   0.007174
1747.870011   0.007111
1748.390088   0.006903
1748.910165   0.006901
1749.430242   0.007023
1749.950318   0.006629
1750.470395   0.006641
1750.990472   0.006482
1751.510549   0.006214
1752.030626   0.006159
1752.550702   0.006543
1753.070779   0.006435
1753.590856   0.006164
1754.110933   0.006169
1754.631010   0.006169
1755.151086   0.005856
1755.671163   0.005889
1756.191240   0.006063
1756.711317   0.005772
1757.231393   0.005656
1757.751470   0.005584
1758.271547   0.005759
1758.791624   0.005907
1759.311701   0.005557
1759.831777   0.005544
1760.351854   0.005630
1760.871931   0.005654
1761.392008   0.005642
1761.912085   0.005636
1762.432161   0.005324
1762.952238   0.004991
1763.472315   0.005098
1763.992392   0.005150
1764.512469   0.005228
1765.032545   0.005219
1765.552622   0.004946
1766.072699   0.004814
1766.592776   0.004947
1767.112853   0.004875
1767.632929   0.005175
1768.153006   0.005120
1768.673083   0.005251
1769.193160   0.005306
1769.713236   0.005352
1770.233313   0.005258
1770.753390   0.005122
1771.273467   0.004951
1771.793544   0.004684
1772.313620   0.004645
1772.833697   0.004417
1773.353774   0.004383
1773.873851   0.004696
1774.393928   0.004700
1774.914004   0.004752
1775.434081   0.004801
1775.954158   0.004832
1776.474235   0.004707
1776.994312   0.004945
1777.514388   0.004782
1778.034465   0.004948
1778.554542   0.004963
1779.074619   0.004699
1779.594696   0.004256
1780.114772   0.004316
1780.634849   0.004147
1781.154926   0.004442
1781.675003   0.004159
1782.195079   0.004226
1782.715156   0.004328
1783.235233   0.004271
1783.755310   0.004612
1784.275387   0.004704
1784.795463   0.004604
1785.315540   0.004454
1785.835617   0.004390
1786.355694   0.004643
1786.875771   0.004598
1787.395847   0.004612
1787.915924   0.004775
1788.436001   0.004612
1788.956078   0.004499
1789.476155   0.004330
1789.996231   0.004748
1790.516308   0.005212
1791.036385   0.005355
1791.556462   0.005219
1792.076539   0.005537
