#H2 S(1) v=2-1  G0220
#scanned cold and tilted by 5 degrees in NIRI
#Wavelength (um)   Transmission fraction
2157.896016   0.002072
2158.601035   0.002076
2159.306053   0.002120
2160.011072   0.002116
2160.716091   0.002270
2161.421110   0.002164
2162.126129   0.002248
2162.831148   0.002238
2163.536167   0.002251
2164.241186   0.002224
2164.946205   0.002317
2165.651223   0.002302
2166.356242   0.002395
2167.061261   0.002273
2167.766280   0.002357
2168.471299   0.002323
2169.176318   0.002430
2169.881337   0.002458
2170.586356   0.002535
2171.291375   0.002442
2171.996394   0.002561
2172.701412   0.002522
2173.406431   0.002642
2174.111450   0.002619
2174.816469   0.002611
2175.521488   0.002662
2176.226507   0.002741
2176.931526   0.003064
2177.636545   0.002889
2178.341564   0.002809
2179.046582   0.002926
2179.751601   0.002909
2180.456620   0.002932
2181.161639   0.002890
2181.866658   0.003008
2182.571677   0.002992
2183.276696   0.003142
2183.981715   0.003137
2184.686734   0.003199
2185.391753   0.003291
2186.096771   0.003425
2186.801790   0.003390
2187.506809   0.003603
2188.211828   0.003633
2188.916847   0.003756
2189.621866   0.003784
2190.326885   0.003909
2191.031904   0.004047
2191.736923   0.004274
2192.441941   0.004269
2193.146960   0.004526
2193.851979   0.004620
2194.556998   0.004809
2195.262017   0.004902
2195.967036   0.005147
2196.672055   0.005318
2197.377074   0.005540
2198.082093   0.005704
2198.787112   0.006022
2199.492130   0.006242
2200.197149   0.006627
2200.902168   0.006988
2201.607187   0.007401
2202.312206   0.007738
2203.017225   0.008276
2203.722244   0.008745
2204.427263   0.009501
2205.132282   0.010189
2205.837301   0.011007
2206.542319   0.011819
2207.247338   0.013012
2207.952357   0.014184
2208.657376   0.015646
2209.362395   0.017580
2210.067414   0.018724
2210.772433   0.021009
2211.477452   0.023854
2212.182471   0.026548
2212.887489   0.030087
2213.592508   0.033945
2214.297527   0.038717
2215.002546   0.043927
2215.707565   0.050365
2216.412584   0.057404
2217.117603   0.066096
2217.822622   0.075970
2218.527641   0.087281
2219.232660   0.099918
2219.937678   0.114270
2220.642697   0.130293
2221.347716   0.148736
2222.052735   0.168749
2222.757754   0.190764
2223.462773   0.213250
2224.167792   0.238193
2224.872811   0.263128
2225.577830   0.289592
2226.282848   0.315873
2226.987867   0.342883
2227.692886   0.368896
2228.397905   0.395042
2229.102924   0.420563
2229.807943   0.445728
2230.512962   0.469647
2231.217981   0.494329
2231.923000   0.518146
2232.628019   0.541736
2233.333037   0.564785
2234.038056   0.587673
2234.743075   0.609306
2235.448094   0.630190
2236.153113   0.648451
2236.858132   0.665383
2237.563151   0.679772
2238.268170   0.690248
2238.973189   0.699430
2239.678207   0.705043
2240.383226   0.706427
2241.088245   0.704716
2241.793264   0.700692
2242.498283   0.693894
2243.203302   0.685643
2243.908321   0.676329
2244.613340   0.665109
2245.318359   0.653834
2246.023378   0.644274
2246.728396   0.634270
2247.433415   0.626301
2248.138434   0.618612
2248.843453   0.613176
2249.548472   0.610597
2250.253491   0.611907
2250.958510   0.613930
2251.663529   0.618955
2252.368548   0.626641
2253.073566   0.638866
2253.778585   0.651324
2254.483604   0.666465
2255.188623   0.679999
2255.893642   0.693995
2256.598661   0.703953
2257.303680   0.708875
2258.008699   0.703520
2258.713718   0.686802
2259.418737   0.655946
2260.123755   0.613197
2260.828774   0.558956
2261.533793   0.499098
2262.238812   0.434049
2262.943831   0.374032
2263.648850   0.315502
2264.353869   0.264912
2265.058888   0.219253
2265.763907   0.182571
2266.468925   0.150668
2267.173944   0.125831
2267.878963   0.104821
2268.583982   0.088591
2269.289001   0.074600
2269.994020   0.063642
2270.699039   0.054264
2271.404058   0.047185
2272.109077   0.040784
2272.814096   0.035861
2273.519114   0.031530
2274.224133   0.028029
2274.929152   0.024845
2275.634171   0.022434
2276.339190   0.020167
2277.044209   0.018436
2277.749228   0.016636
2278.454247   0.015337
2279.159266   0.013993
2279.864284   0.012622
2280.569303   0.013596
2281.274322   0.006332
2284.094398   0.008218
2284.799417   0.008290
2285.504436   0.007919
2286.209455   0.007413
2286.914473   0.007150
2287.619492   0.006727
2288.324511   0.006495
2289.029530   0.006151
2289.734549   0.006027
2290.439568   0.005715
2291.144587   0.005598
2291.849606   0.005362
2292.554625   0.005166
2293.259643   0.004954
2293.964662   0.004878
2294.669681   0.004683
2295.374700   0.004605
2296.079719   0.004463
2296.784738   0.004377
2297.489757   0.004244
2298.194776   0.004171
2298.899795   0.004018
2299.604814   0.003948
2300.309832   0.003804
2301.014851   0.003722
2301.719870   0.003746
2302.424889   0.003667
2303.129908   0.003536
2303.834927   0.003545
2304.539946   0.003473
2305.244965   0.003371
2305.949984   0.003297
2306.655002   0.003259
2307.360021   0.003210
2308.065040   0.003173
2308.770059   0.003141
2309.475078   0.003075
2310.180097   0.003040
2310.885116   0.002951
2311.590135   0.002948
2312.295154   0.002891
2313.000173   0.002855
2313.705191   0.002777
2314.410210   0.002767
2315.115229   0.002757
2315.820248   0.002772
2316.525267   0.002640
2317.230286   0.002593
2317.935305   0.002536
2318.640324   0.002486
2319.345343   0.002454
2320.050361   0.002518
2320.755380   0.002460
2321.460399   0.002417
2322.165418   0.002268
2322.870437   0.002321
2323.575456   0.002279
2324.280475   0.002265
2324.985494   0.002214
2325.690513   0.002191
2326.395532   0.002154
2327.100550   0.002207
2327.805569   0.002109
2328.510588   0.002102
2329.215607   0.002057
2329.920626   0.002097
2330.625645   0.001997
2331.330664   0.002042
2332.035683   0.001967
2332.740702   0.002021
2333.445720   0.001929
2334.150739   0.001923
2334.855758   0.001861
2335.560777   0.001878
2336.265796   0.001814
2336.970815   0.001833
2337.675834   0.001757
2338.380853   0.001828
2339.085872   0.001716
2339.790891   0.001812
2340.495909   0.001697
2341.200928   0.001791
2341.905947   0.001715
2342.610966   0.001742
2343.315985   0.001666
2344.021004   0.001728
2344.726023   0.001695
2345.431042   0.001688
2346.136061   0.001600
2346.841079   0.001641
2347.546098   0.001539
2348.251117   0.001547
2348.956136   0.001543
2349.661155   0.001558
2350.366174   0.001502
2351.071193   0.001577
2351.776212   0.001496
2352.481231   0.001606
2353.186250   0.001545
2353.891268   0.001490
2354.596287   0.001482
2355.301306   0.001504
2356.006325   0.001493
2356.711344   0.001387
2357.416363   0.001395
2358.121382   0.001434
2358.826401   0.001414
2359.531420   0.001428
2360.236438   0.001349
2360.941457   0.001379
2361.646476   0.001413
2362.351495   0.001349
2363.056514   0.001336
2363.761533   0.001351
2364.466552   0.001357
2365.171571   0.001306
2365.876590   0.001340
2366.581609   0.001330
2367.286627   0.001368
2367.991646   0.001322
2368.696665   0.001276
2369.401684   0.001277
