# transmission of niri Narrow-band H continuum filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 25may2006
#H continuum 1.57  G0214
#scanned cold and tilted by 5 degrees in NIRI
1537.758988   0.005799
1538.279064   0.004490
1538.799141   0.004622
1539.319218   0.005384
1539.839295   0.005586
1540.359372   0.005817
1540.879448   0.006326
1541.399525   0.006507
1541.919602   0.005983
1542.439679   0.006818
1542.959756   0.007888
1543.479832   0.007406
1543.999909   0.006009
1544.519986   0.006288
1545.040063   0.006265
1545.560140   0.005534
1546.080216   0.006131
1546.600293   0.006242
1547.120370   0.006614
1547.640447   0.007249
1548.160523   0.007595
1548.680600   0.008018
1549.200677   0.007974
1549.720754   0.008839
1550.240831   0.008732
1550.760907   0.007327
1551.280984   0.008918
1551.801061   0.009733
1552.321138   0.010396
1552.841215   0.011728
1553.361291   0.011872
1553.881368   0.012602
1554.401445   0.014541
1554.921522   0.015884
1555.441599   0.016293
1555.961675   0.019415
1556.481752   0.021717
1557.001829   0.024691
1557.521906   0.027288
1558.041982   0.029319
1558.562059   0.034967
1559.082136   0.039614
1559.602213   0.047538
1560.122290   0.055573
1560.642366   0.067471
1561.162443   0.084167
1561.682520   0.101789
1562.202597   0.127671
1562.722674   0.156351
1563.242750   0.191815
1563.762827   0.237880
1564.282904   0.293664
1564.802981   0.354443
1565.323058   0.417595
1565.843134   0.490532
1566.363211   0.552861
1566.883288   0.614115
1567.403365   0.658564
1567.923442   0.695639
1568.443518   0.722327
1568.963595   0.737830
1569.483672   0.741317
1570.003749   0.742842
1570.523825   0.735278
1571.043902   0.732075
1571.563979   0.736218
1572.084056   0.746005
1572.604133   0.744857
1573.124209   0.749193
1573.644286   0.756915
1574.164363   0.760368
1574.684440   0.762348
1575.204517   0.766289
1575.724593   0.768409
1576.244670   0.769134
1576.764747   0.771952
1577.284824   0.773067
1577.804901   0.767652
1578.324977   0.767094
1578.845054   0.758829
1579.365131   0.755172
1579.885208   0.757619
1580.405285   0.757169
1580.925361   0.757080
1581.445438   0.764873
1581.965515   0.764309
1582.485592   0.766941
1583.005668   0.761540
1583.525745   0.749381
1584.045822   0.733398
1584.565899   0.702571
1585.085976   0.653960
1585.606052   0.596524
1586.126129   0.530466
1586.646206   0.458311
1587.166283   0.385746
1587.686360   0.320799
1588.206436   0.261969
1588.726513   0.211370
1589.246590   0.170338
1589.766667   0.137488
1590.286744   0.110580
1590.806820   0.090463
1591.326897   0.073369
1591.846974   0.061401
1592.367051   0.052436
1592.887128   0.044113
1593.407204   0.036680
1593.927281   0.032407
1594.447358   0.028982
1594.967435   0.025277
1595.487511   0.021501
1596.007588   0.017621
1596.527665   0.015495
1597.047742   0.015129
1597.567819   0.014112
1598.087895   0.013179
1598.607972   0.011567
1599.128049   0.009783
1599.648126   0.009588
1600.168203   0.009516
1600.688279   0.009366
1601.208356   0.008183
1601.728433   0.007455
1602.248510   0.006457
1602.768587   0.006006
1603.288663   0.006619
1603.808740   0.006958
1604.328817   0.005744
1604.848894   0.005773
1605.368970   0.006531
1605.889047   0.005761
1606.409124   0.005373
1606.929201   0.005852
1607.449278   0.005330
1607.969354   0.005310
1608.489431   0.004968
1609.009508   0.004715
1609.529585   0.005205
1610.049662   0.004181
1610.569738   0.003882
1611.089815   0.003736
1611.609892   0.003595
1612.129969   0.004304
1612.650046   0.004374
1613.170122   0.004570
1613.690199   0.004519
1614.210276   0.004614
1614.730353   0.004189
1615.250430   0.002794
1615.770506   0.003356
1616.290583   0.003629
1616.810660   0.003921
1617.330737   0.003277
1617.850813   0.003072
1618.370890   0.003576
1618.890967   0.003712
1619.411044   0.003057
1619.931121   0.002428
1620.451197   0.001808
1620.971274   0.001623
1621.491351   0.001388
1622.011428   0.001543
1622.531505   0.001723
1623.051581   0.002086
1623.571658   0.001543
1624.091735   0.001627
1624.611812   0.001577
1625.131889   0.001898
1625.651965   0.002079
1626.172042   0.001447
1626.692119   0.001303
1627.212196   0.001680
1627.732273   0.002051
1628.252349   0.002069
1628.772426   0.002122
1629.292503   0.001804
1629.812580   0.002150
1630.332656   0.001732
1630.852733   0.001751
1631.372810   0.002091
1631.892887   0.001674
1632.412964   0.002015
1632.933040   0.001983
1633.453117   0.001369
1633.973194   0.001400
1634.493271   0.001264
1635.013348   0.001667
1635.533424   0.001682
1636.053501   0.001572
1636.573578   0.001913
1637.093655   0.001625
