# transmission of niri Narrow-band HE I (2p2s) singlet filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 26 may 2006
#HeI (2p2s)	G0233
#scanned warm and tilted by ~5 deg
1989   0.000054
1990   0.000042
1991   0.000039
1992   0.000082
1993   0.000101
1994   0.000053
1995   0.000091
1996   0.000072
1997   0.000106
1998   0.000105
1999   0.000056
2000   0.000095
2001   0.000076
2002   0.000032
2003   0.000050
2004   0.000086
2005   0.000071
2006   0.000057
2007   0.000101
2008   0.000107
2009   0.000133
2010   0.000162
2011   0.000194
2012   0.000214
2013   0.000260
2014   0.000300
2015   0.000311
2016   0.000378
2017   0.000417
2018   0.000611
2019   0.000659
2020   0.000728
2021   0.000882
2022   0.001101
2023   0.001298
2024   0.001556
2025   0.001804
2026   0.002244
2027   0.002793
2028   0.003557
2029   0.004395
2030   0.005749
2031   0.007476
2032   0.009930
2033   0.013222
2034   0.018011
2035   0.024643
2036   0.034104
2037   0.047584
2038   0.065723
2039   0.089172
2040   0.120980
2041   0.158990
2042   0.205650
2043   0.261050
2044   0.321830
2045   0.386750
2046   0.452760
2047   0.515660
2048   0.572850
2049   0.622410
2050   0.659850
2051   0.686640
2052   0.703770
2053   0.714250
2054   0.721060
2055   0.725380
2056   0.729460
2057   0.733560
2058   0.737030
2059   0.739870
2060   0.741900
2061   0.741900
2062   0.739950
2063   0.735750
2064   0.729180
2065   0.719800
2066   0.706730
2067   0.689620
2068   0.666820
2069   0.637170
2070   0.600420
2071   0.556740
2072   0.505510
2073   0.447580
2074   0.387000
2075   0.323020
2076   0.262350
2077   0.208310
2078   0.159530
2079   0.119640
2080   0.088457
2081   0.064392
2082   0.046976
2083   0.034365
2084   0.025528
2085   0.019184
2086   0.014613
2087   0.011207
2088   0.008708
2089   0.006878
2090   0.005520
2091   0.004436
2092   0.003574
2093   0.002940
2094   0.002471
2095   0.002064
2096   0.001661
2097   0.001480
2098   0.001222
2099   0.001007
2100   0.000800
2101   0.000878
2102   0.000667
2103   0.000624
2104   0.000495
2105   0.000435
2106   0.000320
2107   0.000350
2108   0.000290
2109   0.000284
2110   0.000166
2111   0.000272
2112   0.000217
2113   0.000117
2114   0.000221
2115   0.000132
2116   0.000190
2117   0.000158
2118   0.000141
2119   0.000076
2120   0.000096
2121   0.000055
2122   0.000091
2123   0.000050
2124   0.000010
2125   0.000000
2126   0.000035
2127   0.000036
2128   0.000031
2129   0.000091
2130   0.000086
