# transmission of niri Narrow-band Pa(beta) filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 25 may 2006
#PaBeta		G0221
#scanned cold and tilted by 5 degrees in NIRI
1211.288834   0.000415
1211.648762   0.009300
1212.008690   0.007647
1212.368618   0.008540
1212.728546   0.008348
1213.088474   0.010882
1213.448402   0.008139
1213.808330   0.010924
1214.168258   0.011681
1214.528186   0.011368
1214.888115   0.015327
1215.248043   0.016601
1215.607971   0.016524
1215.967899   0.011566
1216.327827   0.010007
1216.687755   0.014846
1217.047683   0.016687
1217.407611   0.012205
1217.767539   0.011300
1218.127467   0.011425
1218.487395   0.009296
1218.847324   0.016105
1219.207252   0.014969
1219.567180   0.012897
1219.927108   0.017783
1220.646964   0.018069
1221.006892   0.011485
1221.366820   0.018968
1221.726748   0.014816
1222.086676   0.003229
1222.446605   0.004030
1222.806533   0.008464
1223.166461   0.008771
1223.526389   0.010144
1223.886317   0.006949
1224.246245   0.006421
1224.606173   0.014480
1224.966101   0.015097
1225.326029   0.019382
1225.685957   0.018715
1226.045886   0.012848
1226.405814   0.017661
1226.765742   0.020926
1227.125670   0.016774
1227.485598   0.012745
1227.845526   0.017587
1228.205454   0.018768
1228.565382   0.014608
1228.925310   0.009956
1229.285238   0.008968
1229.645166   0.015893
1230.005095   0.016607
1230.365023   0.013823
1230.724951   0.009989
1231.084879   0.009440
1231.444807   0.005544
1231.804735   0.015432
1232.164663   0.014569
1232.524591   0.008174
1232.884519   0.010263
1233.244447   0.006255
1233.604376   0.003134
1233.964304   0.008900
1234.324232   0.007420
1234.684160   0.004084
1235.044088   0.004785
1235.404016   0.012027
1235.763944   0.007033
1236.123872   0.003945
1236.483800   0.008382
1236.843728   0.007872
1237.203657   0.009341
1237.563585   0.014334
1237.923513   0.008308
1238.283441   0.010780
1238.643369   0.009710
1239.003297   0.007692
1239.363225   0.004065
1239.723153   0.006663
1240.083081   0.008323
1240.443009   0.008896
1240.802938   0.009550
1241.162866   0.011113
1241.522794   0.008477
1241.882722   0.011945
1242.242650   0.006972
1242.602578   0.005117
1242.962506   0.004775
1243.322434   0.006022
1243.682362   0.006433
1244.042290   0.005045
1244.402218   0.003495
1244.762147   0.005392
1245.122075   0.012720
1245.482003   0.016037
1245.841931   0.015711
1246.201859   0.011803
1246.561787   0.009285
1246.921715   0.010993
1247.281643   0.010475
1247.641571   0.009586
1248.001499   0.012148
1248.361428   0.015128
1248.721356   0.018235
1249.081284   0.013796
1249.441212   0.012335
1249.801140   0.015171
1250.161068   0.013891
1250.520996   0.013392
1251.960709   0.009255
1252.320637   0.020292
1252.680565   0.018097
1253.040493   0.018522
1253.400421   0.016479
1253.760349   0.016576
1254.120277   0.019514
1254.480205   0.019458
1254.840133   0.018718
1255.200061   0.020642
1255.559990   0.020191
1255.919918   0.020321
1256.279846   0.020855
1256.639774   0.021007
1256.999702   0.022311
1257.359630   0.023276
1257.719558   0.022742
1258.079486   0.023150
1258.439414   0.020284
1258.799342   0.025373
1259.159270   0.021979
1259.519199   0.022613
1259.879127   0.026697
1260.239055   0.026090
1260.598983   0.025061
1260.958911   0.026389
1261.318839   0.028382
1261.678767   0.032620
1262.038695   0.032965
1262.398623   0.035657
1262.758551   0.033845
1263.118480   0.033048
1263.478408   0.035445
1263.838336   0.036895
1264.198264   0.043368
1264.558192   0.048509
1264.918120   0.051131
1265.278048   0.055457
1265.637976   0.065260
1265.997904   0.075460
1266.357832   0.082418
1266.717761   0.089503
1267.077689   0.097046
1267.437617   0.106812
1267.797545   0.116064
1268.157473   0.132335
1268.517401   0.148784
1268.877329   0.165539
1269.237257   0.184607
1269.597185   0.203343
1269.957113   0.227463
1270.317041   0.248870
1270.676970   0.274213
1271.036898   0.298402
1271.396826   0.318192
1271.756754   0.343143
1272.116682   0.367318
1272.476610   0.395338
1272.836538   0.425922
1273.196466   0.444203
1273.556394   0.466746
1273.916322   0.495047
1274.276251   0.511504
1274.636179   0.529814
1274.996107   0.545880
1275.356035   0.559140
1275.715963   0.575782
1276.075891   0.586020
1276.435819   0.601413
1276.795747   0.611715
1277.155675   0.622643
1277.515603   0.630938
1277.875532   0.630025
1278.235460   0.635072
1278.595388   0.634496
1278.955316   0.626494
1279.315244   0.628371
1279.675172   0.623779
1280.035100   0.628773
1280.395028   0.622136
1280.754956   0.613539
1281.114884   0.613204
1281.474813   0.611553
1281.834741   0.607151
1282.194669   0.600330
1282.554597   0.605991
1282.914525   0.605035
1283.274453   0.603607
1283.634381   0.606751
1283.994309   0.604146
1284.354237   0.597213
1284.714165   0.595547
1285.074093   0.587095
1285.434022   0.588976
1285.793950   0.587676
1286.153878   0.585371
1286.513806   0.585022
1286.873734   0.573208
1287.233662   0.558894
1287.593590   0.546334
1287.953518   0.533212
1288.313446   0.516118
1288.673374   0.506057
1289.033303   0.495208
1289.393231   0.469860
1289.753159   0.441679
1290.113087   0.420851
1290.473015   0.396677
1290.832943   0.367130
1291.192871   0.337921
1291.552799   0.306755
1291.912727   0.282683
1292.272655   0.261368
1292.632584   0.234109
1292.992512   0.206143
1293.352440   0.178757
1293.712368   0.157067
1294.072296   0.141176
1294.432224   0.123616
1294.792152   0.106913
1295.152080   0.094423
1295.512008   0.087494
1295.871936   0.073359
1296.231864   0.068370
1296.591793   0.057552
1296.951721   0.054359
1297.311649   0.049583
1297.671577   0.044171
1298.031505   0.039389
1298.391433   0.036211
1298.751361   0.035197
1299.111289   0.032077
1299.471217   0.034253
1299.831145   0.031708
1300.191074   0.030134
1300.551002   0.026411
1300.910930   0.025198
1301.270858   0.025024
1301.630786   0.024318
1301.990714   0.022868
1302.350642   0.022147
1302.710570   0.022630
1303.070498   0.020830
1303.430426   0.018715
1303.790355   0.015024
1304.150283   0.013696
1304.510211   0.014629
1304.870139   0.014680
