# transmission of niri Narrow-band Pa (gamma) filter
# columns are (1) Wavelength in nm, (2) transmission
# first and last values are 0 for extrapolation purposes
# author: Brian Walls
# created: 29 Aug 1999
# replaced with scanned transmission curve: 25 may 2006
# Gemini NIRI PaGamma  G0240
1000.000000   0.001000
1010.000000   0.001000
1020.000000   0.001000
1030.000000   0.001000
1040.000000   0.001000
1050.000000   0.001000
1060.000000   0.001000
1065.000000   0.001000
1070.000000   0.001000
1075.000000   0.004000
1080.000000   0.009000
1083.000000   0.014000
1085.000000   0.021000
1086.700000   0.033000
1088.000000   0.049000
1089.300000   0.079000
1090.200000   0.102000
1090.800000   0.151000
1091.800000   0.200000
1092.400000   0.252000
1093.000000   0.300000
1093.600000   0.356000
1094.100000   0.401000
1094.600000   0.423000
1094.700000   0.448000
1095.100000   0.459000
1095.200000   0.470000
1095.600000   0.480000
1096.000000   0.488000
1097.300000   0.497000
1098.500000   0.489000
1099.700000   0.482000
1102.200000   0.476000
1103.800000   0.464000
1104.600000   0.453000
1104.900000   0.438000
1105.300000   0.425000
1106.100000   0.400000
1106.700000   0.353000
1107.400000   0.300000
1108.000000   0.249000
1108.700000   0.200000
1109.700000   0.139000
1110.400000   0.101000
1111.200000   0.079000
1111.900000   0.055000
1112.300000   0.045000
1113.000000   0.034000
1114.000000   0.024000
1115.000000   0.015000
1117.000000   0.008000
1120.000000   0.004000
1125.000000   0.001000
1130.000000   0.001000
1140.000000   0.001000
1150.000000   0.001000
1160.000000   0.001000
1170.000000   0.001000
1180.000000   0.001000
1190.000000   0.001000
1200.000000   0.001000
