# FAKE PK-50 Transmission curve for the NIRI ITC
# created from the Gemini PK50 G0201 for lambda < 3.01 microns
# and the IRTF NSFCam PK50 data for lambda > 3.30 microns
# Note data were smoothed and the gap (3.01-3.30 microns) interpolated.
# wav transmission
#
300 0
800 4.843e-01
801 4.853e-01
802 4.866e-01
803 4.880e-01
804 4.896e-01
805 4.914e-01
806 4.933e-01
807 4.953e-01
808 4.974e-01
809 4.996e-01
810 5.019e-01
811 5.043e-01
812 5.067e-01
813 5.092e-01
814 5.118e-01
815 5.144e-01
816 5.171e-01
817 5.198e-01
818 5.226e-01
819 5.254e-01
820 5.282e-01
821 5.311e-01
822 5.341e-01
823 5.370e-01
824 5.401e-01
825 5.431e-01
826 5.463e-01
827 5.494e-01
828 5.526e-01
829 5.559e-01
830 5.592e-01
831 5.625e-01
832 5.659e-01
833 5.693e-01
834 5.728e-01
835 5.764e-01
836 5.800e-01
837 5.836e-01
838 5.873e-01
839 5.910e-01
840 5.948e-01
841 5.986e-01
842 6.024e-01
843 6.063e-01
844 6.103e-01
845 6.142e-01
846 6.182e-01
847 6.223e-01
848 6.263e-01
849 6.304e-01
850 6.345e-01
851 6.386e-01
852 6.428e-01
853 6.470e-01
854 6.512e-01
855 6.554e-01
856 6.597e-01
857 6.639e-01
858 6.682e-01
859 6.725e-01
860 6.768e-01
861 6.811e-01
862 6.854e-01
863 6.898e-01
864 6.941e-01
865 6.985e-01
866 7.028e-01
867 7.072e-01
868 7.116e-01
869 7.160e-01
870 7.204e-01
871 7.248e-01
872 7.292e-01
873 7.336e-01
874 7.380e-01
875 7.424e-01
876 7.468e-01
877 7.512e-01
878 7.555e-01
879 7.599e-01
880 7.642e-01
881 7.685e-01
882 7.728e-01
883 7.771e-01
884 7.813e-01
885 7.855e-01
886 7.897e-01
887 7.939e-01
888 7.981e-01
889 8.022e-01
890 8.063e-01
891 8.103e-01
892 8.144e-01
893 8.184e-01
894 8.224e-01
895 8.263e-01
896 8.302e-01
897 8.341e-01
898 8.380e-01
899 8.418e-01
900 8.456e-01
901 8.494e-01
902 8.531e-01
903 8.568e-01
904 8.604e-01
905 8.640e-01
906 8.676e-01
907 8.711e-01
908 8.745e-01
909 8.779e-01
910 8.813e-01
911 8.846e-01
912 8.878e-01
913 8.910e-01
914 8.942e-01
915 8.972e-01
916 9.002e-01
917 9.032e-01
918 9.061e-01
919 9.089e-01
920 9.117e-01
921 9.144e-01
922 9.170e-01
923 9.197e-01
924 9.222e-01
925 9.247e-01
926 9.272e-01
927 9.296e-01
928 9.319e-01
929 9.342e-01
930 9.365e-01
931 9.387e-01
932 9.408e-01
933 9.430e-01
934 9.450e-01
935 9.470e-01
936 9.489e-01
937 9.508e-01
938 9.526e-01
939 9.544e-01
940 9.561e-01
941 9.577e-01
942 9.593e-01
943 9.608e-01
944 9.623e-01
945 9.636e-01
946 9.650e-01
947 9.663e-01
948 9.675e-01
949 9.687e-01
950 9.698e-01
951 9.709e-01
952 9.719e-01
953 9.728e-01
954 9.737e-01
955 9.746e-01
956 9.754e-01
957 9.762e-01
958 9.770e-01
959 9.777e-01
960 9.783e-01
961 9.790e-01
962 9.796e-01
963 9.802e-01
964 9.807e-01
965 9.813e-01
966 9.818e-01
967 9.822e-01
968 9.827e-01
969 9.831e-01
970 9.835e-01
971 9.839e-01
972 9.842e-01
973 9.845e-01
974 9.847e-01
975 9.849e-01
976 9.851e-01
