# wavelength F(lambda)/F(550nm)
# [nm]
80 2.43112
80.25 2.52596
80.5 1.68158
80.75 1.38341
81 1.77137
81.25 1.81287
81.5 1.61608
81.75 2.24126
82 1.96439
82.25 2.05441
82.5 1.97984
82.75 1.46632
83 1.13201
83.25 0.847537
83.5 1.82696
83.75 2.39727
84 2.17542
84.25 2.52746
84.5 2.609
84.75 2.80982
85 2.26583
85.25 2.64821
85.5 3.43646
85.75 3.00954
86 2.68177
86.25 2.77675
86.5 3.36782
86.75 2.91079
87 3.49672
87.25 3.75452
87.5 3.96247
87.75 4.28456
88 4.44962
88.25 4.19401
88.5 4.6468
88.75 4.21235
89 4.15102
89.25 4.07266
89.5 4.61974
89.75 4.48845
90 4.88833
90.25 5.66987
90.5 5.70533
90.75 5.75857
91 6.31708
91.25 6.20628
91.5 6.81425
91.75 7.21709
92 6.77108
92.25 7.1895
92.5 7.46537
92.75 7.24636
93 7.46592
93.25 8.29881
93.5 8.29074
93.75 7.03596
94 8.73146
94.25 8.8154
94.5 8.91043
94.75 8.57481
95 9.38044
95.25 9.24046
95.5 8.88962
95.75 8.77051
96 7.99602
96.25 8.82943
96.5 8.11774
96.75 8.60758
97 8.67658
97.25 9.34802
97.5 9.86395
97.75 10.3088
98 9.85019
98.25 9.89636
98.5 9.7952
98.75 9.94259
99 10.2901
99.25 10.1676
99.5 10.0388
99.75 9.84268
100 9.47738
100.25 9.69046
100.5 10.0564
100.75 10.0213
101 10.4241
101.25 9.7047
101.5 10.0113
101.75 10.0978
102 9.55122
102.25 10.2941
102.5 10.3796
102.75 11.956
103 12.3444
103.25 13.0232
103.5 13.3926
103.75 12.9585
104 12.2418
104.25 11.84
104.5 10.8041
104.75 10.519
105 10.415
105.25 9.60996
105.5 9.59831
105.75 9.76006
106 10.4026
106.25 10.3689
106.5 9.5901
106.75 9.78252
107 9.55556
107.25 9.31553
107.5 9.57802
107.75 9.68708
108 9.85447
108.25 10.2288
108.5 10.2815
108.75 10.0346
109 9.99714
109.25 9.88696
109.5 9.46058
109.75 9.40441
110 8.98944
110.25 9.275
110.5 8.96611
110.75 9.41627
111 9.23608
111.25 9.21831
111.5 9.34075
111.75 9.89606
112 10.0458
112.25 10.0526
112.5 10.0008
112.75 9.95616
113 9.9281
113.25 9.96462
113.5 9.51609
113.75 9.76503
114 9.53814
114.25 9.49442
114.5 9.33558
114.75 8.75771
115 8.67925
115.25 9.01056
115.5 9.23021
115.75 9.7685
116 9.58054
116.25 9.60236
116.5 10.1552
116.75 10.2278
117 10.1542
117.25 10.7181
117.5 10.6466
117.75 11.0167
118 10.9784
118.25 11.4353
118.5 11.4773
118.75 12.0266
119 12.4905
119.25 13.2499
119.5 13.501
119.75 14.4122
120 15.0385
120.25 16.29
120.5 17.6387
120.75 19.3586
121 21.7213
121.25 23.5323
121.5 25.1772
121.75 26.9131
122 26.1045
122.25 24.6211
122.5 21.2349
122.75 21.1538
123 20.3248
123.25 20.7846
123.5 20.7752
123.75 20.8951
124 20.725
124.25 20.1411
124.5 18.6938
124.75 17.5327
125 16.3595
125.25 15.4211
125.5 14.6279
125.75 14.0941
126 13.9208
126.25 13.7251
126.5 13.4351
126.75 13.1427
127 12.7538
127.25 12.4927
127.5 11.8461
127.75 11.5322
128 11.421
128.25 11.1841
128.5 10.9506
128.75 10.9065
129 11.0004
129.25 11.0563
129.5 11.3047
129.75 11.2687
130 11.3461
130.25 11.4629
130.5 11.8519
130.75 11.7605
131 11.6694
131.25 11.5073
131.5 11.3509
131.75 10.9127
132 10.8023
132.25 10.5968
132.5 10.517
132.75 10.5649
133 10.8399
133.25 10.9563
133.5 11.0804
133.75 11.1457
134 11.1141
134.25 10.913
134.5 10.9442
134.75 10.7356
135 10.6437
135.25 10.5808
135.5 10.486
135.75 10.6428
136 10.5859
136.25 10.5151
136.5 10.499
136.75 10.6237
137 10.7488
137.25 10.8738
137.5 10.8074
137.75 10.9062
138 11.1199
138.25 11.2506
138.5 11.5543
138.75 11.725
139 12.0814
139.25 12.2246
139.5 12.4614
139.75 12.6617
140 12.6637
140.25 12.4854
140.5 12.3618
140.75 11.9741
141 11.5489
141.25 11.3026
141.5 10.998
141.75 10.6972
142 10.549
142.25 10.2924
142.5 10.2676
142.75 10.1463
143 10.0436
143.25 9.998
143.5 9.89945
143.75 9.90578
144 9.74967
144.25 9.73108
144.5 9.64799
144.75 9.67445
145 9.59667
145.25 9.6675
145.5 9.64052
145.75 9.65493
146 9.63413
146.25 9.60523
146.5 9.64352
146.75 9.5703
147 9.57844
147.25 9.62013
147.5 9.60392
147.75 9.52968
148 9.60242
148.25 9.71874
148.5 9.76638
148.75 9.80814
149 9.94947
149.25 9.86785
149.5 9.9585
149.75 10.1511
150 10.2061
150.25 10.1806
150.5 10.3166
150.75 10.4117
151 10.4502
151.25 10.6786
151.5 10.7584
151.75 11.0871
152 11.1626
152.25 11.5816
152.5 11.7855
152.75 12.1927
153 12.5504
153.25 12.957
153.5 13.3451
153.75 14.0836
