# near-IR sky background 0.9-5.6um
# 1.0mm H2O, sec z = 1.5, middle of night (low OH)
#  
# Modification of original spectrum from Tom Geballe
# 22Aug00 - converted to units of nm from um : Phil Puxley
#
#  Wavelength    Flux density
#  (nm)  (ph/sec/nm/arcsec2/m2)

   900.0      4.27077
   900.5      4.98008
   901.0      3.99503
   901.5       3.1373
   902.0      3.11812
   902.5      3.12799
   903.0      3.16703
   903.5      3.43689
   904.0      3.69158
   904.5      3.75236
   905.0      3.99835
   905.5      3.84328
   906.0      3.39236
   906.5      3.18804
   907.0      3.10797
   907.5      3.08157
   908.0       3.1154
   908.5      3.12169
   909.0      3.21199
   909.5      3.31022
   910.0      3.35356
   910.5      3.40808
   911.0      3.28628
   911.5      3.18083
   912.0      3.14324
   912.5      3.14822
   913.0      3.11064
   913.5       3.0471
   914.0      3.07913
   914.5      3.16699
   915.0       3.1735
   915.5      3.09141
   916.0       3.1217
   916.5      3.22957
   917.0      3.19099
   917.5      3.08587
   918.0      3.08596
   918.5       3.1373
   919.0       3.1672
   919.5      3.16943
   920.0      3.17818
   920.5      3.20469
   921.0       3.1981
   921.5      3.18216
   922.0      3.18356
   922.5      3.20406
   923.0      3.20179
   923.5      3.18257
   924.0      3.16569
   924.5      3.15676
   925.0      3.15359
   925.5       3.1648
   926.0      3.16736
   926.5      3.16711
   927.0      3.17444
   927.5      3.14054
   928.0      3.07643
   928.5      3.05282
   929.0      3.04888
   929.5      3.00482
   930.0      3.02366
   930.5      4.46094
   931.0      7.27395
   931.5       8.2236
   932.0      5.96185
   932.5      6.45419
   933.0      4.78306
   933.5      3.22543
   934.0       3.3143
   934.5      2.62139
   935.0      2.41091
   935.5      2.40992
   936.0      2.30623
   936.5      2.45318
   937.0      3.28704
   937.5      6.85168
   938.0      9.34152
   938.5      6.84381
   939.0      5.49044
   939.5      4.41827
   940.0      3.60102
   940.5      4.03214
   941.0      3.35117
   941.5      3.25756
   942.0      4.27082
   942.5      4.28035
   943.0      2.90561
   943.5      4.15691
   944.0      6.39123
   944.5      5.35439
   945.0       3.9006
   945.5      3.62078
   946.0      4.33586
   946.5      3.64891
   947.0      3.03086
   947.5      5.98932
   948.0        8.834
   948.5      5.12222
   949.0      2.79154
   949.5      2.62818
   950.0      3.22512
   950.5      4.16754
   951.0      3.81134
   951.5      4.47126
   952.0      6.17097
   952.5      5.42061
   953.0      3.44136
   953.5      2.78276
   954.0      2.74629
   954.5      2.64742
   955.0      3.26345
   955.5      3.85064
   956.0      3.28008
   956.5      4.02104
   957.0      5.12332
   957.5      4.18157
   958.0      2.82998
   958.5       2.7241
   959.0      2.65741
   959.5      2.63578
   960.0      2.76096
   960.5      3.10818
   961.0      3.42817
   961.5      3.32163
   962.0      3.58724
   962.5       3.8679
   963.0      3.34009
   963.5       2.8836
   964.0      2.79453
   964.5      2.78129
   965.0      2.85949
   965.5      3.03425
   966.0      3.12705
   966.5      3.37281
   967.0      3.86974
   967.5      3.85728
   968.0      4.54946
   968.5      5.38184
   969.0      4.67576
   969.5      5.07036
   970.0      6.63312
   970.5      5.67415
   971.0        4.552
   971.5      5.89469
   972.0      7.56925
   972.5      6.77684
   973.0      4.21477
   973.5      3.82357
   974.0      4.72587
   974.5      3.97856
   975.0      3.09224
   975.5      2.94008
   976.0      2.88109
   976.5      2.90309
   977.0      2.95118
   977.5      2.96813
   978.0      2.94217
   978.5      4.41355
   979.0      12.1606
   979.5       18.135
   980.0      13.1736
   980.5      6.70001
   981.0      5.01185
   981.5      4.60899
   982.0      3.75731
   982.5      3.20469
   983.0      3.38143
   983.5      3.20069
   984.0      3.00375
   984.5      4.31406
   985.0      5.95215
   985.5      4.79362
   986.0      3.21479
   986.5      3.12243
   987.0      8.16632
   987.5       13.291
   988.0      8.02375
   988.5      3.04813
   989.0      3.94965
   989.5      5.89337
   990.0      5.82477
   990.5      3.88167
   991.0      5.80824
   991.5      11.2773
   992.0      10.8446
   992.5      5.39746
   993.0      2.95539
   993.5      3.06314
   994.0      5.86481
   994.5      12.6234
   995.0      14.2854
   995.5      10.7633
   996.0      12.9412
   996.5      12.8893
   997.0      7.09771
   997.5      4.59734
   998.0      3.79955
   998.5      2.99368
   999.0      2.93951
   999.5      3.24998
  1000.0        4.009
  1000.5      4.20177
  1001.0     10.05155
  1001.5      17.2652
  1002.0      11.7916
  1002.5      6.79442
  1003.0      6.80622
  1003.5      4.49664
  1004.0      3.76267
  1004.5      4.56384
  1005.0      3.89772
  1005.5      3.50431
  1006.0      4.82621
  1006.5      5.77143
  1007.0      5.12446
  1007.5      4.24308
  1008.0       7.0008
  1008.5     10.45143
  1009.0      6.73606
  1009.5      3.12712
  1010.0      4.31775
  1010.5      5.82088
  1011.0      4.72368
  1011.5      3.17854
  1012.0      6.11502
  1012.5      10.8358
  1013.0      8.90623
  1013.5      4.49015
  1014.0      3.12339
  1014.5      3.30332
  1015.0      5.00187
  1015.5      7.26478
  1016.0      7.04075
  1016.5      5.48996
  1017.0     10.55406
  1017.5      16.3382
  1018.0      10.7738
  1018.5      8.58769
  1019.0      13.2449
  1019.5      12.0749
  1020.0      8.13531
  1020.5      9.44178
  1021.0      15.7105
  1021.5      18.4008
  1022.0      9.84477
  1022.5      5.96822
  1023.0      9.98507
  1023.5      9.34689
  1024.0      4.89145
  1024.5      2.84013
  1025.0      2.83916
  1025.5      2.83717
  1026.0      2.83762
  1026.5      2.90372
  1027.0      3.38248
  1027.5      3.74906
  1028.0      5.39742
  1028.5       27.429
  1029.0      48.3068
  1029.5      32.3474
  1030.0      16.7671
  1030.5     10.28842
  1031.0      6.79914
  1031.5      6.28342
  1032.0      3.90012
  1032.5      3.60037
  1033.0      4.17181
  1033.5      3.52899
  1034.0      3.17494
  1034.5      7.42971
  1035.0      12.0097
  1035.5      7.97719
  1036.0      3.48487
  1036.5       2.9528
  1037.0      15.8691
  1037.5      30.7878
  1038.0      18.0563
  1038.5      3.88459
  1039.0      3.12607
  1039.5      8.40969
  1040.0      13.3186
  1040.5      7.75236
  1041.0      2.82558
  1041.5       15.371
  1042.0      31.1161
  1042.5      20.3436
  1043.0      5.37731
  1043.5      2.92257
  1044.0      2.79712
  1044.5      3.79741
  1045.0      7.91867
  1045.5     10.04691
  1046.0      5.78824
  1046.5      9.56264
  1047.0      19.8609
  1047.5      15.8513
  1048.0      5.79941
  1048.5      2.75288
  1049.0       2.7504
  1049.5       2.7619
  1050.0      2.78003
  1050.5       4.1899
  1051.0      6.48877
  1051.5      5.82399
  1052.0      5.69392
  1052.5      9.75647
  1053.0     10.20914
  1053.5      5.31035
  1054.0      2.73271
  1054.5      2.73098
  1055.0      2.72922
  1055.5      2.72744
  1056.0      2.72564
  1056.5      2.73042
  1057.0      3.56315
  1057.5      4.47765
  1058.0      3.92159
  1058.5       4.7888
  1059.0      5.96214
  1059.5      4.15136
  1060.0      2.72442
  1060.5      2.72071
  1061.0      2.71145
  1061.5       2.7056
  1062.0      2.70355
  1062.5      2.70136
  1063.0       2.6994
  1063.5      2.74563
  1064.0      3.01059
  1064.5      3.19554
  1065.0      3.37609
  1065.5       3.6515
  1066.0      3.18269
  1066.5      2.70764
  1067.0      2.68422
  1067.5      2.68086
  1068.0      2.79717
  1068.5      3.55926
  1069.0      4.51353
  1069.5      6.01252
  1070.0      7.76145
  1070.5      7.33473
  1071.0      9.91365
  1071.5      12.9712
  1072.0      9.85477
  1072.5      13.9541
  1073.0       21.498
  1073.5      14.9486
  1074.0      8.52258
  1074.5       11.534
  1075.0      20.0709
  1075.5       25.179
  1076.0      12.5728
  1076.5      2.72641
  1077.0      6.70545
  1077.5      10.8766
  1078.0      6.81107
  1078.5      2.76666
  1079.0      2.65227
  1079.5      2.66128
  1080.0      2.66074
  1080.5      2.66198
  1081.0      2.64297
  1081.5      2.62495
  1082.0      2.62722
  1082.5      6.72048
  1083.0      39.1501
  1083.5      65.4825
  1084.0      43.5472
  1084.5       25.051
  1085.0      13.5363
  1085.5      7.17073
  1086.0     10.05644
  1086.5      6.03552
  1087.0      2.85903
  1087.5      3.99834
  1088.0      4.80551
  1088.5      3.57592
  1089.0      3.70002
  1089.5     10.11952
  1090.0        14.81
  1090.5      8.24564
  1091.0      2.80837
  1091.5      2.59563
  1092.0      19.4508
  1092.5      40.9108
  1093.0      28.0136
  1093.5      6.90268
