# mid-IR sky background 5.0 - 30.0 microns                
# 5.0mm H2O, sec z = 1.5                                  
#                                                         
# 05Sept2001 - R. S. Fisher                               
#                                                         
#Wavelength    Flux density                               
#(nm)          (ph/sec/nm/arcsec2/m2)                     

5000     347839.2
5001     358084.1
5002     624506.8
5003     692390.0
5004     444261.4
5005     245152.7
5006     181053.2
5007     159252.6
5008     159724.3
5009     166372.3
5010     172544.1
5011     191136.6
5012     214040.4
5013     247380.2
5014     304923.0
5015     408468.7
5016     597834.6
5017     729137.8
5018     736929.0
5019     738495.7
5020     739499.8
5021     739509.1
5022     706894.8
5023     586939.6
5024     468954.0
5025     421031.1
5026     417975.8
5027     509669.4
5028     683955.7
5029     746326.7
5030     723899.5
5031     585254.8
5032     528135.5
5033     304268.0
5034     226674.1
5035     236483.0
5036     173499.2
5037     142484.3
5038     148597.1
5039     258385.5
5040     148842.2
5041     114985.4
5042     132401.1
5043     194410.4
5044     128034.3
5045     135961.7
5046     126259.7
5047     146593.0
5048     223047.7
5049     246123.7
5050     105525.7
5051     98053.4
5052     98605.0
5053     104479.8
5054     100677.7
5055     105153.0
5056     158556.3
5057     181139.0
5058     143504.2
5059     259940.8
5060     631911.8
5061     417263.1
5062     182412.2
5063     135229.6
5064     119979.6
5065     116229.4
5066     115391.6
5067     120378.0
5068     123148.5
5069     128259.1
5070     132931.4
5071     141444.0
5072     150118.8
5073     160835.0
5074     177958.5
5075     214604.3
5076     252989.2
5077     300281.0
5078     372197.8
5079     455384.0
5080     606639.9
5081     755257.9
5082     797051.7
5083     799370.7
5084     798473.7
5085     799413.3
5086     800500.0
5087     735746.6
5088     553702.2
5089     402043.6
5090     314553.4
5091     269794.5
5092     240434.8
5093     222950.7
5094     210728.9
5095     218515.2
5096     261025.2
5097     413319.4
5098     647183.7
5099     801128.4
5100     642170.8
5101     365701.5
5102     255922.8
5103     327713.1
5104     195819.2
5105     185680.2
5106     177369.3
5107     219248.5
5108     500380.8
5109     364482.1
5110     445488.8
5111     508228.2
5112     738540.8
5113     595591.4
5114     716938.9
5115     825173.1
5116     746764.3
5117     482846.6
5118     318160.6
5119     239902.3
5120     208121.7
5121     193545.1
5122     200463.8
5123     193687.3
5124     218748.6
5125     467763.9
5126     315258.3
5127     256286.2
5128     356443.9
5129     315580.1
5130     600315.0
5131     403888.9
5132     326754.0
5133     366471.1
5134     441334.3
5135     564648.7
5136     734458.6
5137     842916.3
5138     853670.3
5139     853315.2
5140     855579.4
5141     855115.1
5142     822986.4
5143     783095.0
5144     806080.1
5145     845616.5
5146     861113.2
5147     862998.0
5148     864000.0
5149     865000.0
5150     865860.3
5151     853173.5
5152     774232.6
5153     671536.2
5154     633335.3
5155     491511.2
5156     454224.6
5157     535702.7
5158     437438.3
5159     336970.4
5160     401367.1
5161     320114.8
5162     524237.1
5163     365709.7
5164     263897.2
5165     243000.0
5166     244610.1
5167     293554.7
5168     275755.9
5169     301705.4
5170     358492.6
5171     499793.0
5172     765352.1
5173     880317.1
5174     815867.4
5175     709136.7
5176     538046.4
5177     284254.7
5178     249746.6
5179     261538.7
5180     248992.0
5181     238718.4
5182     247204.7
5183     280187.5
5184     263071.3
5185     270816.5
5186     296658.4
5187     455556.1
5188     362631.0
5189     363114.3
5190     513091.5
5191     488285.7
5192     491413.9
5193     527322.8
5194     642528.8
5195     765673.3
5196     813203.2
5197     878742.8
5198     912639.3
5199     916579.7
5200     917700.0
5201     918700.0
5202     919798.3
5203     920136.3
5204     906407.9
5205     864327.7
5206     845143.8
5207     827447.4
5208     868457.4
5209     904898.0
5210     922588.7
5211     928416.6
5212     930290.8
5213     931400.0
5214     932500.0
5215     933499.7
5216     934389.2
5217     929869.0
5218     900671.1
5219     843733.0
5220     804019.3
5221     770893.8
5222     682875.2
5223     743241.8
5224     671331.6
5225     741038.4
5226     552573.4
5227     534881.9
5228     623105.0
5229     700105.1
5230     674634.0
5231     738248.3
5232     803697.6
5233     911887.7
5234     949140.6
5235     954860.6
5236     955898.8
5237     956397.1
5238     947457.1
5239     939818.3
5240     956289.5
5241     961263.3
5242     960586.1
5243     915654.1
5244     787625.8
5245     709449.5
5246     622777.1
5247     570781.3
5248     575785.3
5249     726290.4
5250     928016.4
5251     970941.3
5252     924919.6
5253     730846.8
5254     540878.8
5255     484543.2
5256     631219.7
5257     509352.5
5258     780513.3
5259     579607.7
5260     370266.6
5261     367637.1
5262     367044.7
5263     342346.2
5264     351359.5
5265     392335.5
5266     415939.1
5267     443252.7
5268     454065.3
5269     615707.9
5270     758127.9
5271     668438.5
5272     713104.6
5273     836808.7
