# mid-IR sky background 5.0 - 30.0 microns        
# 5.0mm H2O, sec z = 2.0                          
#                                                 
# 05Sept2001 - R. S. Fisher                       
#                                                 
#Wavelength    Flux density                       
#(nm)          (ph/sec/nm/arcsec2/m2)

5000     416934.1
5001     427873.7
5002     658021.0
5003     705486.8
5004     509301.0
5005     305979.7
5006     230867.2
5007     204376.1
5008     204971.8
5009     213120.4
5010     220674.5
5011     243179.2
5012     270588.6
5013     309685.2
5014     374899.6
5015     483896.7
5016     647874.1
5017     733294.1
5018     737500.7
5019     738499.5
5020     739500.0
5021     740158.8
5022     726031.5
5023     646970.9
5024     545620.3
5025     499396.0
5026     496307.4
5027     581797.2
5028     713018.2
5029     747342.9
5030     736796.1
5031     646058.5
5032     592158.2
5033     373226.5
5034     285810.8
5035     294425.6
5036     220927.5
5037     183976.2
5038     190989.2
5039     318486.3
5040     190795.0
5041     149567.8
5042     170484.3
5043     244599.9
5044     165679.4
5045     175396.8
5046     163358.5
5047     188104.1
5048     268471.1
5049     291130.6
5050     137466.7
5051     128162.5
5052     128864.9
5053     136326.1
5054     131528.4
5055     137218.4
5056     201431.3
5057     228712.7
5058     185286.6
5059     318851.3
5060     669214.3
5061     477319.2
5062     232771.7
5063     175077.1
5064     156018.8
5065     151294.3
5066     150236.9
5067     156511.9
5068     160013.6
5069     166436.4
5070     172322.6
5071     182947.6
5072     193764.7
5073     207049.1
5074     228094.4
5075     272183.7
5076     317869.1
5077     372476.8
5078     451906.0
5079     537979.1
5080     674863.3
5081     777943.4
5082     798034.9
5083     799396.5
5084     799993.8
5085     800976.6
5086     801669.1
5087     767490.1
5088     630702.7
5089     483971.9
5090     389118.1
5091     338020.7
5092     303583.0
5093     282740.0
5094     268182.8
5095     277554.4
5096     327329.1
5097     494375.5
5098     701134.8
5099     808073.0
5100     698485.4
5101     443351.6
5102     321361.1
5103     398278.6
5104     249339.8
5105     237744.1
5106     227677.0
5107     276139.7
5108     560865.0
5109     435715.5
5110     521080.1
5111     580891.5
5112     771444.0
5113     672386.4
5114     763362.2
5115     828350.3
5116     781704.8
5117     564551.0
5118     393742.0
5119     303477.3
5120     265450.9
5121     247750.5
5122     256127.2
5123     247955.2
5124     277075.2
5125     532010.3
5126     381915.4
5127     322147.7
5128     433099.8
5129     388793.9
5130     661358.1
5131     480691.9
5132     404897.4
5133     449201.1
5134     529204.5
5135     649531.3
5136     785803.8
5137     849006.2
5138     853781.4
5139     854675.6
5140     855858.8
5141     856419.5
5142     844424.4
5143     824970.4
5144     838052.3
5145     856264.5
5146     861760.1
5147     862999.9
5148     864000.0
5149     865000.0
5150     865968.8
5151     862161.6
5152     820822.6
5153     747171.4
5154     710233.9
5155     582373.9
5156     544021.2
5157     617548.9
5158     524888.0
5159     416540.9
5160     478797.7
5161     395541.8
5162     605251.5
5163     442450.6
5164     332956.7
5165     308244.4
5166     310109.8
5167     365165.8
5168     346557.4
5169     377145.0
5170     441275.8
5171     588619.3
5172     812154.1
5173     885945.2
5174     854951.8
5175     775108.9
5176     608633.9
5177     356569.3
5178     316646.0
5179     330635.3
5180     315710.4
5181     303509.1
5182     313668.5
5183     352324.3
5184     332614.1
5185     341884.2
5186     371528.1
5187     538213.4
5188     445855.0
5189     447892.1
5190     601096.2
5191     580865.1
5192     586060.2
5193     623016.8
5194     727821.3
5195     829883.6
5196     864392.3
5197     900961.7
5198     914914.3
5199     916597.9
5200     917700.0
5201     918700.0
5202     919799.9
5203     920689.1
5204     917071.0
5205     899059.7
5206     888582.5
5207     878751.2
5208     902228.6
5209     919662.9
5210     927082.2
5211     929179.0
5212     930299.6
5213     931400.0
5214     932500.0
5215     933500.0
5216     934575.2
5217     934285.1
5218     923691.8
5219     893237.0
5220     866860.0
5221     840556.3
5222     770435.3
5223     812985.6
5224     756807.6
5225     809171.8
5226     651290.1
5227     634685.3
5228     712314.1
5229     779324.9
5230     764670.3
5231     820659.6
5232     869916.2
5233     936412.5
5234     952636.0
5235     954894.8
5236     955899.9
5237     956902.0
5238     955436.3
5239     953780.1
5240     959322.7
5241     961294.9
5242     961901.1
5243     942745.2
5244     861561.4
5245     798553.1
5246     722066.9
5247     672349.0
5248     677480.1
5249     809353.5
5250     949657.2
5251     971756.4
5252     948964.2
5253     815896.4
5254     641245.5
5255     582829.9
5256     719420.7
5257     606901.3
5258     840794.2
5259     663205.2
5260     459391.7
5261     456020.6
5262     455241.7
5263     427860.5
5264     438269.3
5265     484604.1
5266     510881.5
5267     541106.4
5268     552765.7
5269     713722.5
5270     834670.8
5271     764987.9
5272     808725.1
5273     907252.8
5274     978778.5
5275     997543.8
5276     999398.7
5277     1000999.4
5278     1001542.8
5279     990700.2
5280     974842.0
5281     950411.1
5282     870925.4
5283     880026.4
5284     934187.9
5285     900898.8
5286     940048.6
5287     980749.4
5288     1003919.7
5289     1013126.1
5290     1014987.9
5291     1016000.0
5292     1017000.0
5293     1018000.0
5294     1018999.4
5295     1019810.7
5296     1017960.5
5297     1000689.5
5298     964636.4
5299     917480.6
5300     874390.0
5301     848890.5
5302     870886.6
5303     969553.5
5304     1014776.6
5305     1030940.4
5306     1032973.8
5307     1032529.4
5308     992960.6
5309     870399.5
5310     749466.9
5311     670160.8
5312     615123.3
5313     579752.7
5314     554568.0
5315     538130.6
5316     560134.2
5317     545390.7
5318     568259.4
5319     750852.9
5320     986563.5
5321     946465.5
5322     737589.7
5323     564987.1
5324     558927.1
5325     631114.1
5326     640373.4
5327     645718.7
5328     857596.8
5329     968779.1
5330     739115.7
5331     684782.1
5332     697620.4
5333     721124.3
5334     749422.0
5335     783480.0
5336     822055.2
5337     863614.7
5338     905593.7
5339     948173.0
5340     989288.1
5341     1024626.0
5342     1051660.6
5343     1069032.5
5344     1075359.1
5345     1076992.7
5346     1078000.0
5347     1079000.0
5348     1080000.0
5349     1081000.0
5350     1083000.0
5351     1084000.0
5352     1085000.0
5353     1086000.0
5354     1087000.0
5355     1088000.0
5356     1090000.0
5357     1091000.0
5358     1092000.0
5359     1092999.0
5360     1093763.9
5361     1090985.8
5362     1077423.2
5363     1061001.7
5364     1079384.8
5365     1021723.3
5366     943201.4
5367     917232.1
5368     963165.0
5369     887144.8
5370     902282.5
5371     992095.6
5372     1078326.4
5373     1007984.3
5374     1006254.6
5375     861940.1
5376     972918.9
5377     1099625.9
5378     1018310.4
5379     1041090.5
5380     1111281.5
5381     1117742.2
5382     1069048.8
5383     951656.1
5384     833677.4
5385     793883.5
5386     850046.4
5387     1060778.7
5388     914343.0
5389     762176.1
5390     737086.8
5391     735868.4
5392     771275.3
5393     960867.8
5394     939547.4
5395     827166.4
5396     857827.7
5397     955512.1
5398     1110609.9
5399     1095653.9
5400     976553.4
5401     938582.4
5402     949352.9
5403     973898.6
5404     1005275.8
5405     1040093.2
5406     1078904.1
5407     1113623.0
5408     1136275.3
5409     1149702.2
5410     1152911.1
5411     1153999.5
5412     1155000.0
5413     1156000.0
5414     1157000.0
5415     1159000.0
5416     1160000.0
5417     1161000.0
5418     1162000.0
5419     1163000.0
5420     1165000.0
5421     1166000.0
5422     1167000.0
5423     1168000.0
5424     1169000.0
5425     1171000.0
5426     1172000.0
5427     1173000.0
5428     1174000.0
5429     1174991.5
5430     1175645.1
5431     1175800.4
5432     1172659.1
5433     1167832.7
5434     1165776.3
5435     1153829.3
5436     1159474.4
5437     1179409.5
5438     1165998.1
5439     1173453.6
5440     1183428.2
5441     1189029.9
5442     1190988.3
5443     1192000.0
5444     1192996.4
5445     1194543.4
5446     1193794.1
5447     1194994.5
5448     1179179.1
5449     1178361.9
5450     1199114.3
5451     1195247.2
5452     1185974.7
5453     1183913.1
5454     1197358.3
5455     1205802.2
5456     1205104.2
5457     1207722.2
5458     1209786.0
5459     1210991.6
5460     1213000.0
