# mid-IR sky background 5.0 - 30.0 microns
# 1.0mm H2O, sec z = 1.0
#  
# 05Sept2001 - R. S. Fisher
#
#Wavelength    Flux density
#(nm)          (ph/sec/nm/arcsec2/m2)

5000   80637.4
5001   86942.7
5002   318545.9
5003   483892.1
5004   127486.3
5005   57603.9
5006   45330.7
5007   41015.9
5008   41184.5
5009   42609.4
5010   43660.8
5011   46998.0
5012   51538.4
5013   58146.0
5014   70803.0
5015   98618.2
5016   222768.6
5017   539191.5
5018   604444.8
5019   727725.5
5020   730333.0
5021   649056.1
5022   337419.0
5023   173235.0
5024   116547.9
5025   100437.1
5026   99795.7
5027   135615.3
5028   318905.4
5029   672593.2
5030   459152.9
5031   176347.4
5032   145736.4
5033   71136.7
5034   53339.5
5035   55928.5
5036   43404.4
5037   37549.4
5038   38611.4
5039   60356.8
5040   38477.9
5041   32639.8
5042   35792.3
5043   46617.3
5044   34716.0
5045   36197.3
5046   34804.0
5047   38850.3
5048   64500.3
5049   73699.0
5050   31422.0
5051   29634.1
5052   29503.4
5053   30544.9
5054   30265.2
5055   30931.5
5056   40308.1
5057   44207.1
5058   37054.7
5059   66098.9
5060   317509.5
5061   140465.7
5062   43891.4
5063   36784.1
5064   32892.6
5065   32250.5
5066   32197.5
5067   34809.1
5068   33895.1
5069   34173.7
5070   35004.7
5071   38322.5
5072   39091.9
5073   39772.5
5074   42892.4
5075   51347.9
5076   59994.3
5077   67441.9
5078   84450.6
5079   108596.1
5080   175856.8
5081   345086.8
5082   676913.1
5083   773529.9
5084   553707.6
5085   570908.6
5086   711881.6
5087   329969.9
5088   150280.9
5089   94112.6
5090   70176.5
5091   60254.3
5092   58483.8
5093   55897.5
5094   48661.1
5095   50064.3
5096   60813.3
5097   103242.9
5098   256239.9
5099   626681.2
5100   239720.4
5101   93649.4
5102   58262.9
5103   73372.6
5104   46152.2
5105   53255.1
5106   44889.7
5107   52811.3
5108   165121.9
5109   98892.3
5110   115322.1
5111   155729.4
5112   387630.6
5113   164234.2
5114   298339.7
5115   698699.5
5116   366145.1
5117   120327.1
5118   78656.5
5119   54301.2
5120   47533.6
5121   45261.7
5122   52672.5
5123   45937.7
5124   50223.4
5125   134737.4
5126   80630.1
5127   58445.7
5128   78970.4
5129   72118.0
5130   206377.7
5131   104831.3
5132   70758.2
5133   79413.7
5134   98349.9
5135   139019.9
5136   247501.6
5137   594082.7
5138   793095.9
5139   561253.0
5140   741098.1
5141   717185.9
5142   365468.0
5143   267338.6
5144   300669.2
5145   423454.3
5146   671927.8
5147   849334.5
5148   863149.7
5149   820332.0
5150   786967.9
5151   531967.8
5152   270088.6
5153   184681.1
5154   176873.1
5155   114738.7
5156   110294.5
5157   136478.6
5158   97482.9
5159   74301.9
5160   109546.9
5161   73143.6
5162   127565.2
5163   83644.3
5164   70062.2
5165   59575.0
5166   58414.9
5167   73840.8
5168   81984.8
