# mid-IR sky background 5.0 - 30.0 microns                   
# 1.0mm H2O, sec z = 2.0                                     
#                                                            
# 05Sept2001 - R. S. Fisher                                  
#                                                            
#Wavelength    Flux density                                  
#(nm)          (ph/sec/nm/arcsec2/m2)                        
                                                             
5000     152143.3
5001     162149.6
5002     437004.6
5003     582369.5
5004     221916.9
5005     111171.4
5006     88569.8
5007     80481.0
5008     80798.5
5009     83480.1
5010     85467.7
5011     91706.3
5012     100165.2
5013     112371.8
5014     135390.6
5015     184079.9
5016     351276.1
5017     649807.7
5018     692336.0
5019     737597.5
5020     739036.6
5021     711000.7
5022     503156.6
5023     304333.4
5024     215163.1
5025     187953.7
5026     186834.6
5027     245504.1
5028     470036.1
5029     720612.4
5030     588859.3
5031     306619.1
5032     259715.9
5033     135702.9
5034     103605.0
5035     107940.4
5036     84877.5
5037     73999.7
5038     75934.0
5039     115918.4
5040     75624.4
5041     64656.3
5042     70553.2
5043     90760.7
5044     68594.5
5045     71388.4
5046     68739.5
5047     76328.6
5048     117601.6
5049     132061.8
5050     62301.9
5051     58950.9
5052     58700.5
5053     60706.9
5054     60195.5
5055     61473.8
5056     78994.3
5057     86291.1
5058     73140.3
5059     122780.9
5060     442469.3
5061     226675.3
5062     86033.7
5063     72665.5
5064     65276.8
5065     64050.5
5066     63963.7
5067     68933.8
5068     67200.8
5069     67757.2
5070     69367.4
5071     75655.6
5072     77117.5
5073     78382.5
5074     84268.5
5075     100043.2
5076     116129.4
5077     129867.4
5078     160542.2
5079     202605.1
5080     311046.8
5081     524396.6
5082     757101.6
5083     794241.7
5084     707836.5
5085     711862.9
5086     769169.8
5087     494543.6
5088     271440.0
5089     177516.0
5090     134981.3
5091     116791.3
5092     113366.7
5093     108497.9
5094     95226.4
5095     97864.1
5096     117587.2
5097     193195.6
5098     391459.9
5099     719763.2
5100     376462.4
5101     176173.8
5102     113016.5
5103     139949.2
5104     90448.1
5105     103460.5
5106     88103.6
5107     101959.0
5108     279602.0
5109     181369.9
5110     211525.4
5111     259620.2
5112     532095.8
5113     290572.3
5114     457127.7
5115     773442.8
5116     518040.0
5117     221520.6
5118     150289.9
5119     105916.1
5120     93252.7
5121     88951.8
5122     102685.8
5123     90176.9
5124     97841.7
5125     236479.2
5126     150128.3
5127     113481.3
5128     150507.8
5129     137408.4
5130     342916.9
5131     190651.1
5132     136463.6
5133     152223.8
