# mid-IR sky background 5.0 - 30.0 microns   
# 1.6mm H2O, sec z = 1.0                     
#                                            
# 05Sept2001 - R. S. Fisher                  
#                                            
#Wavelength    Flux density                  
#(nm)          (ph/sec/nm/arcsec2/m2)        

5000     113973.5
5001     122392.4
5002     390707.2
5003     548857.5
5004     176826.1
5005     78721.8
5006     59477.8
5007     53069.6
5008     53329.8
5009     55372.1
5010     57158.6
5011     62478.3
5012     69458.7
5013     79757.7
5014     99164.6
5015     140960.4
5016     297568.6
5017     615847.3
5018     667356.6
5019     736310.2
5020     737998.0
5021     694555.7
5022     442897.1
5023     247209.7
5024     167659.2
5025     143859.1
5026     143039.8
5027     194553.8
5028     413046.2
5029     707477.2
5030     544641.2
5031     250065.4
5032     208356.0
5033     99638.1
5034     72787.8
5035     76631.7
5036     57256.7
5037     48114.4
5038     49876.5
5039     83455.2
5040     49747.8
5041     40500.3
5042     45356.7
5043     62384.5
5044     43812.0
5045     46129.5
5046     43746.3
5047     50231.3
5048     86817.2
5049     99676.4
5050     38341.2
5051     35870.6
5052     35831.8
5053     37420.9
5054     36707.2
5055     37803.6
5056     52680.1
5057     58862.3
5058     47564.7
5059     89772.2
5060     396012.9
5061     186379.1
5062     58409.1
5063     46369.1
5064     41246.2
5065     40257.4
5066     40112.7
5067     42896.6
5068     42511.8
5069     43407.6
5070     44684.7
5071     48487.5
5072     50246.5
5073     52203.9
5074     57053.6
5075     69192.2
5076     81756.7
5077     95016.1
5078     120922.9
5079     156426.3
5080     249952.9
5081     458838.3
5082     735354.1
5083     789752.2
5084     660864.5
5085     669114.3
5086     753488.5
5087     432778.7
5088     213437.1
5089     133989.3
5090     99348.8
5091     84159.5
5092     78404.3
5093     73806.1
5094     66194.1
5095     68423.6
5096     83420.5
5097     143428.6
5098     336370.0
5099     690848.6
5100     319687.6
5101     127551.7
5102     80482.2
5103     104106.8
5104     62123.8
5105     66478.9
5106     58578.5
5107     72179.0
5108     229386.1
5109     135960.8
5110     162365.3
5111     212738.9
5112     480894.7
5113     233127.4
5114     391146.1
5115     751559.4
5116     461309.6
5117     172824.3
5118     106600.5
5119     74838.2
5120     64758.6
5121     60849.6
5122     67811.5
5123     61368.3
5124     68671.3
5125     189997.3
5126     111140.3
5127     80439.4
5128     112968.8
5129     102057.8
5130     285634.3
5131     147565.9
5132     100822.1
5133     114066.0
5134     142532.7
5135     201778.3
5136     347601.7
5137     687299.7
5138     827059.2
5139     687233.6
5140     800252.9
5141     780565.4
5142     490784.0
5143     378750.9
5144     420723.3
5145     559741.7
5146     768562.3
5147     859254.4
5148     863866.5
5149     853176.9
5150     839207.3
5151     643616.6
5152     378634.6
5153     267393.4
5154     254479.9
5155     166031.7
5156     155011.4
5157     197028.1
5158     141171.9
5159     105551.7
5160     149789.9
5161     102836.8
5162     184772.4
5163     119075.7
5164     90692.0
5165     79185.7
5166     78538.0
5167     99405.5
5168     102316.2
5169     118146.9
5170     148328.3
5171     230478.4
5172     493015.3
5173     788873.3
5174     600248.4
5175     384726.3
5176     235294.3
5177     89900.9
5178     77990.1
5179     84931.7
5180     76427.1
5181     72962.5
5182     76778.6
5183     102227.7
5184     82539.7
5185     82450.0
5186     92458.5
5187     183865.0
5188     122323.4
5189     112938.8
5190     176913.1
5191     189474.1
5192     180422.4
5193     177426.0
5194     243580.8
5195     350165.4
5196     408617.7
5197     519233.0
5198     753222.0
5199     903491.9
5200     917530.0
5201     917187.0
5202     917690.6
5203     840110.9
5204     644452.4
5205     455521.7
5206     418808.5
5207     392339.5
5208     508815.1
5209     587515.6
5210     662902.8
5211     790003.5
5212     909817.0
5213     931147.5
5214     932472.1
5215     927323.6
5216     866280.1
5217     692878.2
5218     517651.3
5219     401370.9
5220     397794.9
5221     370769.9
5222     267053.0
5223     361248.5
5224     300796.1
5225     370566.4
5226     188027.7
5227     177596.9
5228     257710.8
5229     342074.6
5230     254241.0
5231     290560.4
5232     363527.4
5233     571406.6
5234     761342.2
5235     938880.0
5236     954021.1
5237     877388.2
5238     654488.6
5239     585542.7
5240     777906.0
5241     950692.7
5242     883766.7
5243     547018.5
5244     335064.4
5245     319261.2
5246     227130.0
5247     190258.8
5248     194230.5
5249     325791.0
5250     619501.9
5251     911092.5
5252     627860.0
5253     315203.6
5254     193022.9
5255     155658.0
5256     233948.5
5257     195441.1
