# mid-IR sky background 5.0 - 30.0 microns     
# 1.6mm H2O, sec z = 1.5                       
#                                              
# 05Sept2001 - R. S. Fisher                    
#                                              
#Wavelength    Flux density                    
#(nm)          (ph/sec/nm/arcsec2/m2)          

5000     163635.3
5001     174338.9
5002     462128.3
5003     601648.6
5004     240763.5
5005     115038.8
5006     87739.4
5007     78527.2
5008     78905.4
5009     81849.3
5010     84433.8
5011     92076.9
5012     102057.7
5013     116682.6
5014     143906.0
5015     200806.1
5016     381075.2
5017     669372.8
5018     706176.2
5019     738033.8
5020     739329.5
5021     719766.4
5022     540066.7
5023     336386.6
5024     236802.8
5025     205334.4
5026     204223.0
5027     270790.5
5028     504076.8
5029     727733.9
5030     615028.4
5031     338163.4
5032     286472.4
5033     144277.9
5034     106854.2
5035     111919.6
5036     84492.8
5037     71451.8
5038     73926.8
5039     121421.7
5040     73685.7
5041     60381.1
5042     67341.8
5043     91700.5
5044     65173.9
5045     68518.3
5046     65046.1
5047     74366.9
5048     121302.7
5049     137438.6
5050     57141.4
5051     53603.7
5052     53553.4
5053     55876.7
5054     54839.0
5055     56449.3
5056     77772.3
5057     86644.9
5058     70672.5
5059     127773.4
5060     467893.8
5061     242338.5
5062     86277.5
5063     68928.9
5064     61492.8
5065     60039.6
5066     59833.9
5067     63886.3
5068     63345.4
5069     64675.3
5070     66541.2
5071     72078.2
5072     74652.0
5073     77494.8
5074     84511.2
5075     101903.5
5076     119837.2
5077     138592.7
5078     174645.4
5079     222756.7
5080     342037.8
5081     565618.9
5082     769065.8
5083     796297.3
5084     733882.5
5085     736811.8
5086     777886.7
5087     532945.4
5088     296775.5
5089     192483.1
5090     144736.3
5091     123329.7
5092     115119.5
5093     108526.2
5094     97716.7
5095     100900.0
5096     122131.7
5097     205041.0
5098     423065.1
5099     736943.0
5100     408386.0
5101     183221.2
5102     118011.2
5103     150570.3
5104     91748.4
5105     97954.7
5106     86731.0
5107     105388.8
5108     304228.4
5109     191329.8
5110     228272.2
5111     282477.0
5112     563111.0
5113     320135.6
5114     490466.6
5115     785966.5
5116     552981.5
5117     243566.5
5118     154893.4
5119     110144.3
5120     95726.7
5121     90111.6
5122     100069.3
5123     90842.0
5124     100996.9
5125     258320.7
5126     157944.4
5127     118052.7
5128     163347.0
5129     147617.0
5130     374008.5
5131     206404.1
5132     147135.7
5133     165695.1
5134     204908.9
5135     283679.7
5136     457235.2
5137     755621.7
5138     843587.0
5139     774783.1
5140     832940.4
5141     819354.8
5142     609382.7
5143     499983.7
5144     545422.5
5145     677702.2
5146     822975.6
5147     862140.6
5148     863984.3
5149     862805.3
5150     858344.3
5151     732899.4
5152     497456.0
5153     368156.0
5154     348738.7
5155     236906.1
5156     221966.9
5157     275435.1
5158     202918.4
5159     153707.0
5160     210863.7
5161     149260.8
5162     260042.7
5163     171551.4
5164     132797.7
5165     116520.2
5166     115634.1
5167     144768.1
5168     149075.3
5169     171277.1
5170     212488.7
5171     319479.6
5172     597604.2
5173     838956.1
5174     718723.1
5175     497073.2
5176     314437.5
5177     131667.9
5178     115002.1
5179     124897.8
5180     112762.7
5181     107789.3
5182     113223.6
5183     148900.2
5184     121451.2
5185     121415.5
5186     135403.6
5187     256889.2
5188     176502.6
5189     164486.2
5190     250718.3
5191     266608.8
5192     255657.9
5193     253241.4
5194     338253.4
5195     468108.6
5196     536026.3
5197     650280.8
5198     836955.6
5199     912936.7
5200     917689.5
5201     918620.9
5202     919312.5
5203     888716.0
5204     760180.3
5205     589134.3
5206     549857.6
5207     520305.8
5208     638708.9
5209     715657.5
5210     784790.3
5211     870335.1
5212     925273.0
5213     931371.9
5214     932498.1
5215     932415.5
5216     912140.6
5217     805980.1
5218     654260.6
5219     531674.5
5220     521342.9
5221     488444.4
5222     367706.1
5223     466660.2
5224     402080.3
5225     482008.4
5226     267531.3
5227     254127.9
5228     349169.0
5229     446433.7
5230     353902.4
5231     400704.5
5232     485629.1
5233     704049.1
5234     855541.4
5235     950008.6
5236     955512.6
5237     924488.7
5238     782369.1
5239     724943.2
5240     867041.0
5241     957816.9
5242     924242.3
5243     677513.0
5244     454942.0
5245     431623.2
5246     319063.2
5247     271471.8
5248     276633.5
5249     437800.8
5250     739896.2
5251     943219.8
5252     733362.6
5253     428810.9
5254     273362.7
5255     224011.1
5256     325675.7
5257     274996.4
5258     571848.9
5259     339095.9
5260     166046.2
5261     185166.7
5262     187062.6
5263     152056.8
5264     154717.9
5265     187039.2
5266     207841.0
5267     201710.2
5268     205297.9
5269     311162.7
5270     487061.7
5271     352559.2
5272     369014.7
5273     490749.6
5274     699483.9
5275     926525.9
5276     997517.6
5277     1000112.3
5278     950432.3
5279     730859.0
5280     652849.0
5281     635824.3
5282     432095.1
5283     456808.4
5284     577789.6
5285     459097.0
5286     525068.7
5287     618321.9
5288     740228.5
5289     889416.9
5290     992202.0
5291     1015392.1
5292     1016999.5
5293     1017962.2
5294     1014430.3
5295     952266.3
5296     810830.3
5297     664896.8
5298     551536.6
5299     468102.1
5300     414102.8
5301     387495.3
5302     417410.1
5303     580757.3
5304     821874.1
5305     910739.0
5306     1022349.6
5307     965006.5
5308     645985.9
5309     411272.3
5310     306516.5
5311     258760.9
5312     229312.5
5313     211330.3
5314     199921.2
5315     192872.6
5316     204664.7
5317     197609.5
5318     222771.9
5319     385623.7
5320     696564.7
5321     643203.8
5322     368816.9
5323     207319.7
5324     202182.3
5325     236058.1
5326     239973.5
5327     244026.8
5328     472263.7
5329     674453.8
5330     303677.3
5331     262669.6
5332     270056.0
5333     284380.1
5334     299822.4
5335     323034.7
5336     350210.7
5337     384570.8
5338     423515.4
5339     471851.8
5340     533382.6
5341     607293.4
5342     699324.5
5343     817694.5
5344     962233.4
5345     1066781.6
5346     1075482.3
5347     1077603.6
5348     1079971.2
5349     1081000.0
5350     1083000.0
5351     1084000.0
5352     1085000.0
5353     1086000.0
5354     1086999.3
5355     1087774.6
5356     1088267.4
5357     1090527.5
5358     1091971.2
5359     1086686.8
5360     1013394.7
5361     865283.2
5362     730583.7
5363     655725.6
5364     757400.0
5365     623462.4
5366     448366.8
5367     421716.7
5368     472557.2
5369     394799.9
5370     406881.9
5371     556293.0
5372     873990.4
5373     605389.8
5374     666528.4
5375     378638.2
5376     552921.7
5377     962000.3
5378     591888.8
5379     615890.3
5380     993188.4
5381     1081114.2
5382     722164.8
5383     458535.0
5384     351735.8
5385     321423.9
5386     373796.3
5387     775165.4
5388     469625.4
5389     300731.6
5390     283444.5
5391     282017.5
5392     304807.9
5393     523119.7
5394     471927.7
5395     336952.0
5396     359280.4
5397     459918.8
5398     890532.8
5399     789975.5
5400     467266.9
5401     422343.6
5402     432855.2
5403     457164.1
5404     491174.5
5405     538565.8
5406     608371.1
5407     698478.2
5408     819713.1
5409     1029738.7
5410     1089305.5
5411     1149972.6
5412     1154962.7
5413     1151182.8
5414     1117335.7
5415     1095910.4
5416     1118654.2
5417     1153259.5
5418     1161926.6
5419     1162999.9
5420     1165000.0
5421     1166000.0
5422     1167000.0
5423     1168000.0
5424     1169000.0
5425     1170972.9
5426     1170828.2
5427     1166431.8
5428     1170686.3
5429     1153640.7
5430     1055187.2
5431     958462.0
5432     881807.1
5433     825641.3
5434     813292.1
5435     740058.5
5436     769996.6
5437     950029.9
5438     805849.0
5439     843546.3
5440     908275.9
5441     1049150.4
5442     1175728.9
5443     1191882.9
5444     1184410.1
5445     1086334.8
5446     984355.8
5447     1074631.9
5448     818349.0
5449     812931.6
5450     1093801.3
5451     969450.3
5452     814373.3
5453     795827.1
5454     944680.2
5455     1083019.4
5456     961885.7
5457     1012374.3
5458     1090442.2
5459     1153614.8
5460     1196383.2
5461     1212188.1
5462     1214967.9
5463     1216000.0
5464     1218000.0
5465     1219000.0
5466     1220000.0
5467     1221000.0
5468     1221997.4
5469     1223516.4
5470     1218160.4
5471     1198791.6
5472     1170347.2
5473     1160223.9
5474     1174685.7
5475     1205209.1
5476     1227372.5
5477     1232859.8
5478     1234999.8
5479     1236000.0
5480     1236995.1
5481     1237011.0
5482     1223340.8
5483     1169650.7
5484     1098140.4
5485     1104286.2
5486     1221141.7
5487     1112786.4
5488     1055119.1
5489     1107274.3
5490     1018901.7
5491     816340.1
5492     598293.2
5493     624765.8
5494     565683.2
5495     485250.6
5496     465081.2
5497     456535.7
5498     462963.3
5499     468934.4
5500     527540.0
5501     811927.1
5502     1214461.3
5503     1034928.4
5504     618967.5
5505     524778.3
5506     780909.6
5507     724135.7
5508     572594.6
5509     497119.2
5510     573996.9
5511     602296.2
5512     566186.0
5513     612421.4
5514     706138.5
5515     840005.5
5516     1046883.8
5517     1239236.4
5518     1282874.0
5519     1267511.3
5520     1261245.1
5521     1284191.4
5522     1288959.5
5523     1291000.0
5524     1291902.0
5525     1285319.8
5526     1232574.2
5527     1170593.2
5528     1043646.6
5529     1119466.6
5530     1112010.2
5531     1253289.1
5532     1298815.3
5533     1200088.9
5534     947224.3
5535     829129.8
5536     764979.3
5537     818662.8
5538     942439.4
5539     1210377.7
5540     1285585.9
5541     1068624.4
5542     887924.8
5543     872473.8
5544     949275.2
5545     1079125.7
5546     1238736.6
5547     1315921.4
5548     1321971.1
5549     1321960.7
5550     1320324.6
5551     1325185.3
5552     1324569.4
5553     1317342.2
5554     1326518.2
5555     1330886.3
5556     1331999.9
5557     1334000.0
5558     1334993.4
5559     1335492.6
5560     1328534.6
5561     1300347.4
5562     1246268.6
5563     1224833.6
5564     1269764.2
5565     1336527.8
5566     1338396.6
5567     1345403.9
5568     1347998.4
5569     1348718.2
5570     1349053.7
5571     1349315.9
5572     1344764.8
5573     1349428.8
5574     1354362.3
5575     1356983.4
5576     1358000.0
5577     1359000.0
5578     1360000.0
5579     1362000.0
5580     1363000.0
5581     1364000.0
5582     1366000.0
5583     1367000.0
5584     1367999.9
5585     1369895.2
5586     1369669.5
5587     1364536.4
5588     1311301.8
5589     1249048.5
5590     1221294.9
5591     1326049.3
5592     1332014.6
5593     1201476.3
5594     1033802.8
5595     991695.6
5596     1009092.4
5597     1023244.9
5598     1028552.0
5599     1132299.9
5600     1268952.8
5601     1369558.4
5602     1391673.3
5603     1392218.4
5604     1371624.1
5605     1366756.7
5606     1379865.7
5607     1260539.7
5608     1253133.3
5609     1166937.7
5610     1226625.2
5611     1350206.2
5612     1401366.7
5613     1398307.4
5614     1405941.8
5615     1408993.5
5616     1410000.0
5617     1410985.3
5618     1410540.7
5619     1404823.1
5620     1410664.2
5621     1414944.0
5622     1402444.3
5623     1390123.2
5624     1299340.2
5625     1323742.1
5626     1301624.5
5627     1326184.2
5628     1370321.8
5629     1406767.9
5630     1425576.0
5631     1429971.2
5632     1431000.0
5633     1431983.6
5634     1432737.5
5635     1434693.3
5636     1435942.4
5637     1436999.6
5638     1439000.0
5639     1440000.0
5640     1441000.0
5641     1443000.0
5642     1444000.0
5643     1445000.0
5644     1447000.0
5645     1448000.0
5646     1449000.0
5647     1451000.0
5648     1451999.9
5649     1452955.6
5650     1454341.4
5651     1453827.6
5652     1454297.5
