# mid-IR sky background 5.0 - 30.0 microns             
# 1.6mm H2O, sec z = 2.0                               
#                                                      
# 05Sept2001 - R. S. Fisher                            
#                                                      
#Wavelength    Flux density                            
#(nm)          (ph/sec/nm/arcsec2/m2)                  

5000     208813.9
5001     221094.9
5002     512901.9
5003     634055.3
5004     294944.2
5005     149248.7
5006     114832.0
5007     103051.5
5008     103539.9
5009     107309.2
5010     110627.5
5011     120383.7
5012     133074.5
5013     151533.1
5014     185457.3
5015     254316.5
5016     445468.0
5017     696413.6
5018     722932.7
5019     738345.8
5020     739472.6
5021     730152.9
5022     602429.3
5023     408564.9
5024     297487.4
5025     260488.6
5026     259148.8
5027     335776.8
5028     566145.0
5029     736768.3
5030     657187.3
5031     409198.3
5032     351448.5
5033     185618.1
5034     139232.1
5035     145103.8
5036     110571.7
5037     94031.4
5038     97131.6
5039     156840.6
5040     96735.7
5041     79732.8
5042     88602.6
5043     119576.7
5044     85898.0
5045     90193.1
5046     85720.3
5047     97641.3
5048     151877.3
5049     170110.0
5050     75508.7
5051     70975.6
5052     70909.4
5053     73927.2
5054     72581.9
5055     74674.1
5056     101828.9
5057     113151.6
5058     93079.4
5059     162758.3
5060     517759.0
5061     288834.6
5062     113067.7
5063     90858.2
5064     81246.6
5065     79356.6
5066     79101.1
5067     84353.1
5068     83640.5
5069     85341.0
5070     87756.5
5071     94887.4
5072     98201.8
5073     101875.2
5074     110884.8
5075     133025.2
5076     155798.2
5077     179371.5
5078     223944.1
5079     281916.4
5080     417509.4
5081     635375.5
5082     783476.1
5083     798262.8
5084     767657.5
5085     768936.5
5086     788828.0
5087     601822.7
5088     367537.1
5089     245611.8
5090     187106.1
5091     160311.5
5092     149880.7
5093     141484.9
5094     127837.0
5095     131910.0
5096     158642.9
5097     260521.8
5098     489162.7
5099     762443.8
5100     476935.7
5101     233843.4
5102     153497.7
5103     193404.5
5104     120103.9
5105     127973.4
5106     113752.6
5107     136669.7
5108     363306.1
5109     240318.9
5110     285867.1
5111     341039.3
5112     618441.9
5113     393322.8
5114     563171.2
5115     803178.7
5116     616591.7
5117     305611.0
5118     199763.5
5119     143740.9
5120     125386.7
5121     118191.3
5122     130854.3
5123     119118.0
5124     131716.8
5125     314714.8
5126     200122.0
5127     153659.3
5128     209727.3
5129     189773.3
5130     441826.5
5131     258137.7
5132     190492.2
5133     213574.2
5134     261594.8
5135     354752.1
5136     540455.2
5137     792486.1
5138     849522.6
5139     815914.4
5140     845821.9
5141     836982.4
5142     687508.2
5143     590407.9
5144     634239.0
5145     747776.0
5146     844475.1
5147     862761.9
5148     863997.8
5149     864564.2
5150     863260.1
5151     783660.7
5152     585917.4
5153     451554.8
5154     426613.5
5155     300371.0
5156     282373.8
5157     342965.9
5158     259083.2
5159     198648.5
5160     264625.5
5161     192407.7
5162     325646.4
5163     219568.2
5164     172545.8
5165     152100.0
5166     151020.1
5167     187149.2
5168     192762.1
5169     220434.5
5170     270512.8
5171     394779.5
5172     669340.8
5173     862252.6
5174     787137.2
5175     578891.8
5176     378344.1
5177     171106.9
5178     150322.1
5179     162862.7
5180     147494.0
5181     141177.7
5182     148071.3
5183     192513.8
5184     158493.1
5185     158564.4
5186     175983.5
5187     319939.3
5188     226380.9
5189     212681.5
5190     316079.4
5191     334133.6
5192     322347.8
5193     321118.1
5194     418407.3
5195     559757.4
5196     630188.9
5197     736125.9
5198     875542.5
5199     915405.2
5200     917699.3
5201     918700.0
5202     919659.2
5203     907202.2
5204     824703.2
5205     683967.0
5206     646417.5
5207     617174.0
5208     725736.4
5209     793248.3
5210     850078.2
5211     903318.8
5212     928896.5
5213     931395.7
5214     932499.8
5215     933278.4
5216     926442.3
5217     864855.9
5218     745253.5
5219     629854.6
5220     614499.1
5221     578754.7
5222     452155.2
5223     547760.8
5224     483690.5
5225     565595.6
5226     338334.3
5227     322932.4
5228     425106.0
5229     527200.4
5230     438581.6
5231     492124.7
5232     580874.7
5233     787805.7
5234     901409.4
5235     953168.0
5236     955794.5
5237     942619.2
5238     855073.6
5239     811874.6
5240     910621.8
5241     959986.3
5242     942455.7
5243     763675.9
5244     551092.4
5245     521979.2
5246     398899.1
5247     344052.9
5248     350072.3
5249     526899.2
5250     813731.0
5251     957256.3
5252     801130.5
5253     520969.9
5254     344374.7
5255     286258.0
5256     403904.2
5257     344947.7
5258     643322.9
5259     404034.7
5260     215225.6
5261     238036.4
5262     240251.3
5263     197778.9
5264     201129.3
5265     241062.8
5266     266566.8
5267     259635.4
5268     264009.8
5269     389043.9
5270     570686.3
5271     434751.7
5272     458396.5
5273     591343.7
5274     792975.4
5275     961302.8
5276     998807.8
5277     1000767.3
5278     975526.4
5279     821236.3
5280     747656.7
5281     720280.5
5282     529565.4
5283     551315.4
5284     669052.9
5285     559512.7
5286     629871.4
5287     723968.6
5288     834828.5
5289     948890.5
5290     1006888.3
5291     1015878.5
5292     1017000.0
5293     1017996.1
5294     1017707.0
5295     989209.3
5296     894350.2
5297     769271.4
5298     658376.7
5299     570425.8
5300     511017.8
5301     481097.1
5302     513523.0
5303     684241.8
5304     887270.8
5305     966582.0
5306     1028449.8
5307     994903.3
5308     745011.6
5309     507015.3
5310     387053.0
5311     330047.7
5312     294194.9
5313     272117.4
5314     258044.0
5315     249280.1
5316     263890.8
5317     255152.4
5318     285772.4
5319     470719.7
5320     782170.6
5321     720087.9
5322     442031.7
5323     266748.3
5324     260952.4
5325     302253.5
5326     307212.8
5327     312147.3
5328     553611.2
5329     748347.6
5330     382320.8
5331     335181.6
5332     344107.1
5333     361386.0
5334     379884.2
5335     407453.0
5336     439399.1
5337     479194.5
5338     523520.3
5339     577269.3
5340     643600.3
5341     719969.1
5342     809322.1
5343     913598.4
5344     1018074.1
5345     1073268.3
5346     1077611.9
5347     1078813.6
5348     1079998.2
5349     1081000.0
5350     1083000.0
5351     1084000.0
5352     1085000.0
5353     1086000.0
5354     1087000.0
5355     1087980.8
5356     1089787.2
5357     1090950.6
5358     1091995.5
5359     1091094.8
5360     1056624.6
5361     956033.6
5362     841594.3
5363     770547.9
5364     861697.3
5365     724485.3
5366     552572.1
5367     522789.9
5368     579109.2
5369     491673.1
5370     505856.8
5371     659001.5
5372     936519.3
5373     704375.8
5374     750152.4
5375     472615.6
5376     649014.8
5377     1011261.8
5378     696591.8
5379     726920.0
5380     1039144.1
5381     1097230.4
5382     820768.5
5383     564185.8
5384     442394.5
5385     406853.9
5386     464621.1
5387     852309.9
5388     561448.9
5389     382133.7
5390     361417.7
5391     359718.6
5392     386822.4
5393     621356.5
5394     570942.9
5395     425514.9
5396     451875.8
5397     563459.7
5398     957730.6
5399     875836.9
5400     574689.8
5401     525153.3
5402     537171.1
5403     564686.4
5404     602684.8
5405     654432.3
5406     728031.8
5407     818672.8
5408     927570.5
5409     1086223.7
5410     1125911.4
5411     1152850.7
5412     1154994.5
5413     1154806.0
5414     1143412.2
5415     1135011.5
5416     1145969.2
5417     1158953.6
5418     1161987.8
5419     1163000.0
5420     1165000.0
5421     1166000.0
5422     1167000.0
5423     1168000.0
5424     1169000.0
5425     1170999.0
5426     1171854.2
5427     1171777.3
5428     1173376.3
5429     1167185.6
5430     1117351.7
5431     1051745.5
5432     990896.4
5433     942490.8
5434     930761.5
5435     863507.7
5436     890128.8
5437     1040381.4
5438     920914.8
5439     956974.8
5440     1014347.8
5441     1116035.3
5442     1185436.4
5443     1191974.6
5444     1190125.4
5445     1141622.7
5446     1074341.7
5447     1126781.0
5448     934580.2
5449     928487.6
5450     1141829.3
5451     1052942.4
5452     935724.7
5453     919103.5
5454     1037906.3
5455     1138412.6
5456     1062570.1
5457     1101004.7
5458     1153949.2
5459     1189511.0
5460     1208582.7
5461     1213720.8
5462     1214998.4
5463     1216000.0
5464     1218000.0
5465     1219000.0
5466     1220000.0
5467     1221000.0
5468     1221999.9
5469     1223947.4
5470     1223610.2
5471     1217945.2
5472     1206517.4
5473     1202671.3
5474     1210149.2
5475     1223499.7
5476     1231101.8
5477     1232987.0
5478     1235000.0
5479     1236000.0
5480     1236999.7
5481     1237848.0
5482     1235377.8
5483     1212295.5
5484     1171322.6
5485     1173886.7
5486     1235030.0
5487     1173994.4
5488     1140265.9
5489     1169286.5
5490     1105732.2
5491     928890.0
5492     725371.2
5493     752069.4
5494     688410.9
5495     601288.6
5496     578436.2
5497     568692.7
5498     576060.5
5499     582931.3
5500     648279.3
5501     920479.5
5502     1236933.5
5503     1115552.4
5504     743934.3
5505     645673.2
5506     891325.3
5507     839626.4
5508     697909.5
5509     615088.1
5510     698034.8
5511     729454.7
5512     692371.5
5513     742469.4
5514     840134.2
5515     969030.4
5516     1143558.1
5517     1263656.5
5518     1283719.1
5519     1280827.3
5520     1279684.1
5521     1287222.1
5522     1288995.8
5523     1291000.0
5524     1291987.1
5525     1291034.2
5526     1270122.3
5527     1233824.9
5528     1147907.3
5529     1197097.6
5530     1198460.1
5531     1280025.3
5532     1300879.2
5533     1249615.0
5534     1068522.4
5535     964763.1
5536     902448.2
5537     953433.9
5538     1065883.4
5539     1255932.2
5540     1299741.7
5541     1165667.0
5542     1020621.5
5543     1007245.3
5544     1075763.8
5545     1180497.0
5546     1283955.6
5547     1319537.3
5548     1321996.5
5549     1322867.9
5550     1324178.6
5551     1325887.3
5552     1326556.1
5553     1325796.9
5554     1329422.4
5555     1330991.0
5556     1332000.0
5557     1334000.0
5558     1334999.8
5559     1335954.9
5560     1334880.7
5561     1326425.0
5562     1300496.3
5563     1289464.4
5564     1313469.6
5565     1341761.4
5566     1343730.1
5567     1345904.1
5568     1347999.9
5569     1348974.7
5570     1349906.8
5571     1350728.1
5572     1351457.8
5573     1353267.5
5574     1354940.0
5575     1356999.8
5576     1358000.0
5577     1359000.0
5578     1360000.0
5579     1362000.0
5580     1363000.0
5581     1364000.0
5582     1366000.0
5583     1367000.0
5584     1368000.0
5585     1369993.1
5586     1370851.4
5587     1369910.6
5588     1349855.3
5589     1317724.9
5590     1300279.4
5591     1355700.6
5592     1360083.4
5593     1282914.0
5594     1161155.8
5595     1125932.0
5596     1140625.0
5597     1153267.3
5598     1158249.7
5599     1240451.4
5600     1333431.9
5601     1383351.6
5602     1391933.9
5603     1392839.1
5604     1387440.8
5605     1386204.6
5606     1390446.3
5607     1331241.0
5608     1325434.0
5609     1271424.2
5610     1312804.1
5611     1381968.5
5612     1404182.7
5613     1404552.6
5614     1406855.4
5615     1408999.6
5616     1410000.0
5617     1410999.2
5618     1411795.4
5619     1412210.9
5620     1414196.8
5621     1415808.7
5622     1414045.8
5623     1408540.4
5624     1365770.8
5625     1379091.4
5626     1368864.4
5627     1383628.3
5628     1406601.7
5629     1421721.2
5630     1427594.7
5631     1429997.9
5632     1431000.0
5633     1432000.0
5634     1433000.0
5635     1435000.0
5636     1436000.0
5637     1437000.0
5638     1439000.0
5639     1440000.0
5640     1441000.0
5641     1443000.0
5642     1444000.0
5643     1445000.0
5644     1447000.0
5645     1448000.0
5646     1449000.0
5647     1451000.0
5648     1452000.0
5649     1452999.8
5650     1454960.4
5651     1455747.5
5652     1456665.1
5653     1458908.2
5654     1459998.9
5655     1461000.0
5656     1463000.0
5657     1463995.8
5658     1464776.6
5659     1465532.7
5660     1455800.1
5661     1426821.9
5662     1403149.8
5663     1391929.1
5664     1421129.9
5665     1424770.5
5666     1402343.6
5667     1432619.4
5668     1470960.5
5669     1474642.7
5670     1472401.5
5671     1480272.0
5672     1483732.7
5673     1484997.1
5674     1487000.0
5675     1488000.0
5676     1489000.0
5677     1491000.0
5678     1492000.0
5679     1492994.6
5680     1494637.6
5681     1492885.4
5682     1486537.2
5683     1479471.8
5684     1478419.8
5685     1491011.5
5686     1502271.5
5687     1503718.0
5688     1504070.4
5689     1506307.2
5690     1507983.3
5691     1510000.0
5692     1511000.0
5693     1512000.0
5694     1513988.1
5695     1514138.7
5696     1508017.2
5697     1492028.1
5698     1471087.9
5699     1456566.3
5700     1458980.4
5701     1486382.2
5702     1515412.9
5703     1511010.2
5704     1521894.7
5705     1528825.3
5706     1529966.5
5707     1530993.2
5708     1533000.0
5709     1534000.0
5710     1535000.0
5711     1537000.0
5712     1538000.0
5713     1539000.0
5714     1541000.0
5715     1542000.0
5716     1544000.0
5717     1545000.0
5718     1546000.0
5719     1548000.0
5720     1549000.0
5721     1550000.0
5722     1552000.0
5723     1553000.0
5724     1555000.0
5725     1556000.0
5726     1557000.0
5727     1559000.0
5728     1559999.6
5729     1560879.7
5730     1562151.6
5731     1563714.3
5732     1564997.2
5733     1567000.0
5734     1568000.0
5735     1570000.0
5736     1571000.0
5737     1572000.0
5738     1574000.0
5739     1574993.2
5740     1575896.4
5741     1577846.0
5742     1578962.3
5743     1580999.7
5744     1582000.0
5745     1583000.0
5746     1585000.0
5747     1586000.0
5748     1588000.0
5749     1589000.0
5750     1590000.0
5751     1592000.0
5752     1593000.0
5753     1594000.0
5754     1596000.0
5755     1597000.0
5756     1599000.0
5757     1600000.0
5758     1601000.0
5759     1603000.0
5760     1604000.0
5761     1606000.0
5762     1607000.0
5763     1608000.0
5764     1610000.0
5765     1611000.0
5766     1612000.0
5767     1614000.0
5768     1615000.0
5769     1617000.0
5770     1618000.0
5771     1619000.0
5772     1621000.0
5773     1622000.0
5774     1624000.0
5775     1625000.0
5776     1626000.0
5777     1628000.0
5778     1629000.0
5779     1631000.0
5780     1632000.0
5781     1633000.0
5782     1634998.8
5783     1635775.8
5784     1634983.2
5785     1626889.4
5786     1613965.0
5787     1607006.5
5788     1609885.5
5789     1630748.3
5790     1616175.1
5791     1637374.8
5792     1645789.1
5793     1613017.9
5794     1558641.5
5795     1547867.9
5796     1553768.6
5797     1576045.8
5798     1600028.4
5799     1637222.3
5800     1657075.2
5801     1661729.5
5802     1662999.6
5803     1663956.6
5804     1664363.2
5805     1662921.2
5806     1656583.0
5807     1659233.6
5808     1668489.3
5809     1672832.4
5810     1672692.4
5811     1674748.7
5812     1676581.6
5813     1677956.1
5814     1679999.8
5815     1681000.0
5816     1683000.0
5817     1684000.0
5818     1686000.0
5819     1687000.0
5820     1688000.0
5821     1690000.0
5822     1691000.0
5823     1693000.0
5824     1694000.0
5825     1695000.0
5826     1697000.0
5827     1698000.0
5828     1700000.0
5829     1701000.0
5830     1703000.0
5831     1704000.0
5832     1705000.0
5833     1707000.0
5834     1708000.0
5835     1710000.0
5836     1711000.0
5837     1713000.0
5838     1713998.7
5839     1714918.6
5840     1715971.0
5841     1716804.3
5842     1715716.4
5843     1717631.8
5844     1720374.0
5845     1723672.0
5846     1724998.4
5847     1727000.0
5848     1728000.0
5849     1729969.2
5850     1730263.1
5851     1731031.5
5852     1732402.4
5853     1734015.6
5854     1736891.9
5855     1737968.6
5856     1739999.7
5857     1741000.0
5858     1743000.0
5859     1744000.0
5860     1746000.0
5861     1747000.0
5862     1748000.0
5863     1750000.0
5864     1751000.0
5865     1753000.0
5866     1754000.0
5867     1756000.0
5868     1757000.0
5869     1759000.0
5870     1760000.0
5871     1761000.0
5872     1763000.0
5873     1764000.0
5874     1766000.0
5875     1767000.0
5876     1769000.0
5877     1770000.0
5878     1772000.0
5879     1773000.0
5880     1774000.0
5881     1776000.0
5882     1777000.0
5883     1779000.0
5884     1780000.0
5885     1782000.0
5886     1783000.0
5887     1785000.0
5888     1786000.0
5889     1788000.0
5890     1789000.0
5891     1790000.0
5892     1792000.0
5893     1793000.0
5894     1795000.0
5895     1796000.0
5896     1798000.0
5897     1799000.0
5898     1801000.0
5899     1802000.0
5900     1804000.0
5901     1805000.0
5902     1806000.0
5903     1808000.0
5904     1809000.0
5905     1811000.0
5906     1812000.0
5907     1814000.0
5908     1815000.0
5909     1816999.9
5910     1817960.4
5911     1819747.4
5912     1820717.4
5913     1822879.1
5914     1823995.2
5915     1825000.0
5916     1827000.0
5917     1828000.0
5918     1830000.0
5919     1831000.0
5920     1833000.0
5921     1834000.0
5922     1836000.0
5923     1837000.0
5924     1839000.0
5925     1840000.0
5926     1842000.0
5927     1843000.0
5928     1845000.0
5929     1846000.0
5930     1848000.0
5931     1849000.0
5932     1850000.0
5933     1852000.0
5934     1853000.0
5935     1855000.0
5936     1856000.0
5937     1858000.0
5938     1859000.0
5939     1861000.0
5940     1862000.0
5941     1864000.0
5942     1865000.0
5943     1867000.0
5944     1868000.0
5945     1870000.0
5946     1871000.0
5947     1873000.0
5948     1874000.0
5949     1876000.0
5950     1877000.0
5951     1879000.0
5952     1880000.0
5953     1882000.0
5954     1883000.0
5955     1883999.8
5956     1885953.7
5957     1886705.7
5958     1888597.8
5959     1889785.3
5960     1891988.1
5961     1893000.0
5962     1895000.0
5963     1896000.0
5964     1898000.0
5965     1899000.0
5966     1901000.0
5967     1902000.0
5968     1904000.0
5969     1905000.0
5970     1907000.0
5971     1908000.0
5972     1910000.0
5973     1911000.0
5974     1913000.0
5975     1914000.0
5976     1916000.0
5977     1917000.0
5978     1919000.0
5979     1920000.0
5980     1922000.0
5981     1923000.0
5982     1925000.0
5983     1926000.0
5984     1928000.0
5985     1929000.0
5986     1931000.0
5987     1932000.0
5988     1934000.0
5989     1935000.0
5990     1937000.0
5991     1938000.0
5992     1940000.0
5993     1941000.0
5994     1943000.0
5995     1944000.0
5996     1946000.0
5997     1947000.0
5998     1948983.9
5999     1949806.7
6000     1951644.8
6001     1951960.2
6002     1953503.6
6003     1954568.8
6004     1956925.3
6005     1957716.8
6006     1960536.4
6007     1961730.7
6008     1963957.2
6009     1964999.8
6010     1967000.0
6011     1968000.0
6012     1970000.0
6013     1971000.0
6014     1973000.0
6015     1974000.0
6016     1976000.0
6017     1977000.0
6018     1979000.0
6019     1980000.0
6020     1981999.2
6021     1982920.9
6022     1984674.1
6023     1985096.9
6024     1986273.4
6025     1987779.9
6026     1988645.0
6027     1990883.2
6028     1992813.5
6029     1995139.7
6030     1996163.1
6031     1998509.6
6032     1999791.9
6033     2001975.5
6034     2002999.9
6035     2005000.0
6036     2006000.0
6037     2008000.0
6038     2009000.0
6039     2011000.0
6040     2012000.0
6041     2014000.0
6042     2015000.0
6043     2017000.0
6044     2018000.0
6045     2020000.0
6046     2021000.0
6047     2023000.0
6048     2024000.0
6049     2026000.0
6050     2028000.0
6051     2029000.0
6052     2031000.0
6053     2032000.0
6054     2034000.0
6055     2035000.0
6056     2037000.0
6057     2038000.0
6058     2040000.0
6059     2041000.0
6060     2043000.0
6061     2044000.0
6062     2046000.0
6063     2047000.0
6064     2049000.0
6065     2050000.0
6066     2052000.0
6067     2054000.0
6068     2055000.0
6069     2057000.0
6070     2058000.0
6071     2060000.0
6072     2061000.0
6073     2063000.0
6074     2064000.0
6075     2066000.0
6076     2067000.0
6077     2069000.0
6078     2070000.0
6079     2072000.0
6080     2074000.0
6081     2075000.0
6082     2077000.0
6083     2078000.0
6084     2079997.9
6085     2080909.3
6086     2082773.1
6087     2083852.1
6088     2085993.6
6089     2086999.9
6090     2088931.3
6091     2088895.7
6092     2089722.2
6093     2091734.5
6094     2093823.0
6095     2096878.9
6096     2097999.6
6097     2099999.2
6098     2100919.2
6099     2102728.4
6100     2103822.7
6101     2105983.0
6102     2107000.0
6103     2109000.0
6104     2111000.0
6105     2112000.0
6106     2114000.0
6107     2115000.0
6108     2117000.0
6109     2118000.0
6110     2120000.0
6111     2121000.0
6112     2123000.0
6113     2125000.0
6114     2126000.0
6115     2128000.0
6116     2129000.0
6117     2131000.0
6118     2132000.0
6119     2134000.0
6120     2135000.0
6121     2137000.0
6122     2139000.0
6123     2140000.0
6124     2141995.9
6125     2142866.4
6126     2144705.2
6127     2145852.6
6128     2147107.8
6129     2145821.7
6130     2147716.9
6131     2145981.7
6132     2145095.2
6133     2146908.0
6134     2148951.3
6135     2153050.5
6136     2156673.9
6137     2160889.2
6138     2162907.6
6139     2164999.7
6140     2167000.0
6141     2168000.0
6142     2170000.0
6143     2171000.0
6144     2173000.0
6145     2174000.0
6146     2176000.0
6147     2177999.9
6148     2178972.7
6149     2180845.2
6150     2181877.6
6151     2183965.8
6152     2184999.9
6153     2187000.0
6154     2189000.0
6155     2190000.0
6156     2192000.0
6157     2193000.0
6158     2195000.0
6159     2196000.0
6160     2198000.0
6161     2200000.0
6162     2201000.0
6163     2203000.0
6164     2204000.0
6165     2206000.0
6166     2207000.0
6167     2208999.0
6168     2210971.1
6169     2211996.0
6170     2214000.0
6171     2214994.8
6172     2216876.5
6173     2217929.5
6174     2219971.9
6175     2221999.8
6176     2223000.0
6177     2225000.0
6178     2226000.0
6179     2228000.0
6180     2229000.0
6181     2231000.0
6182     2233000.0
6183     2234000.0
6184     2236000.0
6185     2237000.0
6186     2239000.0
6187     2240000.0
6188     2242000.0
6189     2244000.0
6190     2245000.0
6191     2247000.0
6192     2248000.0
6193     2250000.0
6194     2252000.0
6195     2252984.0
6196     2254742.5
6197     2255093.7
6198     2256156.6
6199     2257894.7
6200     2255015.1
6201     2248439.5
6202     2249191.6
6203     2254177.1
6204     2229027.3
6205     2218217.1
6206     2218655.7
6207     2229633.8
6208     2235121.4
6209     2250560.6
6210     2269922.3
6211     2278598.9
6212     2279999.0
6213     2282000.0
6214     2282999.9
6215     2284877.6
6216     2283242.1
6217     2268966.8
6218     2255511.7
6219     2263054.8
6220     2285967.0
6221     2293803.6
6222     2295999.9
6223     2297999.8
6224     2298532.0
6225     2280113.8
6226     2202721.2
6227     2098645.9
6228     2032277.8
6229     1974995.0
6230     1956498.8
6231     1979743.9
6232     2006980.2
6233     2083005.0
6234     2207795.8
6235     2298339.5
6236     2317125.1
6237     2319998.7
6238     2321999.8
6239     2322405.9
6240     2298654.0
6241     2228082.4
6242     2190433.6
6243     2256783.7
6244     2323368.5
6245     2332961.5
6246     2332506.3
6247     2289128.2
6248     2147590.5
6249     1966914.2
6250     1820733.8
6251     1735792.0
6252     1698288.9
6253     1686781.0
6254     1774221.7
6255     1651257.7
6256     1713801.0
6257     1685146.8
6258     1683684.4
6259     1762564.4
6260     1915031.9
6261     1937618.1
6262     2098011.7
6263     2293744.8
6264     2360586.2
6265     2364712.7
6266     2348761.0
6267     2283982.4
6268     2279637.6
6269     2338306.5
6270     2370710.5
6271     2374990.2
6272     2375996.3
6273     2376682.3
6274     2351241.4
6275     2243006.0
6276     2106927.1
6277     2010143.5
6278     1965961.4
6279     2015843.0
6280     2216696.7
6281     2305906.0
6282     2380282.6
6283     2391775.1
6284     2319590.1
6285     2141288.0
6286     2069022.3
6287     2171072.9
6288     2372535.1
6289     2402714.6
6290     2404541.9
6291     2398597.6
6292     2276888.7
6293     2051871.6
6294     1903060.8
6295     1841584.7
6296     1811923.8
6297     1798458.3
6298     1812506.2
6299     1936641.3
6300     1915066.7
6301     1988859.0
6302     1899136.3
6303     1850635.3
6304     1875020.6
6305     1960293.2
6306     1942923.3
6307     1942327.2
6308     1961166.3
6309     1983573.9
6310     2010170.0
6311     2040108.9
6312     2076895.6
6313     2110331.8
6314     2159208.0
6315     2291364.1
6316     2373917.4
6317     2293204.9
6318     2323660.0
6319     2427290.0
6320     2395207.3
6321     2350278.5
6322     2364274.3
6323     2380363.4
6324     2397103.0
6325     2414688.2
6326     2429922.1
6327     2442482.5
6328     2453236.4
6329     2461161.8
6330     2466156.7
6331     2470599.3
6332     2472624.3
6333     2474909.9
6334     2476998.4
6335     2478000.0
6336     2480000.0
6337     2482000.0
